7850_281318_000000_000000	MOTHER MAGPIE'S KINDERGARTEN	MOTHER MAGPIE'S KINDERGARTEN	true	23.625	26.11	27.073694
7850_281318_000011_000004	It was like a great big kindergarten of birds playing at a new building game, with Mother Magpie for the teacher.	It was like a great big kindergarten of birds playing at a new building game, with Mother Magpie for the teacher.	true	286.28	294.04	25.058697
7850_281318_000012_000000	She began to show them how to weave the bits of things together into nests, as they should be made.	She began to show them how to weave the bits of things together into nests, as they should be made.	true	294.32	300.22	21.049599
7850_281318_000012_000001	And some of the birds, who were attentive and careful, soon saw how it was done, and started nice homes for themselves.	And some of the birds, who were attentive and careful, soon saw how it was done, and started nice homes for themselves.	true	300.32	308.08	21.617376
7850_281318_000012_000002	You have seen what wonderful swinging baskets the Oriole makes for his baby-cradle?	You have seen what wonderful swinging baskets the Oriole makes for his baby cradle?	true	308.27	313.12	23
7850_281318_000012_000003	Well, it was the Magpie who taught him how, and he was the prize pupil, to be sure.	Well, it was the Magpie who taught him how, and he was the prize pupil, to be sure.	true	313.31	319.12	24.10394
7850_281318_000012_000004	But some of the birds were not like him, nor like the patient little Wren.	But some of the birds were not like him, nor like the patient little Wren.	true	319.61	324.61	21.690521
7850_281318_000012_000005	Some of them were lazy and stupid and envious of Mother Magpie's cosy nest, which was already finished, while theirs was yet to do.	Some of them were lazy and stupid and envious of Mother Magpie's cosy nest, which was already finished, while theirs was yet to do.	true	324.89	334.75	23.344704
7850_281318_000013_000000	As Mother Magpie worked, showing them how, it seemed so very simple that they were ashamed not to have discovered it for themselves.	As Mother Magpie worked, showing them how, it seemed so very simple that they were ashamed not to have discovered it for themselves.	false	335.12	343.45	25.498379
7850_281318_000013_000001	So, as she went on bit by bit, the silly things pretended that they had known all about it from the first--which was very unpleasant for their teacher.	So, as she went on bit by bit, the silly things pretended that they had known all about it from the first-which was very unpleasant for their teacher.	true	343.64	353.23	26.462631
7850_281318_000014_000000	Mother Magpie took two sticks in her beak and began like this: "First of all, my friends, you must lay two sticks crosswise for a foundation, thus," and she placed them carefully on the branch before her.	Mother Magpie took two sticks in her beak and began like this: "First of all, my friends, you must lay two sticks crosswise for a foundation, thus," and she placed them carefully on the branch before her.	true	353.57	367.09	23.680656
7850_281318_000015_000000	"Oh yes, oh yes!" croaked old Daddy Crow, interrupting her rudely.	"Oh yes, oh yes!" croaked old Daddy Crow, interrupting her rudely.	true	367.49	372.82	24.021898
7850_281318_000015_000001	"I thought that was the way to begin."	"I thought that was the way to begin."	true	373.04	375.55	24.902967
7850_281318_000016_000000	Mother Magpie snapped her eyes at him and went on, "Next you must lay a feather on a bit of moss, to start the walls."	Mother Magpie snapped her eyes at him and went on, "Next you must lay a feather on a bit of moss, to start the walls."	true	376.07	384.16	23.124887
7850_281318_000017_000000	"Certainly, of course," screamed the Jackdaw.	"Certainly, of course," screamed the Jackdaw.	true	384.65	387.765	23.76843
7850_281318_000017_000001	"I knew that came next. That is what I told the Parrot but a moment since."	"I knew that came next. That is what I told the Parrot but a moment since."	true	387.765	392.98	25.829336
7850_281318_000018_000000	Mother Magpie looked at him impatiently, but she did not say anything. "Then, my friends, you must place on your foundation moss, hair, feathers, sticks, and grass--whatever you choose for your house.	Mother Magpie looked at him impatiently, but she did not say anything. "Then, my friends, you must place on your foundation moss, hair, feathers, sticks, and grass-whatever you choose for your house.	false	393.41	407.11	21.076366
7850_281318_000018_000001	You must place them like _this_."	You must place them like underscore this underscore."	false	407.15	410.16	22.737795
7850_281318_000019_000000	"Yes, yes," cried the Starling, "sticks and grass, every one knows how to do that!	"Yes, yes," cried the Starling, "sticks and grass, every one knows how to do that!	true	410.16	415.41	17
7850_281318_000019_000001	Of course, of course!	Of course, of course!	true	415.41	417.135	23.833403
7850_281318_000019_000002	Tell us something new."	Tell us something new."	true	417.135	418.68	21.21552
7850_281318_000020_000000	[Illustration: _"Next you must lay a feather"_]	[Illustration: underscore"Next you must lay a feather"underscore]	false	418.68	419.055	-12
7850_281318_000021_000000	Now Mother Magpie was very angry, but she kept on with her lesson in spite of these rude and silly interruptions.	Now Mother Magpie was very angry, but she kept on with her lesson in spite of these rude and silly interruptions.	false	419.055	426.82	21.251562
7850_281318_000021_000001	She turned toward the Wood-Pigeon, who was a rattle-pated young thing, and who was not having any success with the sticks which she was trying to place.	She turned toward the Wood Pigeon, who was a rattle pated young thing, and who was not having any success with the sticks which she was trying to place.	true	427.01	435.28	24
7850_281318_000022_000000	"Here, Wood-Pigeon," said Mother Magpie, "you must place those sticks through and across, criss-cross, criss-cross, _so_."	"Here, Wood Pigeon," said Mother Magpie, "you must place those sticks through and across, criss cross, criss cross, underscore so underscore."	false	435.89	444.75	22.912113
7850_281318_000023_000000	"Criss-cross, criss-cross, so," interrupted the Wood-Pigeon.	"Criss cross, criss cross, so," interrupted the Wood Pigeon.	true	444.75	448.9	24.704575
7850_281318_000023_000001	"I know. That will do-o-o, that will do-o-o!"	"I know. That will do o o, that will do o o!"	false	449.15	454.83	19.991415
7850_281318_000024_000000	Mother Magpie hopped up and down on one leg, so angry she could hardly croak.	Mother Magpie hopped up and down on one leg, so angry she could hardly croak.	true	454.83	460.24	24.184732
7850_281318_000025_000000	"You silly Pigeon," she sputtered, "not _so_.	"You silly Pigeon," she sputtered, "not underscore so underscore.	false	460.34	465.03	30.621008
7850_281318_000025_000001	You are spoiling your nest.	You are spoiling your nest.	true	465.03	466.755	25
7850_281318_000025_000002	Place the sticks _so_!"	Place the sticks underscore so underscore!"	false	466.755	469.125	21.221588
7850_281318_000026_000000	"I know, I know!	"I know, I know!	true	469.125	470.97	10
7850_281318_000026_000001	That will do-o-o, that will do-o-o!" cooed the Wood-Pigeon obstinately in her soft, foolish little voice, without paying the least attention to Mother Magpie's directions.	That will do o o, that will do o o!" cooed the Wood Pigeon obstinately in her soft, foolish little voice, without paying the least attention to Mother Magpie's directions.	false	470.97	483.01	20.400911
7850_281318_000027_000000	"We all know that--anything more?" chirped the chorus of birds, trying to conceal how anxious they were to know what came next, for the nests were only half finished.	"We all know that-anything more?" chirped the chorus of birds, trying to conceal how anxious they were to know what came next, for the nests were only half finished.	true	483.47	493.75	23.750952
7850_281318_000028_000000	But Mother Magpie was thoroughly disgusted, and refused to go on with the lesson which had been so rudely interrupted by her pupils.	But Mother Magpie was thoroughly disgusted, and refused to go on with the lesson which had been so rudely interrupted by her pupils.	true	493.91	502.15	23.233805
7850_281318_000029_000000	"You are all so wise, friends," she said, "that surely you do not need any help from me.	"You are all so wise, friends," she said, "that surely you do not need any help from me.	false	502.79	509.29	20.667736
7850_281318_000029_000001	You say you know all about it,--then go on and finish your nests by yourselves.	You say you know all about it,--then go on and finish your nests by yourselves.	true	509.48	514.81	24.068233
7850_281318_000029_000002	Much luck may you have!" And away she flew to her own cosy nest in the elm tree, where she was soon fast asleep, forgetting all about the matter.	Much luck may you have!" And away she flew to her own cosy nest in the elm tree, where she was soon fast asleep, forgetting all about the matter.	true	515	524.59	24.570679
7850_281318_000030_000000	But oh!	But oh!	true	525.05	525.87	43.05727
7850_281318_000030_000001	What a pickle the other birds were in!	What a pickle the other birds were in!	true	525.87	527.95	27
7850_281318_000030_000002	The lesson was but half finished, and most of them had not the slightest idea what to do next. That is why to this day many of the birds have never learned to build a perfect nest.	The lesson was but half finished, and most of them had not the slightest idea what to do next. That is why to this day many of the birds have never learned to build a perfect nest.	true	528.17	539.5	23.81644
7850_281318_000030_000003	Some do better than others, but none build like Mother Magpie.	Some do better than others, but none build like Mother Magpie.	true	539.69	544	25.957792
7850_281318_000031_000000	But the Wood-Pigeon was in the worst case of them all.	But the Wood Pigeon was in the worst case of them all.	true	544.52	548.05	24.796305
7850_281318_000031_000001	For she had only the foundation laid criss-cross as the Magpie had shown her.	For she had only the foundation laid criss cross as the Magpie had shown her.	false	548.24	553.3	22.553137
7850_281318_000031_000002	And so, if you find in the woods the most shiftless, silly kind of nest that you can imagine--just a platform of sticks laid flat across a branch, with no railing to keep the eggs from rolling out, no roof to keep the rain from soaking in--when you see that foolishness, you will know that it is the nest of little Mistress Wood-Pigeon, who was too stupid to learn the lesson which Mother Magpie was ready to teach.	And so, if you find in the woods the most shiftless, silly kind of nest that you can imagine-just a platform of sticks laid flat across a branch, with no railing to keep the eggs from rolling out, no roof to keep the rain from soaking in-when you see that foolishness, you will know that it is the nest of little Mistress Wood Pigeon, who was too stupid to learn the lesson which Mother Magpie was ready to teach.	true	553.46	579.49	21.961338
7850_281318_000032_000000	And the queerest part of all is that the birds blamed the Magpie for the whole matter, and have never liked her since.	And the queerest part of all is that the birds blamed the Magpie for the whole matter, and have never liked her since.	true	579.98	586.81	24.322268
7850_281318_000032_000001	But, as you may have found out for yourselves, that is often the fate of wise folk who make discoveries or who do things better than others.	But, as you may have found out for yourselves, that is often the fate of wise folk who make discoveries or who do things better than others.	false	587.15	602.1	24.818375
