1993_147149_000000_000000	[Footnote 19: The case, to my certain knowledge, in one churchyard in Manchester.	[Footnote nineteen: The case, to my certain knowledge, in one churchyard in Manchester.	false	7.98	19.11	20.182095
1993_147149_000007_000001	They were like many a pair of twins, and seemed to have but one life divided between them.	They were like many a pair of twins, and seemed to have but one life divided between them.	true	137.81	142.45	22
1993_147149_000007_000002	One life, one strength, and in this instance, I might almost say, one brain; for they were helpless, gentle, silly children, but not the less dear to their parents and to their strong, active, manly, elder brother. They were late on their feet, late in talking, late every way; had to be nursed and cared for when other lads of their age were tumbling about in the street, and losing themselves, and being taken to the police-office miles away from home.	One life, one strength, and in this instance, I might almost say, one brain; for they were helpless, gentle, silly children, but not the less dear to their parents and to their strong, active, manly, elder brother. They were late on their feet, late in talking, late every way; had to be nursed and cared for when other lads of their age were tumbling about in the street, and losing themselves, and being taken to the police office miles away from home.	false	143.03	169.33	20
1993_147149_000008_000000	Still want had never yet come in at the door to make love for these innocents fly out at the window.	Still want had never yet come in at the door to make love for these innocents fly out at the window.	false	170	175.54	17
1993_147149_000008_000001	Nor was this the case even now, when Jem Wilson's earnings, and his mother's occasional charrings were barely sufficient to give all the family their fill of food.	Nor was this the case even now, when Jem Wilson's earnings, and his mother's occasional charrings were barely sufficient to give all the family their fill of food.	true	175.79	184.36	18
1993_147149_000009_000000	But when the twins, after ailing many days, and caring little for their meat, fell sick on the same afternoon, with the same heavy stupor of suffering, the three hearts that loved them so, each felt, though none acknowledged to the other, that they had little chance for life.	But when the twins, after ailing many days, and caring little for their meat, fell sick on the same afternoon, with the same heavy stupor of suffering, the three hearts that loved them so, each felt, though none acknowledged to the other, that they had little chance for life.	true	184.82	200.74	21
1993_147149_000009_000001	It was nearly a week before the tale of their illness spread as far as the court where the Wilsons had once dwelt, and the Bartons yet lived.	It was nearly a week before the tale of their illness spread as far as the court where the Wilsons had once dwelt, and the Bartons yet lived.	true	201.23	207.97	18
1993_147149_000010_000000	Alice had heard of the illness of her little nephews several days before, and had locked her cellar door, and gone off straight to her brother's house, in Ancoats; but she was often absent for days, sent for, as her neighbours knew, to help in some sudden emergency of illness or distress, so that occasioned no surprise.	Alice had heard of the illness of her little nephews several days before, and had locked her cellar door, and gone off straight to her brother's house, in Ancoats; but she was often absent for days, sent for, as her neighbours knew, to help in some sudden emergency of illness or distress, so that occasioned no surprise.	false	208.58	225.58	17
1993_147149_000011_000000	Margaret met Jem Wilson several days after his brothers were seriously ill, and heard from him the state of things at his home. She told Mary of it as she entered the court late that evening; and Mary listened with saddened heart to the strange contrast which such woeful tidings presented to the gay and loving words she had been hearing on her walk home.	Margaret met Jem Wilson several days after his brothers were seriously ill, and heard from him the state of things at his home. She told Mary of it as she entered the court late that evening; and Mary listened with saddened heart to the strange contrast which such woeful tidings presented to the gay and loving words she had been hearing on her walk home.	false	226.31	246.13	17
1993_147149_000011_000001	She blamed herself for being so much taken up with visions of the golden future, that she had lately gone but seldom on Sunday afternoons, or other leisure time, to see Mrs. Wilson, her mother's friend; and with hasty purpose of amendment she only stayed to leave a message for her father with the next-door neighbour, and then went off at a brisk pace on her way to the house of mourning.	She blamed herself for being so much taken up with visions of the golden future, that she had lately gone but seldom on Sunday afternoons, or other leisure time, to see mrs Wilson, her mother's friend; and with hasty purpose of amendment she only stayed to leave a message for her father with the next door neighbour, and then went off at a brisk pace on her way to the house of mourning.	true	246.92	267.34	15
1993_147149_000012_000000	She stopped with her hand on the latch of the Wilsons' door, to still her beating heart, and listened to the hushed quiet within. She opened the door softly: there sat Mrs. Wilson in the old rocking-chair, with one sick, death-like boy lying on her knee, crying without let or pause, but softly, gently, as fearing to disturb the troubled, gasping child; while behind her, old Alice let her fast-dropping tears fall down on the dead body of the other twin, which she was laying out on a board, placed on a sort of sofa-settee in a corner of the room.	She stopped with her hand on the latch of the Wilsons' door, to still her beating heart, and listened to the hushed quiet within. She opened the door softly: there sat mrs Wilson in the old rocking chair, with one sick, death like boy lying on her knee, crying without let or pause, but softly, gently, as fearing to disturb the troubled, gasping child; while behind her, old Alice let her fast dropping tears fall down on the dead body of the other twin, which she was laying out on a board, placed on a sort of sofa settee in a corner of the room.	false	269.72	304.93	20
1993_147149_000012_000001	Over the child, which yet breathed, the father bent, watching anxiously for some ground of hope, where hope there was none.	Over the child, which yet breathed, the father bent, watching anxiously for some ground of hope, where hope there was none.	true	306.08	313.3	20
1993_147149_000012_000002	Mary stepped slowly and lightly across to Alice.	Mary stepped slowly and lightly across to Alice.	true	313.97	316.89	15
1993_147149_000013_000000	"Ay, poor lad!	"Ay, poor lad!	false	316.89	318.99	16.242472
1993_147149_000013_000001	God has taken him early, Mary."	God has taken him early, Mary."	true	318.99	320.68	10
1993_147149_000014_000000	Mary could not speak; she did not know what to say; it was so much worse than she expected.	Mary could not speak; she did not know what to say; it was so much worse than she expected.	false	321.56	328.3	20.904915
1993_147149_000014_000001	At last she ventured to whisper,	At last she ventured to whisper,	true	328.7	330.79	19
1993_147149_000015_000000	"Is there any chance for the other one, think you?"	"Is there any chance for the other one, think you?"	true	331.55	334.24	17
1993_147149_000016_000000	Alice shook her head, and told with a look that she believed there was none.	Alice shook her head, and told with a look that she believed there was none.	true	335.39	339.31	14
1993_147149_000016_000001	She next endeavoured to lift the little body, and carry it to its old accustomed bed in its parents' room.	She next endeavoured to lift the little body, and carry it to its old accustomed bed in its parents' room.	false	339.89	345.61	17
1993_147149_000016_000002	But earnest as the father was in watching the yet-living, he had eyes and ears for all that concerned the dead, and sprang gently up, and took his dead son on his hard couch in his arms with tender strength, and carried him upstairs as if afraid of wakening him.	But earnest as the father was in watching the yet living, he had eyes and ears for all that concerned the dead, and sprang gently up, and took his dead son on his hard couch in his arms with tender strength, and carried him upstairs as if afraid of wakening him.	true	346.55	363.22	20
1993_147149_000017_000000	The other child gasped longer, louder, with more of effort.	The other child gasped longer, louder, with more of effort.	false	363.89	369.94	19.043491
1993_147149_000018_000000	"We mun get him away from his mother.	"We mun get him away from his mother.	true	369.98	371.89	23
1993_147149_000018_000001	He cannot die while she's wishing him."	He cannot die while she's wishing him."	true	371.9	373.9	22.400076
1993_147149_000019_000000	"Wishing him?" said Mary, in a tone of inquiry.	"Wishing him?" said Mary, in a tone of inquiry.	true	374.75	377.28	11
1993_147149_000020_000000	"Ay; donno ye know what wishing means?	"Ay; donno ye know what wishing means?	false	377.28	380.44	17.926992
1993_147149_000020_000001	There's none can die in the arms of those who are wishing them sore to stay on earth.	There's none can die in the arms of those who are wishing them sore to stay on earth.	true	380.72	385.06	16
1993_147149_000020_000002	The soul o' them as holds them won't let the dying soul go free; so it has a hard struggle for the quiet of death.	The soul o' them as holds them won't let the dying soul go free; so it has a hard struggle for the quiet of death.	false	385.34	392.44	18.581522
1993_147149_000020_000003	We mun get him away fra' his mother, or he'll have a hard death, poor lile [20] fellow."	We mun get him away fra' his mother, or he'll have a hard death, poor lile [twenty] fellow."	false	392.78	396.45	22
1993_147149_000021_000000	[Footnote 20: "Lile," a north-country word for "little." "Wit _leil_ labour to live."--_Piers Ploughman._]	[Footnote twenty: "Lile," a north country word for "little." "Wit underscore leil underscore labour to live."--underscore Piers Ploughman.underscore]	false	396.45	399.18	14.737013
1993_147149_000022_000000	So without circumlocution she went and offered to take the sinking child.	So without circumlocution she went and offered to take the sinking child.	true	399.18	403.42	17
1993_147149_000022_000001	But the mother would not let him go, and looking in Alice's face with brimming and imploring eyes, declared in earnest whispers, that she was not wishing him, that she would fain have him released from his suffering.	But the mother would not let him go, and looking in Alice's face with brimming and imploring eyes, declared in earnest whispers, that she was not wishing him, that she would fain have him released from his suffering.	false	403.67	416.8	23.092703
1993_147149_000022_000002	Alice and Mary stood by with eyes fixed on the poor child, whose struggles seemed to increase, till at last his mother said with a choking voice,	Alice and Mary stood by with eyes fixed on the poor child, whose struggles seemed to increase, till at last his mother said with a choking voice,	true	417.35	426.7	21
1993_147149_000023_000000	"May happen [21] yo'd better take him, Alice; I believe my heart's wishing him a' this while, for I cannot, no, I cannot bring mysel to let my two childer go in one day; I cannot help longing to keep him, and yet he sha'not suffer longer for me."	"May happen [twenty one] yo'd better take him, Alice; I believe my heart's wishing him a' this while, for I cannot, no, I cannot bring mysel to let my two childer go in one day; I cannot help longing to keep him, and yet he sha'not suffer longer for me."	false	428.3	442.17	21.82715
1993_147149_000024_000000	[Footnote 21: "May happen," perhaps.]	[Footnote twenty one: "May happen," perhaps.]	false	442.17	443.37	-20
1993_147149_000025_000000	She bent down, and fondly, oh! with what passionate fondness, kissed her child, and then gave him up to Alice, who took him with tender care.	She bent down, and fondly, oh! with what passionate fondness, kissed her child, and then gave him up to Alice, who took him with tender care.	true	443.37	453.16	22.563837
1993_147149_000025_000001	Nature's struggles were soon exhausted, and he breathed his little life away in peace.	Nature's struggles were soon exhausted, and he breathed his little life away in peace.	true	453.92	459.43	21
1993_147149_000026_000000	Then the mother lifted up her voice and wept.	Then the mother lifted up her voice and wept.	true	460.31	462.91	17
1993_147149_000026_000001	Her cries brought her husband down to try with his aching heart to comfort hers.	Her cries brought her husband down to try with his aching heart to comfort hers.	true	463.22	467.98	17
1993_147149_000026_000002	Again Alice laid out the dead, Mary helping with reverent fear.	Again Alice laid out the dead, Mary helping with reverent fear.	true	468.56	473.02	23.145266
1993_147149_000026_000003	The father and mother carried him up-stairs to the bed, where his little brother lay in calm repose.	The father and mother carried him up stairs to the bed, where his little brother lay in calm repose.	false	473.51	478.6	16
1993_147149_000027_000000	Mary and Alice drew near the fire, and stood in quiet sorrow for some time.	Mary and Alice drew near the fire, and stood in quiet sorrow for some time.	true	479.3	483.79	14
1993_147149_000027_000001	Then Alice broke the silence by saying,	Then Alice broke the silence by saying,	true	484.28	486.76	16
1993_147149_000028_000000	"It will be bad news for Jem, poor fellow, when he comes home."	"It will be bad news for Jem, poor fellow, when he comes home."	true	487.73	491.53	18
1993_147149_000029_000000	"Where is he?" asked Mary.	"Where is he?" asked Mary.	true	492.59	494.47	22.786062
1993_147149_000030_000000	"Working over-hours at th' shop.	"Working over hours at t h' shop.	false	495.44	497.38	18
1993_147149_000030_000001	They'n getten a large order fra' forrin parts; and yo' know, Jem mun work, though his heart's well-nigh breaking for these poor laddies."	They'n getten a large order fra' forrin parts; and yo' know, Jem mun work, though his heart's well nigh breaking for these poor laddies."	false	497.69	504.58	20
1993_147149_000031_000000	Again they were silent in thought, and again Alice spoke first.	Again they were silent in thought, and again Alice spoke first.	false	505.85	510.37	25.5413
1993_147149_000032_000000	"I sometimes think the Lord is against planning.	"I sometimes think the Lord is against planning.	false	511.43	514.44	22.92614
1993_147149_000032_000001	Whene'er I plan over-much, He is sure to send and mar all my plans, as if He would ha' me put the future into His hands.	Whene'er I plan over much, He is sure to send and mar all my plans, as if He would ha' me put the future into His hands.	false	514.44	520.75	16
1993_147149_000032_000002	Afore Christmas-time I was as full as full could be, of going home for good and all; yo' han heard how I've wished it this terrible long time.	Afore Christmas time I was as full as full could be, of going home for good and all; yo' han heard how I've wished it this terrible long time.	false	521.24	528.97	21
1993_147149_000032_000003	And a young lass from behind Burton came into place in Manchester last Martinmas; so after awhile, she had a Sunday out, and she comes to me, and tells me some cousins o' mine bid her find me out, and say how glad they should be to ha' me to bide wi' 'em, and look after th' childer, for they'n getten a big farm, and she's a deal to do among th' cows.	And a young lass from behind Burton came into place in Manchester last Martinmas; so after awhile, she had a Sunday out, and she comes to me, and tells me some cousins o' mine bid her find me out, and say how glad they should be to ha' me to bide wi' 'em, and look after thanksgiving' childer, for they'n getten a big farm, and she's a deal to do among t h' cows.	false	529.46	548.5	20
1993_147149_000032_000004	So many a winter's night did I lie awake and think, that please God, come summer, I'd bid George and his wife good bye, and go home at last. Little did I think how God Almighty would baulk me, for not leaving my days in His hands, who had led me through the wilderness hitherto. Here's George out o' work, and more cast down than ever I seed him; wanting every chip o' comfort he can get, e'en afore this last heavy stroke; and now I'm thinking the Lord's finger points very clear to my fit abiding place; and I'm sure if George and Jane can say 'His will be done,' it's no more than what I'm beholden to do."	So many a winter's night did I lie awake and think, that please God, come summer, I'd bid George and his wife good bye, and go home at last. Little did I think how God Almighty would baulk me, for not leaving my days in His hands, who had led me through the wilderness hitherto. Here's George out o' work, and more cast down than ever I seed him; wanting every chip o' comfort he can get, e'en afore this last heavy stroke; and now I'm thinking the Lord's finger points very clear to my fit abiding place; and I'm sure if George and Jane can say 'His will be done,' it's no more than what I'm beholden to do."	false	548.84	583.42	20.912254
1993_147149_000033_000000	So saying, she fell to tidying the room, removing as much as she could every vestige of sickness; making up the fire, and setting on the kettle for a cup of tea for her sister-in-law, whose low moans and sobs were occasionally heard in the room below.	So saying, she fell to tidying the room, removing as much as she could every vestige of sickness; making up the fire, and setting on the kettle for a cup of tea for her sister in law, whose low moans and sobs were occasionally heard in the room below.	true	584.3	598.51	19.20517
1993_147149_000034_000000	Mary helped her in all these little offices.	Mary helped her in all these little offices.	true	599.27	601.63	18
1993_147149_000034_000001	They were busy in this way when the door was softly opened, and Jem came in, all grimed and dirty from his night-work, his soiled apron wrapped round his middle, in guise and apparel in which he would have been sorry at another time to have been seen by Mary.	They were busy in this way when the door was softly opened, and Jem came in, all grimed and dirty from his night work, his soiled apron wrapped round his middle, in guise and apparel in which he would have been sorry at another time to have been seen by Mary.	true	602	615.46	16
1993_147149_000034_000002	But just now he hardly saw her; he went straight up to Alice, and asked how the little chaps were.	But just now he hardly saw her; he went straight up to Alice, and asked how the little chaps were.	true	615.83	622.21	24.547934
1993_147149_000034_000003	They had been a shade better at dinner-time, and he had been working away through the long afternoon, and far into the night, in the belief that they had taken the turn.	They had been a shade better at dinner time, and he had been working away through the long afternoon, and far into the night, in the belief that they had taken the turn.	true	622.61	630.52	17
1993_147149_000034_000004	He had stolen out during the half-hour allowed at the works for tea, to buy them an orange or two, which now puffed out his jacket-pocket.	He had stolen out during the half hour allowed at the works for tea, to buy them an orange or two, which now puffed out his jacket pocket.	true	631.61	639.76	23.120224
1993_147149_000035_000000	He would make his aunt speak; he would not understand her shakes of the head and fast coursing tears.	He would make his aunt speak; he would not understand her shakes of the head and fast coursing tears.	true	641.12	646.21	15
1993_147149_000036_000000	"They're both gone," said she.	"They're both gone," said she.	true	647.39	649.33	24.126835
1993_147149_000037_000000	"Dead!"	"Dead!"	true	649.76	650.4	26.810816
1993_147149_000038_000000	"Ay! poor fellows.	"Ay! poor fellows.	false	650.4	652.63	18.780573
1993_147149_000038_000001	They took worse about two o'clock.	They took worse about two o'clock.	true	653.39	655.33	24
1993_147149_000038_000002	Joe went first, as easy as a lamb, and Will died harder like."	Joe went first, as easy as a lamb, and Will died harder like."	false	655.64	660.43	22.160582
1993_147149_000039_000000	"Both!"	"Both!"	true	660.89	661.83	19.511057
1993_147149_000040_000000	"Ay, lad!	"Ay, lad!	false	661.83	663.24	20.0133
1993_147149_000040_000001	both.	both.	true	663.24	664.03	18.622093
1993_147149_000040_000002	The Lord has ta'en them from some evil to come, or He would na ha' made choice o' them.	The Lord has ta'en them from some evil to come, or He would na ha' made choice o' them.	false	664.64	669.15	19
1993_147149_000040_000003	Ye may rest sure o' that."	Ye may rest sure o' that."	false	669.15	670.51	24.403555
1993_147149_000041_000000	Jem went to the cupboard, and quietly extricated from his pocket the oranges he had bought.	Jem went to the cupboard, and quietly extricated from his pocket the oranges he had bought.	true	671.33	676.21	21
1993_147149_000041_000001	But he stayed long there, and at last his sturdy frame shook with his strong agony.	But he stayed long there, and at last his sturdy frame shook with his strong agony.	true	676.61	681.88	18.311277
1993_147149_000041_000002	The two women were frightened, as women always are, on witnessing a man's overpowering grief.	The two women were frightened, as women always are, on witnessing a man's overpowering grief.	true	682.61	688.27	19
1993_147149_000041_000003	They cried afresh in company.	They cried afresh in company.	true	688.49	690.34	21
1993_147149_000041_000004	Mary's heart melted within her as she witnessed Jem's sorrow, and she stepped gently up to the corner where he stood, with his back turned to them, and putting her hand softly on his arm, said,	Mary's heart melted within her as she witnessed Jem's sorrow, and she stepped gently up to the corner where he stood, with his back turned to them, and putting her hand softly on his arm, said,	true	691.16	702.34	21.97122
1993_147149_000042_000000	"Oh, Jem, don't give way so; I cannot bear to see you."	"Oh, Jem, don't give way so; I cannot bear to see you."	true	702.8	705.94	20
1993_147149_000043_000000	Jem felt a strange leap of joy in his heart, and knew the power she had of comforting him.	Jem felt a strange leap of joy in his heart, and knew the power she had of comforting him.	true	707.21	712.45	20
1993_147149_000043_000001	He did not speak, as though fearing to destroy by sound or motion the happiness of that moment, when her soft hand's touch thrilled through his frame, and her silvery voice was whispering tenderness in his ear.	He did not speak, as though fearing to destroy by sound or motion the happiness of that moment, when her soft hand's touch thrilled through his frame, and her silvery voice was whispering tenderness in his ear.	false	713.15	726.01	20
1993_147149_000043_000002	Yes! it might be very wrong; he could almost hate himself for it; with death and woe so surrounding him, it yet was happiness, was bliss, to be so spoken to by Mary.	Yes! it might be very wrong; he could almost hate himself for it; with death and woe so surrounding him, it yet was happiness, was bliss, to be so spoken to by Mary.	false	726.08	739.51	20.396606
1993_147149_000044_000000	"Don't, Jem, please don't," whispered she again, believing that his silence was only another form of grief.	"Don't, Jem, please don't," whispered she again, believing that his silence was only another form of grief.	true	741.05	747.4	20.477985
1993_147149_000045_000000	He could not contain himself.	He could not contain himself.	true	748.31	750.55	22.117956
1993_147149_000045_000001	He took her hand in his firm yet trembling grasp, and said, in tones that instantly produced a revulsion in her mood,	He took her hand in his firm yet trembling grasp, and said, in tones that instantly produced a revulsion in her mood,	true	750.65	757.9	17
1993_147149_000046_000000	"Mary, I almost loathe myself when I feel I would not give up this minute, when my brothers lie dead, and father and mother are in such trouble, for all my life that's past and gone.	"Mary, I almost loathe myself when I feel I would not give up this minute, when my brothers lie dead, and father and mother are in such trouble, for all my life that's past and gone.	false	758.81	769.2	20
1993_147149_000046_000001	And, Mary (as she tried to release her hand), you know what makes me feel so blessed."	And, Mary (as she tried to release her hand), you know what makes me feel so blessed."	false	769.2	775.15	24.915785
1993_147149_000047_000000	She did know--he was right there.	She did know-he was right there.	true	775.76	777.82	16.06318
1993_147149_000047_000001	But as he turned to catch a look at her sweet face, he saw that it expressed unfeigned distress, almost amounting to vexation; a dread of him, that he thought was almost repugnance.	But as he turned to catch a look at her sweet face, he saw that it expressed unfeigned distress, almost amounting to vexation; a dread of him, that he thought was almost repugnance.	true	778.25	789.58	21
1993_147149_000048_000000	He let her hand go, and she quickly went away to Alice's side.	He let her hand go, and she quickly went away to Alice's side.	true	790.16	794.1	18
1993_147149_000049_000000	"Fool that I was--nay, wretch that I was--to let myself take this time of trouble to tell her how I loved her; no wonder that she turns away from such a selfish beast."	"Fool that I was-nay, wretch that I was-to let myself take this time of trouble to tell her how I loved her; no wonder that she turns away from such a selfish beast."	false	794.1	806.05	24.268196
1993_147149_000050_000000	Partly to relieve her from his presence, and partly from natural desire, and partly, perhaps, from a penitent wish to share to the utmost his parents' sorrow, he soon went up-stairs to the chamber of death.	Partly to relieve her from his presence, and partly from natural desire, and partly, perhaps, from a penitent wish to share to the utmost his parents' sorrow, he soon went up stairs to the chamber of death.	true	806.84	819.82	24
1993_147149_000051_000000	Mary mechanically helped Alice in all the duties she performed through the remainder of that long night, but she did not see Jem again.	Mary mechanically helped Alice in all the duties she performed through the remainder of that long night, but she did not see Jem again.	true	820.46	828.28	20
1993_147149_000051_000001	He remained up-stairs until after the early dawn showed Mary that she need have no fear of going home through the deserted and quiet streets, to try and get a little sleep before work hour.	He remained up stairs until after the early dawn showed Mary that she need have no fear of going home through the deserted and quiet streets, to try and get a little sleep before work hour.	true	829.22	839.05	16
1993_147149_000051_000002	So leaving kind messages to George and Jane Wilson, and hesitating whether she might dare to send a few kind words to Jem, and deciding that she had better not, she stepped out into the bright morning light, so fresh a contrast to the darkened room where death had been.	So leaving kind messages to George and Jane Wilson, and hesitating whether she might dare to send a few kind words to Jem, and deciding that she had better not, she stepped out into the bright morning light, so fresh a contrast to the darkened room where death had been.	true	839.66	855.52	21.931534
1993_147149_000052_000000	"They had Another morn than ours."	"They had Another morn than ours."	true	856.43	858.46	13.260434
1993_147149_000053_000000	Mary lay down on her bed in her clothes; and whether it was this, or the broad daylight that poured in through the sky-window, or whether it was over-excitement, it was long before she could catch a wink of sleep.	Mary lay down on her bed in her clothes; and whether it was this, or the broad daylight that poured in through the sky window, or whether it was over excitement, it was long before she could catch a wink of sleep.	true	859.82	872.11	21.785162
1993_147149_000053_000001	Her thoughts ran on Jem's manner and words; not but what she had known the tale they told for many a day; but still she wished he had not put it so plainly.	Her thoughts ran on Jem's manner and words; not but what she had known the tale they told for many a day; but still she wished he had not put it so plainly.	true	872.99	883.06	21.873974
1993_147149_000054_000000	"Oh dear," said she to herself, "I wish he would not mistake me so; I never dare to speak a common word o' kindness, but his eye brightens and his cheek flushes.	"Oh dear," said she to herself, "I wish he would not mistake me so; I never dare to speak a common word o' kindness, but his eye brightens and his cheek flushes.	false	884.75	895.72	23.363787
1993_147149_000054_000001	It's very hard on me; for father and George Wilson are old friends; and Jem and I ha' known each other since we were quite children.	It's very hard on me; for father and George Wilson are old friends; and Jem and I ha' known each other since we were quite children.	false	896.03	904.57	20
1993_147149_000054_000002	I cannot think what possesses me, that I must always be wanting to comfort him when he's downcast, and that I must go meddling wi' him to-night, when sure enough it was his aunt's place to speak to him.	I cannot think what possesses me, that I must always be wanting to comfort him when he's downcast, and that I must go meddling wi' him to night, when sure enough it was his aunt's place to speak to him.	false	905.57	916.57	21
1993_147149_000054_000003	I don't care for him, and yet, unless I'm always watching myself, I'm speaking to him in a loving voice.	I don't care for him, and yet, unless I'm always watching myself, I'm speaking to him in a loving voice.	true	917.33	923.23	17
1993_147149_000054_000004	I think I cannot go right, for I either check myself till I'm downright cross to him, or else I speak just natural, and that's too kind and tender by half.	I think I cannot go right, for I either check myself till I'm downright cross to him, or else I speak just natural, and that's too kind and tender by half.	true	923.51	932.74	24.272816
1993_147149_000054_000005	And I'm as good as engaged to be married to another; and another far handsomer than Jem; only I think I like Jem's face best for all that; liking's liking, and there's no help for it.	And I'm as good as engaged to be married to another; and another far handsomer than Jem; only I think I like Jem's face best for all that; liking's liking, and there's no help for it.	true	933.35	945.16	22
1993_147149_000054_000006	Well, when I'm Mrs. Harry Carson, may happen I can put some good fortune in Jem's way.	Well, when I'm mrs Harry Carson, may happen I can put some good fortune in Jem's way.	true	945.98	951.31	20.83154
1993_147149_000054_000007	But will he thank me for it?	But will he thank me for it?	false	952.04	953.68	20.749329
1993_147149_000054_000008	He's rather savage at times, that I can see, and perhaps kindness from me, when I'm another's, will only go against the grain.	He's rather savage at times, that I can see, and perhaps kindness from me, when I'm another's, will only go against the grain.	true	954.29	961.75	19.86982
1993_147149_000054_000009	I'll not plague myself wi' thinking any more about him, that I won't."	I'll not plague myself wi' thinking any more about him, that I won't."	false	963.47	966.91	22.781523
1993_147149_000055_000000	So she turned on her pillow, and fell asleep, and dreamt of what was often in her waking thoughts; of the day when she should ride from church in her carriage, with wedding-bells ringing, and take up her astonished father, and drive away from the old dim work-a-day court for ever, to live in a grand house, where her father should have newspapers, and pamphlets, and pipes, and meat dinners every day,--and all day long if he liked.	So she turned on her pillow, and fell asleep, and dreamt of what was often in her waking thoughts; of the day when she should ride from church in her carriage, with wedding bells ringing, and take up her astonished father, and drive away from the old dim work a day court for ever, to live in a grand house, where her father should have newspapers, and pamphlets, and pipes, and meat dinners every day,--and all day long if he liked.	true	967.79	994	20
1993_147149_000056_000000	Such thoughts mingled in her predilection for the handsome young Mr. Carson, who, unfettered by work-hours, let scarcely a day pass without contriving a meeting with the beautiful little milliner he had first seen while lounging in a shop where his sisters were making some purchases, and afterwards never rested till he had freely, though respectfully, made her acquaintance in her daily walks.	Such thoughts mingled in her predilection for the handsome young mr Carson, who, unfettered by work hours, let scarcely a day pass without contriving a meeting with the beautiful little milliner he had first seen while lounging in a shop where his sisters were making some purchases, and afterwards never rested till he had freely, though respectfully, made her acquaintance in her daily walks.	true	995.15	1018.06	17
1993_147149_000056_000001	He was, to use his own expression to himself, quite infatuated by her, and was restless each day till the time came when he had a chance, and, of late, more than a chance of meeting her.	He was, to use his own expression to himself, quite infatuated by her, and was restless each day till the time came when he had a chance, and, of late, more than a chance of meeting her.	false	1018.64	1031.44	19
