251_118436_000000_000000	THE PEOPLE OF THE BLACK CIRCLE ***	THE PEOPLE OF THE BLACK CIRCLE asterisk asterisk asterisk	false	2.58	7.2	23.685326
251_118436_000010_000003	As you well know, there are ten men and ten women whose sole duty is to taste his food and wine, and fifty armed warriors guard his chamber as they guard it now.	As you well know, there are ten men and ten women whose sole duty is to taste his food and wine, and fifty armed warriors guard his chamber as they guard it now.	true	138.2	148.99	17
251_118436_000010_000004	No, it is not poison; it is sorcery--black, ghastly magic--'	No, it is not poison; it is sorcery-black, ghastly magic-'	false	149.18	155.53	27.351519
251_118436_000011_000000	She ceased as the king spoke; his livid lips did not move, and there was no recognition in his glassy eyes.	She ceased as the king spoke; his livid lips did not move, and there was no recognition in his glassy eyes.	true	156.38	164.17	20.316721
251_118436_000011_000001	But his voice rose in an eery call, indistinct and far away, as if called to her from beyond vast, wind-blown gulfs.	But his voice rose in an eery call, indistinct and far away, as if called to her from beyond vast, wind blown gulfs.	true	164.42	173.68	21.960155
251_118436_000012_000000	'Yasmina!	'Yasmina!	true	174.89	176.38	24.886028
251_118436_000012_000001	Yasmina!	Yasmina!	true	176.78	178.21	19.644241
251_118436_000012_000002	My sister, where are you?	My sister, where are you?	true	178.43	180.79	27.683079
251_118436_000012_000003	I can not find you.	I can not find you.	true	181.16	182.89	22.026915
251_118436_000012_000004	All is darkness, and the roaring of great winds!'	All is darkness, and the roaring of great winds!'	true	183.17	187.42	21.858831
251_118436_000013_000000	'Brother!' cried Yasmina, catching his limp hand in a convulsive grasp. 'I am here!	'Brother!' cried Yasmina, catching his limp hand in a convulsive grasp. 'I am here!	true	188.33	194.68	23.00721
251_118436_000013_000001	Do you not know me--'	Do you not know me-'	true	194.99	196.42	26.078823
251_118436_000014_000000	Her voice died at the utter vacancy of his face.	Her voice died at the utter vacancy of his face.	true	197.18	200.32	22
251_118436_000014_000001	A low confused moan waned from his mouth.	A low confused moan waned from his mouth.	true	200.6	203.89	24.540651
251_118436_000014_000002	The slave-girls at the foot of the dais whimpered with fear, and Yasmina beat her breast in anguish.	The slave girls at the foot of the dais whimpered with fear, and Yasmina beat her breast in anguish.	true	203.96	210.37	23
251_118436_000015_000000	In another part of the city a man stood in a latticed balcony overlooking a long street in which torches tossed luridly, smokily revealing upturned dark faces and the whites of gleaming eyes.	In another part of the city a man stood in a latticed balcony overlooking a long street in which torches tossed luridly, smokily revealing upturned dark faces and the whites of gleaming eyes.	true	211.76	224.68	22
251_118436_000015_000001	A long-drawn wailing rose from the multitude.	A long drawn wailing rose from the multitude.	true	225.08	228.4	20.702106
251_118436_000016_000000	The man shrugged his broad shoulders and turned back into the arabesque chamber.	The man shrugged his broad shoulders and turned back into the arabesque chamber.	true	228.89	233.74	22
251_118436_000016_000001	He was a tall man, compactly built, and richly clad.	He was a tall man, compactly built, and richly clad.	true	234.05	238.24	24.123856
251_118436_000017_000000	'The king is not yet dead, but the dirge is sounded,' he said to another man who sat cross-legged on a mat in a corner.	'The king is not yet dead, but the dirge is sounded,' he said to another man who sat cross legged on a mat in a corner.	true	239.57	247.42	21.917664
251_118436_000017_000001	This man was clad in a brown camel-hair robe and sandals, and a green turban was on his head. His expression was tranquil, his gaze impersonal.	This man was clad in a brown camel hair robe and sandals, and a green turban was on his head. His expression was tranquil, his gaze impersonal.	true	247.94	258.61	21.798376
251_118436_000018_000000	'The people know he will never see another dawn,' this man answered.	'The people know he will never see another dawn,' this man answered.	true	259.76	264.4	20.100315
251_118436_000019_000000	The first speaker favored him with a long, searching stare.	The first speaker favored him with a long, searching stare.	true	265.55	269.44	22.920815
251_118436_000020_000000	'What I can not understand,' he said, 'is why I have had to wait so long for your masters to strike.	'What I can not understand,' he said, 'is why I have had to wait so long for your masters to strike.	false	270.32	277.45	25.75747
251_118436_000020_000001	If they have slain the king now, why could they not have slain him months ago?'	If they have slain the king now, why could they not have slain him months ago?'	true	277.73	282.31	20.698353
251_118436_000021_000000	'Even the arts you call sorcery are governed by cosmic laws,' answered the man in the green turban.	'Even the arts you call sorcery are governed by cosmic laws,' answered the man in the green turban.	true	283.52	290.05	21.130663
251_118436_000021_000001	'The stars direct these actions, as in other affairs.	'The stars direct these actions, as in other affairs.	true	290.51	294.28	24.893988
251_118436_000021_000002	Not even my masters can alter the stars.	Not even my masters can alter the stars.	true	294.71	297.73	21.31504
251_118436_000021_000003	Not until the heavens were in the proper order could they perform this necromancy.' With a long, stained fingernail he mapped the constellations on the marble-tiled floor.	Not until the heavens were in the proper order could they perform this necromancy.' With a long, stained fingernail he mapped the constellations on the marble tiled floor.	true	298.01	309.76	23.24152
251_118436_000021_000004	'The slant of the moon presaged evil for the king of Vendhya; the stars are in turmoil, the Serpent in the House of the Elephant.	'The slant of the moon presaged evil for the king of Vendhya; the stars are in turmoil, the Serpent in the House of the Elephant.	true	310.94	319.36	22.270723
251_118436_000021_000005	During such juxtaposition, the invisible guardians are removed from the spirit of Bhunda Chand.	During such juxtaposition, the invisible guardians are removed from the spirit of Bhunda Chand.	true	319.7	325.57	16
251_118436_000021_000006	A path is opened in the unseen realms, and once a point of contact was established, mighty powers were put in play along that path.'	A path is opened in the unseen realms, and once a point of contact was established, mighty powers were put in play along that path.'	true	325.97	335.41	24.191292
251_118436_000022_000000	'Point of contact?' inquired the other.	'Point of contact?' inquired the other.	true	336.47	339.31	24.061619
251_118436_000022_000001	'Do you mean that lock of Bhunda Chand's hair?'	'Do you mean that lock of Bhunda Chand's hair?'	true	339.41	342.25	27.786793
251_118436_000023_000000	'Yes.	'Yes.	true	342.98	343.87	23.111954
251_118436_000023_000001	All discarded portions of the human body still remain part of it, attached to it by intangible connections.	All discarded portions of the human body still remain part of it, attached to it by intangible connections.	true	344.18	351.25	24.045826
251_118436_000023_000002	The priests of Asura have a dim inkling of this truth, and so all nail trimmings, hair and other waste products of the persons of the royal family are carefully reduced to ashes and the ashes hidden.	The priests of Asura have a dim inkling of this truth, and so all nail trimmings, hair and other waste products of the persons of the royal family are carefully reduced to ashes and the ashes hidden.	true	351.8	364.39	23.078987
251_118436_000023_000003	But at the urgent entreaty of the princess of Khosala, who loved Bhunda Chand vainly, he gave her a lock of his long black hair as a token of remembrance.	But at the urgent entreaty of the princess of Khosala, who loved Bhunda Chand vainly, he gave her a lock of his long black hair as a token of remembrance.	true	365.54	376	19
251_118436_000023_000004	When my masters decided upon his doom, the lock, in its golden, jewel-encrusted case, was stolen from under her pillow while she slept, and another substituted, so like the first that she never knew the difference.	When my masters decided upon his doom, the lock, in its golden, jewel encrusted case, was stolen from under her pillow while she slept, and another substituted, so like the first that she never knew the difference.	true	376.46	391.66	23.353973
251_118436_000023_000005	Then the genuine lock travelled by camel-caravan up the long, long road to Peshkhauri, thence up the Zhaibar Pass, until it reached the hands of those for whom it was intended.'	Then the genuine lock travelled by camel caravan up the long, long road to Peshkhauri, thence up the Zhaibar Pass, until it reached the hands of those for whom it was intended.'	true	392.18	403.99	22.867865
251_118436_000024_000000	'Only a lock of hair,' murmured the nobleman.	'Only a lock of hair,' murmured the nobleman.	true	405.08	408.25	24.513994
251_118436_000025_000000	'By which a soul is drawn from its body and across gulfs of echoing space,' returned the man on the mat.	'By which a soul is drawn from its body and across gulfs of echoing space,' returned the man on the mat.	true	408.86	416.41	24.418951
251_118436_000026_000000	The nobleman studied him curiously.	The nobleman studied him curiously.	true	417.14	419.5	25.49067
251_118436_000027_000000	'I do not know if you are a man or a demon, Khemsa,' he said at last. 'Few of us are what we seem.	'I do not know if you are a man or a demon, Khemsa,' he said at last. 'Few of us are what we seem.	true	420.71	428.775	20.633205
251_118436_000027_000001	I, whom the Kshatriyas know as Kerim Shah, a prince from Iranistan, am no greater a masquerader than most men.	I, whom the Kshatriyas know as Kerim Shah, a prince from Iranistan, am no greater a masquerader than most men.	true	428.775	437.08	25.471958
251_118436_000027_000002	They are all traitors in one way or another, and half of them know not whom they serve.	They are all traitors in one way or another, and half of them know not whom they serve.	true	437.6	443.05	19.926607
251_118436_000027_000003	There at least I have no doubts; for I serve King Yezdigerd of Turan.'	There at least I have no doubts; for I serve King Yezdigerd of Turan.'	true	444.08	450.07	22.323761
251_118436_000028_000000	'And I the Black Seers of Yimsha,' said Khemsa; 'and my masters are greater than yours, for they have accomplished by their arts what Yezdigerd could not with a hundred thousand swords.'	'And I the Black Seers of Yimsha,' said Khemsa; 'and my masters are greater than yours, for they have accomplished by their arts what Yezdigerd could not with a hundred thousand swords.'	true	451.19	464.53	22.510267
251_118436_000029_000000	Outside, the moan of the tortured thousands shuddered up to the stars which crusted the sweating Vendhyan night, and the conchs bellowed like oxen in pain.	Outside, the moan of the tortured thousands shuddered up to the stars which crusted the sweating Vendhyan night, and the conchs bellowed like oxen in pain.	true	466.19	477.04	22.737368
251_118436_000030_000000	In the gardens of the palace the torches glinted on polished helmets and curved swords and gold-chased corselets.	In the gardens of the palace the torches glinted on polished helmets and curved swords and gold chased corselets.	false	477.8	484.87	21
251_118436_000030_000001	All the noble-born fighting-men of Ayodhya were gathered in the great palace or about it, and at each broad-arched gate and door fifty archers stood on guard, with bows in their hands.	All the noble born fighting men of Ayodhya were gathered in the great palace or about it, and at each broad arched gate and door fifty archers stood on guard, with bows in their hands.	true	486.08	498.34	20.682043
251_118436_000030_000002	But Death stalked through the royal palace and none could stay his ghostly tread.	But Death stalked through the royal palace and none could stay his ghostly tread.	false	498.95	504.31	26.269974
251_118436_000031_000000	On the dais under the golden dome the king cried out again, racked by awful paroxysms.	On the dais under the golden dome the king cried out again, racked by awful paroxysms.	true	505.34	511.66	23
251_118436_000031_000001	Again his voice came faintly and far away, and again the Devi bent to him, trembling with a fear that was darker than the terror of death.	Again his voice came faintly and far away, and again the Devi bent to him, trembling with a fear that was darker than the terror of death.	false	511.82	524.25	21.647118
251_118436_000032_000000	'Yasmina!' Again that far, weirdly dreeing cry, from realms immeasurable.	'Yasmina!' Again that far, weirdly dreeing cry, from realms immeasurable.	true	524.25	531.1	18.847872
251_118436_000032_000001	'Aid me!	'Aid me!	true	531.77	532.99	22.331379
251_118436_000032_000002	I am far from my mortal house!	I am far from my mortal house!	true	533.36	536.08	23.049608
251_118436_000032_000003	Wizards have drawn my soul through the wind-blown darkness.	Wizards have drawn my soul through the wind blown darkness.	true	536.45	540.64	16
251_118436_000032_000004	They seek to snap the silver cord that binds me to my dying body.	They seek to snap the silver cord that binds me to my dying body.	true	541.07	546.01	20
251_118436_000032_000005	They cluster around me; their hands are taloned, their eyes are red like flame burning in darkness.	They cluster around me; their hands are taloned, their eyes are red like flame burning in darkness.	true	546.53	554.82	19.236698
251_118436_000032_000006	_Aie_, save me, my sister!	underscore Aie underscore, save me, my sister!	false	554.82	558.28	20.41152
251_118436_000032_000007	Their fingers sear me like fire!	Their fingers sear me like fire!	true	558.53	561.22	23.216341
251_118436_000032_000008	They would slay my body and damn my soul!	They would slay my body and damn my soul!	true	561.41	565.24	17.6387
251_118436_000032_000009	What is this they bring before me?--_Aie!_'	What is this they bring before me?--underscore Aie!underscore'	false	566.12	571.95	17.312748
251_118436_000033_000000	At the terror in his hopeless cry Yasmina screamed uncontrollably and threw herself bodily upon him in the abandon of her anguish.	At the terror in his hopeless cry Yasmina screamed uncontrollably and threw herself bodily upon him in the abandon of her anguish.	true	571.95	580.47	14
251_118436_000033_000001	He was torn by a terrible convulsion; foam flew from his contorted lips and his writhing fingers left their marks on the girl's shoulders.	He was torn by a terrible convulsion; foam flew from his contorted lips and his writhing fingers left their marks on the girl's shoulders.	false	580.47	589.87	24.037622
251_118436_000033_000002	But the glassy blankness passed from his eyes like smoke blown from a fire, and he looked up at his sister with recognition.	But the glassy blankness passed from his eyes like smoke blown from a fire, and he looked up at his sister with recognition.	true	590.45	599.08	22.443768
251_118436_000034_000000	'Brother!' she sobbed.	'Brother!' she sobbed.	true	600.08	602.08	24.302086
251_118436_000034_000001	'Brother--'	'Brother-'	true	602.18	603.1	18.477444
251_118436_000035_000000	'Swift!' he gasped, and his weakening voice was rational.	'Swift!' he gasped, and his weakening voice was rational.	true	603.89	608.29	23.81343
251_118436_000035_000001	'I know now what brings me to the pyre.	'I know now what brings me to the pyre.	true	608.69	611.23	21.754763
251_118436_000035_000002	I have been on a far journey and I understand.	I have been on a far journey and I understand.	true	611.42	614.92	22.190565
251_118436_000035_000003	I have been ensorcelled by the wizards of the Himelians. They drew my soul out of my body and far away, into a stone room.	I have been ensorcelled by the wizards of the Himelians. They drew my soul out of my body and far away, into a stone room.	false	615.59	624.31	21.06395
251_118436_000035_000004	There they strove to break the silver cord of life, and thrust my soul into the body of a foul night-weird their sorcery summoned up from hell.	There they strove to break the silver cord of life, and thrust my soul into the body of a foul night weird their sorcery summoned up from hell.	true	624.5	634.54	22
251_118436_000035_000005	Ah! I feel their pull upon me now!	Ah! I feel their pull upon me now!	true	634.97	638.35	22.907364
251_118436_000035_000006	Your cry and the grip of your fingers brought me back, but I am going fast.	Your cry and the grip of your fingers brought me back, but I am going fast.	true	638.6	643.93	21.411045
251_118436_000035_000007	My soul clings to my body, but its hold weakens.	My soul clings to my body, but its hold weakens.	true	644.15	647.98	25.95639
251_118436_000035_000008	Quick--kill me, before they can trap my soul for ever!'	Quick-kill me, before they can trap my soul for ever!'	true	648.44	652.54	23.444069
251_118436_000036_000000	'I cannot!' she wailed, smiting her naked breasts.	'I cannot!' she wailed, smiting her naked breasts.	true	653.75	657.82	23.629578
251_118436_000037_000000	'Swiftly, I command you!' There was the old imperious note in his failing whisper.	'Swiftly, I command you!' There was the old imperious note in his failing whisper.	true	658.34	664.69	22.547781
251_118436_000037_000001	'You have never disobeyed me--obey my last command! Send my soul clean to Asura!	'You have never disobeyed me-obey my last command! Send my soul clean to Asura!	true	665.15	672.16	25.07509
251_118436_000037_000002	Haste, lest you damn me to spend eternity as a filthy gaunt of darkness.	Haste, lest you damn me to spend eternity as a filthy gaunt of darkness.	true	672.29	677.74	25.041782
251_118436_000037_000003	Strike, I command you!	Strike, I command you!	true	678.08	680.01	23.760052
251_118436_000037_000004	_Strike!_'	underscore Strike!underscore'	false	680.01	682.35	21.059345
251_118436_000038_000000	Sobbing wildly, Yasmina plucked a jeweled dagger from her girdle and plunged it to the hilt in his breast.	Sobbing wildly, Yasmina plucked a jeweled dagger from her girdle and plunged it to the hilt in his breast.	true	682.35	689.38	23.21962
251_118436_000038_000001	He stiffened and then went limp, a grim smile curving his dead lips.	He stiffened and then went limp, a grim smile curving his dead lips.	true	689.81	695.23	22.852764
251_118436_000038_000002	Yasmina hurled herself face-down on the rush-covered floor, beating the reeds with her clenched hands. Outside, the gongs and conchs brayed and thundered and the priests gashed themselves with copper knives.	Yasmina hurled herself face down on the rush covered floor, beating the reeds with her clenched hands. Outside, the gongs and conchs brayed and thundered and the priests gashed themselves with copper knives.	false	695.72	719.31	20.31437
