174_168635_000000_000000	The same sad, piercing, religious sentiment filled his heart.	The same sad, piercing, religious sentiment filled his heart.	false	0	0.54	-9
174_168635_000013_000000	The day passed thus.	The day passed thus.	false	30.84	31.17	21
174_168635_000013_000001	Cosette, without troubling herself to understand anything, was inexpressibly happy with that doll and that kind man.	Cosette, without troubling herself to understand anything, was inexpressibly happy with that doll and that kind man.	false	31.17	32.58	21.694784
174_168635_000014_000000	CHAPTER III--TWO MISFORTUNES MAKE ONE PIECE OF GOOD FORTUNE	CHAPTER three-TWO MISFORTUNES MAKE ONE PIECE OF GOOD FORTUNE	true	32.58	38.02	21.246195
174_168635_000015_000000	On the following morning, at daybreak, Jean Valjean was still by Cosette's bedside; he watched there motionless, waiting for her to wake.	On the following morning, at daybreak, Jean Valjean was still by Cosette's bedside; he watched there motionless, waiting for her to wake.	true	39.95	50.29	19.601048
174_168635_000016_000000	Some new thing had come into his soul.	Some new thing had come into his soul.	true	51.5	54.76	20.837446
174_168635_000017_000000	Jean Valjean had never loved anything; for twenty-five years he had been alone in the world.	Jean Valjean had never loved anything; for twenty five years he had been alone in the world.	true	56.03	63.7	20.480242
174_168635_000017_000001	He had never been father, lover, husband, friend.	He had never been father, lover, husband, friend.	true	64.16	68.02	19.44033
174_168635_000017_000002	In the prison he had been vicious, gloomy, chaste, ignorant, and shy. The heart of that ex-convict was full of virginity.	In the prison he had been vicious, gloomy, chaste, ignorant, and shy. The heart of that ex convict was full of virginity.	true	68.75	78.34	19.889841
174_168635_000017_000003	His sister and his sister's children had left him only a vague and far-off memory which had finally almost completely vanished; he had made every effort to find them, and not having been able to find them, he had forgotten them. Human nature is made thus; the other tender emotions of his youth, if he had ever had any, had fallen into an abyss.	His sister and his sister's children had left him only a vague and far off memory which had finally almost completely vanished; he had made every effort to find them, and not having been able to find them, he had forgotten them. Human nature is made thus; the other tender emotions of his youth, if he had ever had any, had fallen into an abyss.	true	79.16	103.96	19.171179
174_168635_000018_000000	When he saw Cosette, when he had taken possession of her, carried her off, and delivered her, he felt his heart moved within him.	When he saw Cosette, when he had taken possession of her, carried her off, and delivered her, he felt his heart moved within him.	true	105.68	114.52	20.122534
174_168635_000019_000000	All the passion and affection within him awoke, and rushed towards that child.	All the passion and affection within him awoke, and rushed towards that child.	true	115.67	120.97	19.668571
174_168635_000019_000001	He approached the bed, where she lay sleeping, and trembled with joy.	He approached the bed, where she lay sleeping, and trembled with joy.	true	121.76	126.13	20.70432
174_168635_000019_000002	He suffered all the pangs of a mother, and he knew not what it meant; for that great and singular movement of a heart which begins to love is a very obscure and a very sweet thing.	He suffered all the pangs of a mother, and he knew not what it meant; for that great and singular movement of a heart which begins to love is a very obscure and a very sweet thing.	true	127.07	139.66	19.921309
174_168635_000020_000000	Poor old man, with a perfectly new heart!	Poor old man, with a perfectly new heart!	true	140.75	144.52	21.561613
174_168635_000021_000000	Only, as he was five and fifty, and Cosette eight years of age, all that might have been love in the whole course of his life flowed together into a sort of ineffable light.	Only, as he was five and fifty, and Cosette eight years of age, all that might have been love in the whole course of his life flowed together into a sort of ineffable light.	true	146.39	158.44	21.18553
174_168635_000022_000000	It was the second white apparition which he had encountered.	It was the second white apparition which he had encountered.	true	159.68	163.57	19.41324
174_168635_000022_000001	The Bishop had caused the dawn of virtue to rise on his horizon; Cosette caused the dawn of love to rise.	The Bishop had caused the dawn of virtue to rise on his horizon; Cosette caused the dawn of love to rise.	true	164.3	172.18	20.367483
174_168635_000023_000000	The early days passed in this dazzled state.	The early days passed in this dazzled state.	true	173.57	176.8	21.487392
174_168635_000024_000000	Cosette, on her side, had also, unknown to herself, become another being, poor little thing!	Cosette, on her side, had also, unknown to herself, become another being, poor little thing!	true	177.89	185.17	20.686033
174_168635_000024_000001	She was so little when her mother left her, that she no longer remembered her.	She was so little when her mother left her, that she no longer remembered her.	true	186.23	190.78	20.014944
174_168635_000024_000002	Like all children, who resemble young shoots of the vine, which cling to everything, she had tried to love; she had not succeeded.	Like all children, who resemble young shoots of the vine, which cling to everything, she had tried to love; she had not succeeded.	true	191.66	201.1	20.0678
174_168635_000024_000003	All had repulsed her,--the Thenardiers, their children, other children.	All had repulsed her,--the Thenardiers, their children, other children.	false	202.37	207.82	19.93782
174_168635_000024_000004	She had loved the dog, and he had died, after which nothing and nobody would have anything to do with her.	She had loved the dog, and he had died, after which nothing and nobody would have anything to do with her.	true	208.67	216.43	21.442682
174_168635_000024_000005	It is a sad thing to say, and we have already intimated it, that, at eight years of age, her heart was cold.	It is a sad thing to say, and we have already intimated it, that, at eight years of age, her heart was cold.	true	217.4	225.07	20.715538
174_168635_000024_000006	It was not her fault; it was not the faculty of loving that she lacked; alas! it was the possibility.	It was not her fault; it was not the faculty of loving that she lacked; alas! it was the possibility.	true	225.89	233.83	19.263113
174_168635_000024_000007	Thus, from the very first day, all her sentient and thinking powers loved this kind man.	Thus, from the very first day, all her sentient and thinking powers loved this kind man.	true	234.68	241.72	20.540342
174_168635_000024_000008	She felt that which she had never felt before--a sensation of expansion.	She felt that which she had never felt before-a sensation of expansion.	false	242.6	248.44	20.712238
174_168635_000025_000000	The man no longer produced on her the effect of being old or poor; she thought Jean Valjean handsome, just as she thought the hovel pretty.	The man no longer produced on her the effect of being old or poor; she thought Jean Valjean handsome, just as she thought the hovel pretty.	true	250.28	259.69	20.698639
174_168635_000026_000000	These are the effects of the dawn, of childhood, of joy.	These are the effects of the dawn, of childhood, of joy.	false	260.96	265.6	21.01472
174_168635_000026_000001	The novelty of the earth and of life counts for something here.	The novelty of the earth and of life counts for something here.	true	266.27	270.31	20.499537
174_168635_000026_000002	Nothing is so charming as the coloring reflection of happiness on a garret.	Nothing is so charming as the coloring reflection of happiness on a garret.	true	270.95	276.43	21.484869
174_168635_000026_000003	We all have in our past a delightful garret.	We all have in our past a delightful garret.	true	277.04	280.36	20.437471
174_168635_000027_000000	Nature, a difference of fifty years, had set a profound gulf between Jean Valjean and Cosette; destiny filled in this gulf.	Nature, a difference of fifty years, had set a profound gulf between Jean Valjean and Cosette; destiny filled in this gulf.	true	281.81	291.37	21.262585
174_168635_000027_000001	Destiny suddenly united and wedded with its irresistible power these two uprooted existences, differing in age, alike in sorrow.	Destiny suddenly united and wedded with its irresistible power these two uprooted existences, differing in age, alike in sorrow.	true	292.01	302.14	20.603737
174_168635_000027_000002	One, in fact, completed the other.	One, in fact, completed the other.	true	302.99	305.83	22.661724
174_168635_000027_000003	Cosette's instinct sought a father, as Jean Valjean's instinct sought a child.	Cosette's instinct sought a father, as Jean Valjean's instinct sought a child.	false	306.53	312.01	21.482983
174_168635_000027_000004	To meet was to find each other.	To meet was to find each other.	true	312.71	315.31	22.012945
174_168635_000027_000005	At the mysterious moment when their hands touched, they were welded together. When these two souls perceived each other, they recognized each other as necessary to each other, and embraced each other closely.	At the mysterious moment when their hands touched, they were welded together. When these two souls perceived each other, they recognized each other as necessary to each other, and embraced each other closely.	true	316.04	332.8	20.18657
174_168635_000028_000000	Taking the words in their most comprehensive and absolute sense, we may say that, separated from every one by the walls of the tomb, Jean Valjean was the widower, and Cosette was the orphan: this situation caused Jean Valjean to become Cosette's father after a celestial fashion.	Taking the words in their most comprehensive and absolute sense, we may say that, separated from every one by the walls of the tomb, Jean Valjean was the widower, and Cosette was the orphan: this situation caused Jean Valjean to become Cosette's father after a celestial fashion.	true	333.14	353.44	19.972458
174_168635_000029_000000	And in truth, the mysterious impression produced on Cosette in the depths of the forest of Chelles by the hand of Jean Valjean grasping hers in the dark was not an illusion, but a reality.	And in truth, the mysterious impression produced on Cosette in the depths of the forest of Chelles by the hand of Jean Valjean grasping hers in the dark was not an illusion, but a reality.	true	354.59	366.82	20.611425
174_168635_000029_000001	The entrance of that man into the destiny of that child had been the advent of God.	The entrance of that man into the destiny of that child had been the advent of God.	true	367.7	375.94	21.030718
174_168635_000030_000000	Moreover, Jean Valjean had chosen his refuge well.	Moreover, Jean Valjean had chosen his refuge well.	true	376.91	380.95	21.443844
174_168635_000030_000001	There he seemed perfectly secure.	There he seemed perfectly secure.	true	381.47	384.16	20.533972
174_168635_000031_000000	The chamber with a dressing-room, which he occupied with Cosette, was the one whose window opened on the boulevard.	The chamber with a dressing room, which he occupied with Cosette, was the one whose window opened on the boulevard.	true	385.37	392.29	20.665417
174_168635_000031_000001	This being the only window in the house, no neighbors' glances were to be feared from across the way or at the side.	This being the only window in the house, no neighbors' glances were to be feared from across the way or at the side.	true	393.2	400	20.84908
174_168635_000032_000000	The ground-floor of Number 50-52, a sort of dilapidated penthouse, served as a wagon-house for market-gardeners, and no communication existed between it and the first story.	The ground floor of Number fifty to fifty two, a sort of dilapidated penthouse, served as a wagon house for market gardeners, and no communication existed between it and the first story.	false	401.39	413.71	21.50509
174_168635_000032_000001	It was separated by the flooring, which had neither traps nor stairs, and which formed the diaphragm of the building, as it were.	It was separated by the flooring, which had neither traps nor stairs, and which formed the diaphragm of the building, as it were.	false	414.47	421.9	21.152853
174_168635_000032_000002	The first story contained, as we have said, numerous chambers and several attics, only one of which was occupied by the old woman who took charge of Jean Valjean's housekeeping; all the rest was uninhabited.	The first story contained, as we have said, numerous chambers and several attics, only one of which was occupied by the old woman who took charge of Jean Valjean's housekeeping; all the rest was uninhabited.	true	422.66	437.56	20.591148
174_168635_000033_000000	It was this old woman, ornamented with the name of the principal lodger, and in reality intrusted with the functions of portress, who had let him the lodging on Christmas eve.	It was this old woman, ornamented with the name of the principal lodger, and in reality intrusted with the functions of portress, who had let him the lodging on Christmas eve.	true	438.23	449.53	20.262428
174_168635_000033_000001	He had represented himself to her as a gentleman of means who had been ruined by Spanish bonds, who was coming there to live with his little daughter.	He had represented himself to her as a gentleman of means who had been ruined by Spanish bonds, who was coming there to live with his little daughter.	true	450.41	459.19	21.114496
174_168635_000033_000002	He had paid her six months in advance, and had commissioned the old woman to furnish the chamber and dressing-room, as we have seen.	He had paid her six months in advance, and had commissioned the old woman to furnish the chamber and dressing room, as we have seen.	false	460.37	468.04	20.20632
174_168635_000033_000003	It was this good woman who had lighted the fire in the stove, and prepared everything on the evening of their arrival.	It was this good woman who had lighted the fire in the stove, and prepared everything on the evening of their arrival.	true	468.92	476.32	20.66665
174_168635_000034_000000	Week followed week; these two beings led a happy life in that hovel.	Week followed week; these two beings led a happy life in that hovel.	true	478.7	483.91	19.79782
174_168635_000035_000000	Cosette laughed, chattered, and sang from daybreak.	Cosette laughed, chattered, and sang from daybreak.	true	484.67	488.53	21.565384
174_168635_000035_000001	Children have their morning song as well as birds.	Children have their morning song as well as birds.	true	489.35	492.67	20.929314
174_168635_000036_000000	It sometimes happened that Jean Valjean clasped her tiny red hand, all cracked with chilblains, and kissed it.	It sometimes happened that Jean Valjean clasped her tiny red hand, all cracked with chilblains, and kissed it.	true	493.97	501.31	20.479818
174_168635_000036_000001	The poor child, who was used to being beaten, did not know the meaning of this, and ran away in confusion.	The poor child, who was used to being beaten, did not know the meaning of this, and ran away in confusion.	true	502.4	508.93	20.55993
174_168635_000037_000000	At times she became serious and stared at her little black gown.	At times she became serious and stared at her little black gown.	true	510.41	515.29	20.916485
174_168635_000037_000001	Cosette was no longer in rags; she was in mourning.	Cosette was no longer in rags; she was in mourning.	true	516.23	520.36	21.086775
174_168635_000037_000002	She had emerged from misery, and she was entering into life.	She had emerged from misery, and she was entering into life.	true	521.03	525.43	20.191078
174_168635_000038_000000	Jean Valjean had undertaken to teach her to read.	Jean Valjean had undertaken to teach her to read.	true	527.6	531.16	20.553013
174_168635_000038_000001	Sometimes, as he made the child spell, he remembered that it was with the idea of doing evil that he had learned to read in prison.	Sometimes, as he made the child spell, he remembered that it was with the idea of doing evil that he had learned to read in prison.	true	531.86	540.88	20.844608
174_168635_000038_000002	This idea had ended in teaching a child to read.	This idea had ended in teaching a child to read.	true	542	545.65	20.87592
174_168635_000038_000003	Then the ex-convict smiled with the pensive smile of the angels.	Then the ex convict smiled with the pensive smile of the angels.	true	546.59	551.56	19.86049
174_168635_000039_000000	He felt in it a premeditation from on high, the will of some one who was not man, and he became absorbed in revery.	He felt in it a premeditation from on high, the will of some one who was not man, and he became absorbed in revery.	true	552.92	561.67	19.863852
174_168635_000039_000001	Good thoughts have their abysses as well as evil ones.	Good thoughts have their abysses as well as evil ones.	true	562.79	566.56	20.547016
174_168635_000040_000000	To teach Cosette to read, and to let her play, this constituted nearly the whole of Jean Valjean's existence.	To teach Cosette to read, and to let her play, this constituted nearly the whole of Jean Valjean's existence.	true	568.19	576.22	20.48389
174_168635_000040_000001	And then he talked of her mother, and he made her pray.	And then he talked of her mother, and he made her pray.	true	577.16	580.63	21.378935
174_168635_000041_000000	She called him father, and knew no other name for him.	She called him father, and knew no other name for him.	true	581.96	586	20.533615
174_168635_000042_000000	He passed hours in watching her dressing and undressing her doll, and in listening to her prattle.	He passed hours in watching her dressing and undressing her doll, and in listening to her prattle.	true	588.2	594.64	19.790482
174_168635_000042_000001	Life, henceforth, appeared to him to be full of interest; men seemed to him good and just; he no longer reproached any one in thought; he saw no reason why he should not live to be a very old man, now that this child loved him.	Life, henceforth, appeared to him to be full of interest; men seemed to him good and just; he no longer reproached any one in thought; he saw no reason why he should not live to be a very old man, now that this child loved him.	true	595.49	613.72	20.10922
174_168635_000042_000002	He saw a whole future stretching out before him, illuminated by Cosette as by a charming light.	He saw a whole future stretching out before him, illuminated by Cosette as by a charming light.	true	614.87	622.21	20.260954
174_168635_000042_000003	The best of us are not exempt from egotistical thoughts.	The best of us are not exempt from egotistical thoughts.	true	623.57	627.28	20.786894
174_168635_000042_000004	At times, he reflected with a sort of joy that she would be ugly.	At times, he reflected with a sort of joy that she would be ugly.	true	628.04	632.92	21.12671
174_168635_000043_000000	This is only a personal opinion; but, to utter our whole thought, at the point where Jean Valjean had arrived when he began to love Cosette, it is by no means clear to us that he did not need this encouragement in order that he might persevere in well-doing.	This is only a personal opinion; but, to utter our whole thought, at the point where Jean Valjean had arrived when he began to love Cosette, it is by no means clear to us that he did not need this encouragement in order that he might persevere in well doing.	false	635.09	652.9	20.70693
174_168635_000043_000001	He had just viewed the malice of men and the misery of society under a new aspect--incomplete aspects, which unfortunately only exhibited one side of the truth, the fate of woman as summed up in Fantine, and public authority as personified in Javert.	He had just viewed the malice of men and the misery of society under a new aspect-incomplete aspects, which unfortunately only exhibited one side of the truth, the fate of woman as summed up in Fantine, and public authority as personified in Javert.	true	654.11	673.42	20.364359
174_168635_000043_000002	He had returned to prison, this time for having done right; he had quaffed fresh bitterness; disgust and lassitude were overpowering him; even the memory of the Bishop probably suffered a temporary eclipse, though sure to reappear later on luminous and triumphant; but, after all, that sacred memory was growing dim. Who knows whether Jean Valjean had not been on the eve of growing discouraged and of falling once more?	He had returned to prison, this time for having done right; he had quaffed fresh bitterness; disgust and lassitude were overpowering him; even the memory of the Bishop probably suffered a temporary eclipse, though sure to reappear later on luminous and triumphant; but, after all, that sacred memory was growing dim. Who knows whether Jean Valjean had not been on the eve of growing discouraged and of falling once more?	false	674.42	709.18	20.740765
174_168635_000043_000003	He loved and grew strong again. Alas! he walked with no less indecision than Cosette.	He loved and grew strong again. Alas! he walked with no less indecision than Cosette.	true	710.03	717.52	19.608791
174_168635_000043_000004	He protected her, and she strengthened him.	He protected her, and she strengthened him.	true	718.19	721.78	22.01733
174_168635_000043_000005	Thanks to him, she could walk through life; thanks to her, he could continue in virtue.	Thanks to him, she could walk through life; thanks to her, he could continue in virtue.	true	722.66	729.91	21.01961
174_168635_000043_000006	He was that child's stay, and she was his prop.	He was that child's stay, and she was his prop.	true	730.79	734.68	20.811214
174_168635_000043_000007	Oh, unfathomable and divine mystery of the balances of destiny!	Oh, unfathomable and divine mystery of the balances of destiny!	false	735.59	751.98	19.42412
