1993_147149_000005_000000	The ghoul-like fever was not to be braved with impunity, and baulked of its prey.	The ghoul like fever was not to be braved with impunity, and baulked of its prey.
1993_147149_000025_000000	She bent down, and fondly, oh! with what passionate fondness, kissed her child, and then gave him up to Alice, who took him with tender care.	She bent down, and fondly, oh! with what passionate fondness, kissed her child, and then gave him up to Alice, who took him with tender care.
1993_147149_000025_000001	Nature's struggles were soon exhausted, and he breathed his little life away in peace.	Nature's struggles were soon exhausted, and he breathed his little life away in peace.
1993_147149_000026_000002	Again Alice laid out the dead, Mary helping with reverent fear.	Again Alice laid out the dead, Mary helping with reverent fear.
1993_147149_000029_000000	"Where is he?" asked Mary.	"Where is he?" asked Mary.
1993_147149_000034_000002	But just now he hardly saw her; he went straight up to Alice, and asked how the little chaps were.	But just now he hardly saw her; he went straight up to Alice, and asked how the little chaps were.
1993_147149_000034_000004	He had stolen out during the half-hour allowed at the works for tea, to buy them an orange or two, which now puffed out his jacket-pocket.	He had stolen out during the half hour allowed at the works for tea, to buy them an orange or two, which now puffed out his jacket pocket.
1993_147149_000036_000000	"They're both gone," said she.	"They're both gone," said she.
1993_147149_000037_000000	"Dead!"	"Dead!"
1993_147149_000038_000001	They took worse about two o'clock.	They took worse about two o'clock.
1993_147149_000041_000000	Jem went to the cupboard, and quietly extricated from his pocket the oranges he had bought.	Jem went to the cupboard, and quietly extricated from his pocket the oranges he had bought.
1993_147149_000041_000003	They cried afresh in company.	They cried afresh in company.
1993_147149_000041_000004	Mary's heart melted within her as she witnessed Jem's sorrow, and she stepped gently up to the corner where he stood, with his back turned to them, and putting her hand softly on his arm, said,	Mary's heart melted within her as she witnessed Jem's sorrow, and she stepped gently up to the corner where he stood, with his back turned to them, and putting her hand softly on his arm, said,
1993_147149_000042_000000	"Oh, Jem, don't give way so; I cannot bear to see you."	"Oh, Jem, don't give way so; I cannot bear to see you."
1993_147149_000043_000000	Jem felt a strange leap of joy in his heart, and knew the power she had of comforting him.	Jem felt a strange leap of joy in his heart, and knew the power she had of comforting him.
1993_147149_000044_000000	"Don't, Jem, please don't," whispered she again, believing that his silence was only another form of grief.	"Don't, Jem, please don't," whispered she again, believing that his silence was only another form of grief.
1993_147149_000045_000000	He could not contain himself.	He could not contain himself.
1993_147149_000047_000001	But as he turned to catch a look at her sweet face, he saw that it expressed unfeigned distress, almost amounting to vexation; a dread of him, that he thought was almost repugnance.	But as he turned to catch a look at her sweet face, he saw that it expressed unfeigned distress, almost amounting to vexation; a dread of him, that he thought was almost repugnance.
1993_147149_000050_000000	Partly to relieve her from his presence, and partly from natural desire, and partly, perhaps, from a penitent wish to share to the utmost his parents' sorrow, he soon went up-stairs to the chamber of death.	Partly to relieve her from his presence, and partly from natural desire, and partly, perhaps, from a penitent wish to share to the utmost his parents' sorrow, he soon went up stairs to the chamber of death.
1993_147149_000051_000000	Mary mechanically helped Alice in all the duties she performed through the remainder of that long night, but she did not see Jem again.	Mary mechanically helped Alice in all the duties she performed through the remainder of that long night, but she did not see Jem again.
1993_147149_000051_000002	So leaving kind messages to George and Jane Wilson, and hesitating whether she might dare to send a few kind words to Jem, and deciding that she had better not, she stepped out into the bright morning light, so fresh a contrast to the darkened room where death had been.	So leaving kind messages to George and Jane Wilson, and hesitating whether she might dare to send a few kind words to Jem, and deciding that she had better not, she stepped out into the bright morning light, so fresh a contrast to the darkened room where death had been.
1993_147149_000053_000000	Mary lay down on her bed in her clothes; and whether it was this, or the broad daylight that poured in through the sky-window, or whether it was over-excitement, it was long before she could catch a wink of sleep.	Mary lay down on her bed in her clothes; and whether it was this, or the broad daylight that poured in through the sky window, or whether it was over excitement, it was long before she could catch a wink of sleep.
1993_147149_000053_000001	Her thoughts ran on Jem's manner and words; not but what she had known the tale they told for many a day; but still she wished he had not put it so plainly.	Her thoughts ran on Jem's manner and words; not but what she had known the tale they told for many a day; but still she wished he had not put it so plainly.
1993_147149_000054_000004	I think I cannot go right, for I either check myself till I'm downright cross to him, or else I speak just natural, and that's too kind and tender by half.	I think I cannot go right, for I either check myself till I'm downright cross to him, or else I speak just natural, and that's too kind and tender by half.
1993_147149_000054_000005	And I'm as good as engaged to be married to another; and another far handsomer than Jem; only I think I like Jem's face best for all that; liking's liking, and there's no help for it.	And I'm as good as engaged to be married to another; and another far handsomer than Jem; only I think I like Jem's face best for all that; liking's liking, and there's no help for it.
1993_147149_000054_000006	Well, when I'm Mrs. Harry Carson, may happen I can put some good fortune in Jem's way.	Well, when I'm mrs Harry Carson, may happen I can put some good fortune in Jem's way.
1993_147149_000057_000006	How she would surround him with every comfort she could devise (of course, he was to live with them), till he should acknowledge riches to be very pleasant things, and bless his lady-daughter!	How she would surround him with every comfort she could devise (of course, he was to live with them), till he should acknowledge riches to be very pleasant things, and bless his lady daughter!
