1462_170142_000002_000007	She called his name on the threshold, but in her swift flight across the room she felt a change in him and caught herself up so deftly that he could not tell just when she did it. She merely brushed his cheek with her lips and put a hand lightly and joyously on either shoulder.	She called his name on the threshold, but in her swift flight across the room she felt a change in him and caught herself up so deftly that he could not tell just when she did it. She merely brushed his cheek with her lips and put a hand lightly and joyously on either shoulder.	false	80.18	97.03	23.41126
1462_170142_000002_000008	"Oh, what a grand thing to happen on a raw day!	"Oh, what a grand thing to happen on a raw day!	true	97.31	100.24	24
1462_170142_000002_000009	I felt it in my bones when I woke this morning that something splendid was going to turn up.	I felt it in my bones when I woke this morning that something splendid was going to turn up.	true	100.37	105.1	22.527939
1462_170142_000002_000010	I thought it might be Sister Kate or Cousin Mike would be happening along.	I thought it might be Sister Kate or Cousin Mike would be happening along.	true	105.14	108.82	26
1462_170142_000002_000011	I never dreamed it would be you, Bartley.	I never dreamed it would be you, Bartley.	true	108.92	111.07	22.351091
1462_170142_000002_000012	But why do you let me chatter on like this?	But why do you let me chatter on like this?	true	111.56	113.77	28
1462_170142_000002_000013	Come over to the fire; you're chilled through."	Come over to the fire; you're chilled through."	true	113.93	116.29	21.47495
1462_170142_000003_000000	She pushed him toward the big chair by the fire, and sat down on a stool at the opposite side of the hearth, her knees drawn up to her chin, laughing like a happy little girl.	She pushed him toward the big chair by the fire, and sat down on a stool at the opposite side of the hearth, her knees drawn up to her chin, laughing like a happy little girl.	false	116.9	127.18	25.710157
1462_170142_000004_000000	"When did you come, Bartley, and how did it happen?	"When did you come, Bartley, and how did it happen?	true	127.88	130.36	23.68306
1462_170142_000004_000001	You haven't spoken a word."	You haven't spoken a word."	true	130.4	132.04	26.330175
1462_170142_000005_000000	"I got in about ten minutes ago.	"I got in about ten minutes ago.	false	132.74	134.77	21.727003
1462_170142_000005_000001	I landed at Liverpool this morning and came down on the boat train."	I landed at Liverpool this morning and came down on the boat train."	true	134.93	138.73	23
1462_170142_000006_000000	Alexander leaned forward and warmed his hands before the blaze.	Alexander leaned forward and warmed his hands before the blaze.	true	139.25	142.96	20
1462_170142_000006_000001	Hilda watched him with perplexity.	Hilda watched him with perplexity.	true	143.12	145.12	23.323778
1462_170142_000007_000000	"There's something troubling you, Bartley.	"There's something troubling you, Bartley.	true	145.64	147.645	24.277004
1462_170142_000007_000001	What is it?"	What is it?"	true	147.645	148.42	21.67593
1462_170142_000008_000000	Bartley bent lower over the fire.	Bartley bent lower over the fire.	true	149.21	151.45	23.92204
1462_170142_000008_000001	"It's the whole thing that troubles me, Hilda.	"It's the whole thing that troubles me, Hilda.	true	151.94	154.33	26.899488
1462_170142_000008_000002	You and I."	You and i"	true	154.34	155.23	19.544989
1462_170142_000009_000000	Hilda took a quick, soft breath.	Hilda took a quick, soft breath.	true	156.29	158.65	29.799423
1462_170142_000009_000001	She looked at his heavy shoulders and big, determined head, thrust forward like a catapult in leash.	She looked at his heavy shoulders and big, determined head, thrust forward like a catapult in leash.	true	158.81	164.71	23.145077
1462_170142_000010_000000	"What about us, Bartley?" she asked in a thin voice.	"What about us, Bartley?" she asked in a thin voice.	true	165.26	169.12	22.436445
1462_170142_000011_000000	He locked and unlocked his hands over the grate and spread his fingers close to the bluish flame, while the coals crackled and the clock ticked and a street vendor began to call under the window.	He locked and unlocked his hands over the grate and spread his fingers close to the bluish flame, while the coals crackled and the clock ticked and a street vendor began to call under the window.	true	170.42	182.89	24.080805
1462_170142_000011_000001	At last Alexander brought out one word:--	At last Alexander brought out one word:--	true	183.44	186.1	22.342793
1462_170142_000012_000000	"Everything!"	"Everything!"	true	186.53	187.54	29.379946
1462_170142_000013_000000	Hilda was pale by this time, and her eyes were wide with fright.	Hilda was pale by this time, and her eyes were wide with fright.	true	188.78	192.76	23.376556
1462_170142_000013_000001	She looked about desperately from Bartley to the door, then to the windows, and back again to Bartley.	She looked about desperately from Bartley to the door, then to the windows, and back again to Bartley.	true	192.95	198.82	23.3227
1462_170142_000013_000002	She rose uncertainly, touched his hair with her hand, then sank back upon her stool.	She rose uncertainly, touched his hair with her hand, then sank back upon her stool.	false	199.34	204.85	21.876429
1462_170142_000014_000000	"I'll do anything you wish me to, Bartley," she said tremulously.	"I'll do anything you wish me to, Bartley," she said tremulously.	true	205.28	209.56	19.928198
1462_170142_000014_000001	"I can't stand seeing you miserable."	"I can't stand seeing you miserable."	true	209.72	211.99	19.553497
1462_170142_000015_000000	"I can't live with myself any longer," he answered roughly.	"I can't live with myself any longer," he answered roughly.	true	213.17	217.09	21.965471
1462_170142_000016_000000	He rose and pushed the chair behind him and began to walk miserably about the room, seeming to find it too small for him.	He rose and pushed the chair behind him and began to walk miserably about the room, seeming to find it too small for him.	true	217.67	225.01	23.172136
1462_170142_000016_000001	He pulled up a window as if the air were heavy.	He pulled up a window as if the air were heavy.	true	225.62	228.16	23.758575
1462_170142_000017_000000	Hilda watched him from her corner, trembling and scarcely breathing, dark shadows growing about her eyes.	Hilda watched him from her corner, trembling and scarcely breathing, dark shadows growing about her eyes.	true	229.1	234.97	22.615677
1462_170142_000018_000000	"It . . . it hasn't always made you miserable, has it?" Her eyelids fell and her lips quivered.	"It . . . it hasn't always made you miserable, has it?" Her eyelids fell and her lips quivered.	false	235.85	242.23	23.12863
1462_170142_000019_000000	"Always.	"Always.	true	243.08	243.94	21.96854
1462_170142_000019_000001	But it's worse now.	But it's worse now.	true	243.95	245.25	23.949446
1462_170142_000019_000002	It's unbearable.	It's unbearable.	true	245.25	246.405	18.98121
1462_170142_000019_000003	It tortures me every minute."	It tortures me every minute."	true	246.405	248.11	20.98236
1462_170142_000020_000000	"But why NOW?" she asked piteously, wringing her hands.	"But why NOW?" she asked piteously, wringing her hands.	true	248.57	252.82	17.111296
1462_170142_000021_000000	He ignored her question.	He ignored her question.	true	253.52	255.16	21.889343
1462_170142_000021_000001	"I am not a man who can live two lives," he went on feverishly.	"I am not a man who can live two lives," he went on feverishly.	true	255.26	259.39	24.736715
1462_170142_000021_000002	"Each life spoils the other.	"Each life spoils the other.	true	259.46	261.37	24.149994
1462_170142_000021_000003	I get nothing but misery out of either.	I get nothing but misery out of either.	true	261.59	263.76	21.499434
1462_170142_000021_000004	The world is all there, just as it used to be, but I can't get at it any more.	The world is all there, just as it used to be, but I can't get at it any more.	false	263.76	268.21	23
1462_170142_000021_000005	There is this deception between me and everything."	There is this deception between me and everything."	true	268.34	271.21	23
1462_170142_000022_000000	At that word "deception," spoken with such self-contempt, the color flashed back into Hilda's face as suddenly as if she had been struck by a whiplash.	At that word "deception," spoken with such self contempt, the color flashed back into Hilda's face as suddenly as if she had been struck by a whiplash.	true	272.03	281.86	22.759745
1462_170142_000022_000001	She bit her lip and looked down at her hands, which were clasped tightly in front of her.	She bit her lip and looked down at her hands, which were clasped tightly in front of her.	true	281.99	286.57	23.070608
1462_170142_000023_000000	"Could you--could you sit down and talk about it quietly, Bartley, as if I were a friend, and not some one who had to be defied?"	"Could you-could you sit down and talk about it quietly, Bartley, as if I were a friend, and not some one who had to be defied?"	true	287.18	294.7	23.49556
1462_170142_000024_000000	He dropped back heavily into his chair by the fire.	He dropped back heavily into his chair by the fire.	true	295.4	298.6	21.321562
1462_170142_000024_000001	"It was myself I was defying, Hilda.	"It was myself I was defying, Hilda.	true	299	301.48	22
1462_170142_000024_000002	I have thought about it until I am worn out."	I have thought about it until I am worn out."	true	301.73	304.09	21.282967
1462_170142_000025_000000	He looked at her and his haggard face softened.	He looked at her and his haggard face softened.	true	304.67	307.36	22.374033
1462_170142_000025_000001	He put out his hand toward her as he looked away again into the fire.	He put out his hand toward her as he looked away again into the fire.	true	307.49	311.74	22.152212
1462_170142_000026_000000	She crept across to him, drawing her stool after her.	She crept across to him, drawing her stool after her.	true	312.62	316.15	22.857998
1462_170142_000026_000001	"When did you first begin to feel like this, Bartley?"	"When did you first begin to feel like this, Bartley?"	true	316.82	319.87	23.242907
1462_170142_000027_000000	"After the very first.	"After the very first.	true	320.96	322.57	24.718372
1462_170142_000027_000001	The first was--sort of in play, wasn't it?"	The first was-sort of in play, wasn't it?"	true	322.91	326.26	21.634596
1462_170142_000028_000000	Hilda's face quivered, but she whispered: "Yes, I think it must have been.	Hilda's face quivered, but she whispered: "Yes, I think it must have been.	true	327.02	331.99	22.293062
1462_170142_000028_000001	But why didn't you tell me when you were here in the summer?"	But why didn't you tell me when you were here in the summer?"	true	332.36	335.17	19.247322
1462_170142_000029_000000	Alexander groaned.	Alexander groaned.	true	335.69	337.15	21.607086
1462_170142_000029_000001	"I meant to, but somehow I couldn't.	"I meant to, but somehow I couldn't.	true	337.61	340.03	23.807226
1462_170142_000029_000002	We had only a few days, and your new play was just on, and you were so happy."	We had only a few days, and your new play was just on, and you were so happy."	true	340.28	344.62	19
1462_170142_000030_000000	"Yes, I was happy, wasn't I?" She pressed his hand gently in gratitude. "Weren't you happy then, at all?"	"Yes, I was happy, wasn't I?" She pressed his hand gently in gratitude. "Weren't you happy then, at all?"	true	345.23	352.06	21.211786
1462_170142_000031_000000	She closed her eyes and took a deep breath, as if to draw in again the fragrance of those days.	She closed her eyes and took a deep breath, as if to draw in again the fragrance of those days.	true	352.43	357.85	22.456026
1462_170142_000031_000001	Something of their troubling sweetness came back to Alexander, too.	Something of their troubling sweetness came back to Alexander, too.	true	358.43	362.23	20
1462_170142_000031_000002	He moved uneasily and his chair creaked.	He moved uneasily and his chair creaked.	true	362.48	365.05	22.835701
1462_170142_000032_000000	"Yes, I was then.	"Yes, I was then.	true	365.78	367.125	19.413496
1462_170142_000032_000001	You know.	You know.	true	367.125	367.695	9
1462_170142_000032_000002	But afterward. . ."	But afterward. . ."	true	367.695	369.13	25.82738
1462_170142_000033_000000	"Yes, yes," she hurried, pulling her hand gently away from him. Presently it stole back to his coat sleeve.	"Yes, yes," she hurried, pulling her hand gently away from him. Presently it stole back to his coat sleeve.	true	369.32	376.78	22.519413
1462_170142_000033_000001	"Please tell me one thing, Bartley.	"Please tell me one thing, Bartley.	true	377.18	379.06	28.522507
1462_170142_000033_000002	At least, tell me that you believe I thought I was making you happy."	At least, tell me that you believe I thought I was making you happy."	true	379.19	383.17	23.997576
1462_170142_000034_000000	His hand shut down quickly over the questioning fingers on his sleeves. "Yes, Hilda; I know that," he said simply.	His hand shut down quickly over the questioning fingers on his sleeves. "Yes, Hilda; I know that," he said simply.	false	383.93	391.75	21.463806
1462_170142_000035_000000	She leaned her head against his arm and spoke softly:--	She leaned her head against his arm and spoke softly:--	true	392.51	395.74	20.918146
1462_170142_000036_000000	"You see, my mistake was in wanting you to have everything.	"You see, my mistake was in wanting you to have everything.	true	396.38	399.82	23
1462_170142_000036_000001	I wanted you to eat all the cakes and have them, too.	I wanted you to eat all the cakes and have them, too.	false	400.01	402.85	23
1462_170142_000036_000002	I somehow believed that I could take all the bad consequences for you.	I somehow believed that I could take all the bad consequences for you.	true	403.22	407.14	23.735682
1462_170142_000036_000003	I wanted you always to be happy and handsome and successful--to have all the things that a great man ought to have, and, once in a way, the careless holidays that great men are not permitted."	I wanted you always to be happy and handsome and successful-to have all the things that a great man ought to have, and, once in a way, the careless holidays that great men are not permitted."	true	407.18	418.81	22.455936
1462_170142_000037_000000	Bartley gave a bitter little laugh, and Hilda looked up and read in the deepening lines of his face that youth and Bartley would not much longer struggle together.	Bartley gave a bitter little laugh, and Hilda looked up and read in the deepening lines of his face that youth and Bartley would not much longer struggle together.	true	420.02	429.82	24.034098
1462_170142_000038_000000	"I understand, Bartley.	"I understand, Bartley.	true	430.52	431.955	20.950865
1462_170142_000038_000001	I was wrong.	I was wrong.	true	431.955	432.9	23.696014
1462_170142_000038_000002	But I didn't know.	But I didn't know.	true	432.9	434.26	19.437384
1462_170142_000038_000003	You've only to tell me now.	You've only to tell me now.	true	434.27	435.79	23.679838
1462_170142_000038_000004	What must I do that I've not done, or what must I not do?" She listened intently, but she heard nothing but the creaking of his chair.	What must I do that I've not done, or what must I not do?" She listened intently, but she heard nothing but the creaking of his chair.	true	435.89	444.13	23.259151
1462_170142_000038_000005	"You want me to say it?" she whispered.	"You want me to say it?" she whispered.	true	444.98	447.28	18.139353
1462_170142_000038_000006	"You want to tell me that you can only see me like this, as old friends do, or out in the world among people?	"You want to tell me that you can only see me like this, as old friends do, or out in the world among people?	true	447.53	453.76	24.346155
1462_170142_000038_000007	I can do that."	I can do that."	true	453.89	455.02	27.200304
1462_170142_000039_000000	"I can't," he said heavily.	"I can't," he said heavily.	true	455.93	458.35	24.686369
1462_170142_000040_000000	Hilda shivered and sat still.	Hilda shivered and sat still.	true	459.08	461.11	18.96372
1462_170142_000040_000001	Bartley leaned his head in his hands and spoke through his teeth.	Bartley leaned his head in his hands and spoke through his teeth.	true	461.78	465.46	21.782547
1462_170142_000040_000002	"It's got to be a clean break, Hilda.	"It's got to be a clean break, Hilda.	true	465.86	468.18	28.779558
1462_170142_000040_000003	I can't see you at all, anywhere.	I can't see you at all, anywhere.	true	468.18	470.26	21.2295
1462_170142_000040_000004	What I mean is that I want you to promise never to see me again, no matter how often I come, no matter how hard I beg."	What I mean is that I want you to promise never to see me again, no matter how often I come, no matter how hard I beg."	true	470.45	477.49	20.4824
1462_170142_000041_000000	Hilda sprang up like a flame.	Hilda sprang up like a flame.	true	478.43	480.66	25.731617
1462_170142_000041_000001	She stood over him with her hands clenched at her side, her body rigid.	She stood over him with her hands clenched at her side, her body rigid.	true	480.66	484.75	22.505533
1462_170142_000042_000000	"No!" she gasped.	"No!" she gasped.	true	485.12	487.03	16.65628
1462_170142_000042_000001	"It's too late to ask that.	"It's too late to ask that.	true	487.04	488.86	26.845135
1462_170142_000042_000002	Do you hear me, Bartley? It's too late.	Do you hear me, Bartley? It's too late.	true	488.87	491.175	25.611961
1462_170142_000042_000003	I won't promise.	I won't promise.	true	491.175	492.27	23.566128
1462_170142_000042_000004	It's abominable of you to ask me.	It's abominable of you to ask me.	true	492.27	494.44	23.19455
1462_170142_000042_000005	Keep away if you wish; when have I ever followed you?	Keep away if you wish; when have I ever followed you?	true	494.81	497.76	24.735489
1462_170142_000042_000006	But, if you come to me, I'll do as I see fit.	But, if you come to me, I'll do as I see fit.	true	497.76	500.71	22.207256
1462_170142_000042_000007	The shamefulness of your asking me to do that!	The shamefulness of your asking me to do that!	true	500.93	503.41	21.361755
1462_170142_000042_000008	If you come to me, I'll do as I see fit.	If you come to me, I'll do as I see fit.	true	503.45	506.175	23.139597
1462_170142_000042_000009	Do you understand?	Do you understand?	true	506.175	507.22	22.687334
1462_170142_000042_000010	Bartley, you're cowardly!"	Bartley, you're cowardly!"	true	507.59	509.2	19.646753
1462_170142_000043_000000	Alexander rose and shook himself angrily.	Alexander rose and shook himself angrily.	true	510.44	513.22	19.827852
1462_170142_000043_000001	"Yes, I know I'm cowardly. I'm afraid of myself.	"Yes, I know I'm cowardly. I'm afraid of myself.	true	513.68	517.155	22.514166
1462_170142_000043_000002	I don't trust myself any more.	I don't trust myself any more.	true	517.155	518.98	24.498247
1462_170142_000043_000003	I carried it all lightly enough at first, but now I don't dare trifle with it.	I carried it all lightly enough at first, but now I don't dare trifle with it.	true	519.26	523.48	22.61162
1462_170142_000043_000004	It's getting the better of me.	It's getting the better of me.	true	523.82	525.37	22.159027
1462_170142_000043_000005	It's different now.	It's different now.	true	525.44	526.575	22.105932
1462_170142_000043_000006	I'm growing older, and you've got my young self here with you.	I'm growing older, and you've got my young self here with you.	true	526.575	530.05	24.048813
1462_170142_000043_000007	It's through him that I've come to wish for you all and all the time." He took her roughly in his arms. "Do you know what I mean?"	It's through him that I've come to wish for you all and all the time." He took her roughly in his arms. "Do you know what I mean?"	false	530.36	538.09	21.299446
1462_170142_000044_000000	Hilda held her face back from him and began to cry bitterly.	Hilda held her face back from him and began to cry bitterly.	true	538.97	543.04	22.64947
1462_170142_000044_000001	"Oh, Bartley, what am I to do?	"Oh, Bartley, what am I to do?	false	543.44	546.09	25.714905
1462_170142_000044_000002	Why didn't you let me be angry with you?	Why didn't you let me be angry with you?	false	546.09	548.08	17
1462_170142_000044_000003	You ask me to stay away from you because you want me!	You ask me to stay away from you because you want me!	true	548.36	551.26	25
1462_170142_000044_000004	And I've got nobody but you.	And I've got nobody but you.	true	551.48	553.27	24.179634
1462_170142_000044_000005	I will do anything you say--but that!	I will do anything you say-but that!	true	553.76	556.18	22.998148
1462_170142_000044_000006	I will ask the least imaginable, but I must have SOMETHING!"	I will ask the least imaginable, but I must have SOMETHING!"	true	556.19	560.17	23.181784
1462_170142_000045_000000	Bartley turned away and sank down in his chair again.	Bartley turned away and sank down in his chair again.	true	561.2	564.22	17
1462_170142_000045_000001	Hilda sat on the arm of it and put her hands lightly on his shoulders.	Hilda sat on the arm of it and put her hands lightly on his shoulders.	true	564.56	568.81	19.550648
1462_170142_000046_000000	"Just something Bartley.	"Just something Bartley.	true	569.66	571.3	27.844309
1462_170142_000046_000001	I must have you to think of through the months and months of loneliness.	I must have you to think of through the months and months of loneliness.	true	571.52	575.2	20.567308
1462_170142_000046_000002	I must see you.	I must see you.	true	575.36	576.66	19.983528
1462_170142_000046_000003	I must know about you.	I must know about you.	true	576.66	578.14	22.954012
1462_170142_000046_000004	The sight of you, Bartley, to see you living and happy and successful--can I never make you understand what that means to me?" She pressed his shoulders gently.	The sight of you, Bartley, to see you living and happy and successful-can I never make you understand what that means to me?" She pressed his shoulders gently.	true	578.51	588.82	22.504631
1462_170142_000046_000005	"You see, loving some one as I love you makes the whole world different.	"You see, loving some one as I love you makes the whole world different.	true	589.31	593.77	19.112503
1462_170142_000046_000006	If I'd met you later, if I hadn't loved you so well--but that's all over, long ago.	If I'd met you later, if I hadn't loved you so well-but that's all over, long ago.	true	593.84	599.44	20.540937
1462_170142_000046_000007	Then came all those years without you, lonely and hurt and discouraged; those decent young fellows and poor Mac, and me never heeding--hard as a steel spring.	Then came all those years without you, lonely and hurt and discouraged; those decent young fellows and poor Mac, and me never heeding-hard as a steel spring.	true	600.08	610.3	22.425686
1462_170142_000046_000008	And then you came back, not caring very much, but it made no difference."	And then you came back, not caring very much, but it made no difference."	true	610.4	614.53	26.789661
1462_170142_000047_000000	She slid to the floor beside him, as if she were too tired to sit up any longer.	She slid to the floor beside him, as if she were too tired to sit up any longer.	true	615.26	620.2	23.837948
1462_170142_000047_000001	Bartley bent over and took her in his arms, kissing her mouth and her wet, tired eyes.	Bartley bent over and took her in his arms, kissing her mouth and her wet, tired eyes.	true	620.84	626.2	21
1462_170142_000048_000000	"Don't cry, don't cry," he whispered.	"Don't cry, don't cry," he whispered.	true	626.84	629.77	25.81043
1462_170142_000048_000001	"We've tortured each other enough for tonight.	"We've tortured each other enough for tonight.	true	629.87	632.26	25.05713
1462_170142_000048_000002	Forget everything except that I am here."	Forget everything except that I am here."	true	632.51	634.84	25.520699
1462_170142_000049_000000	"I think I have forgotten everything but that already," she murmured. "Ah, your dear arms!"	"I think I have forgotten everything but that already," she murmured. "Ah, your dear arms!"	false	635.54	640.89	23.699457
1462_170142_000050_000000	CHAPTER VII	CHAPTER seven	false	640.89	641.07	-20
1462_170142_000051_000000	During the fortnight that Alexander was in London he drove himself hard. He got through a great deal of personal business and saw a great many men who were doing interesting things in his own profession.	During the fortnight that Alexander was in London he drove himself hard. He got through a great deal of personal business and saw a great many men who were doing interesting things in his own profession.	false	641.07	643.29	100
1462_170142_000051_000001	He disliked to think of his visits to London as holidays, and when he was there he worked even harder than he did at home.	He disliked to think of his visits to London as holidays, and when he was there he worked even harder than he did at home.	false	643.29	648.03	20.533897
