7850_286674_000000_000000	THE DRAGON-FLY CHILDREN AND THE SNAPPING TURTLE	THE DRAGON FLY CHILDREN AND THE SNAPPING TURTLE
7850_286674_000009_000000	"Well, you can't," said a Nymph, turning towards him so suddenly that he leaped.	"Well, you can't," said a Nymph, turning towards him so suddenly that he leaped.
7850_286674_000009_000002	She was often impatient, and said she could never go anywhere without one of the larvae tagging along.	She was often impatient, and said she could never go anywhere without one of the larvae tagging along.
7850_286674_000010_000000	"I tell you what let's do," said another Nymph.	"I tell you what let's do," said another Nymph.
7850_286674_000010_000001	"Let's all go together to the shallow water where he suns himself, and let's all stand close to each other, and then, when he comes along, let's stick out our lips at him!"	"Let's all go together to the shallow water where he suns himself, and let's all stand close to each other, and then, when he comes along, let's stick out our lips at him!"
7850_286674_000012_000000	"Well, our lower lips anyway," answered the Nymph.	"Well, our lower lips anyway," answered the Nymph.
7850_286674_000012_000001	"Our upper lips are so small they don't matter."	"Our upper lips are so small they don't matter."
7850_286674_000013_000000	"We'll do it," exclaimed all the Dragon-Fly children, and they started together to walk on the pond-bottom to the shallow water.	"We'll do it," exclaimed all the Dragon Fly children, and they started together to walk on the pond bottom to the shallow water.
7850_286674_000013_000001	They thought it would scare the Snapping Turtle dreadfully.	They thought it would scare the Snapping Turtle dreadfully.
7850_286674_000013_000002	They knew that whenever they stuck out their lower lips at the small fishes and bugs, they swam away as fast as they could.	They knew that whenever they stuck out their lower lips at the small fishes and bugs, they swam away as fast as they could.
7850_286674_000013_000003	The Giant Water-Bug (Belostoma), was the only bug who was not afraid of them when they made faces.	The Giant Water Bug (Belostoma), was the only bug who was not afraid of them when they made faces.
7850_286674_000013_000004	Indeed, the lower lip of a Dragon-Fly child might well frighten people, for it is fastened on a long, jointed, arm-like thing, and has pincers on it with which it catches and holds its food.	Indeed, the lower lip of a Dragon Fly child might well frighten people, for it is fastened on a long, jointed, arm like thing, and has pincers on it with which it catches and holds its food.
7850_286674_000013_000005	Most of the time, the Dragon-Fly child keeps the joint bent, and so holds his lip up to his face like a mask.	Most of the time, the Dragon Fly child keeps the joint bent, and so holds his lip up to his face like a mask.
7850_286674_000013_000006	But sometimes he straightens the joint and holds his lip out before him, and then its pincers catch hold of things.	But sometimes he straightens the joint and holds his lip out before him, and then its pincers catch hold of things.
7850_286674_000014_000000	When they reached the shallow water, the Dragon-Fly children stood close together, with the larvae in the middle and the Nymphs all around them. The Snapping Turtle was nowhere to be seen, so they had to wait.	When they reached the shallow water, the Dragon Fly children stood close together, with the larvae in the middle and the Nymphs all around them. The Snapping Turtle was nowhere to be seen, so they had to wait.
7850_286674_000014_000001	"Aren't you scared?" whispered one larva to another.	"Aren't you scared?" whispered one larva to another.
7850_286674_000015_000000	"Scared?	"Scared?
7850_286674_000015_000001	Dah!	Dah!
7850_286674_000015_000002	Who's afraid," answered he.	Who's afraid," answered he.
7850_286674_000016_000000	"Oh, look!" cried a Nymph.	"Oh, look!" cried a Nymph.
7850_286674_000016_000002	Just you wait until I change my skin once more, and then won't I have a good time!	Just you wait until I change my skin once more, and then won't I have a good time!
7850_286674_000018_000000	Sure enough, there he came through the shallow water, his wet back-shell partly out of it and shining in the sunlight.	Sure enough, there he came through the shallow water, his wet back shell partly out of it and shining in the sunlight.
7850_286674_000018_000001	He came straight toward the Dragon-Fly children, and they were glad to see that he did not look hungry.	He came straight toward the Dragon Fly children, and they were glad to see that he did not look hungry.
7850_286674_000018_000002	They thought he might be going to take a nap after his dinner. Then they all stood even closer together and stuck out their lower lips at him.	They thought he might be going to take a nap after his dinner. Then they all stood even closer together and stuck out their lower lips at him.
7850_286674_000018_000003	They thought he might run away when they did this.	They thought he might run away when they did this.
