777_126732_000000_000000	He a pessimist!	He a pessimist!	false	0.6	1.71	18.184181
777_126732_000003_000004	His almond-shaped eyes leered languidly over the high cheek-bones. He wore a grey flannel shirt, the loose ends of a black silk tie hung down the buttoned breast of his serge coat; and his head resting on the back of his chair, his throat largely exposed, he raised to his lips a cigarette in a long wooden tube, puffing jets of smoke straight up at the ceiling.	His almond shaped eyes leered languidly over the high cheek bones. He wore a grey flannel shirt, the loose ends of a black silk tie hung down the buttoned breast of his serge coat; and his head resting on the back of his chair, his throat largely exposed, he raised to his lips a cigarette in a long wooden tube, puffing jets of smoke straight up at the ceiling.	false	109.8	130.56	21.536493
777_126732_000004_000000	Michaelis pursued his idea--_the_ idea of his solitary reclusion--the thought vouchsafed to his captivity and growing like a faith revealed in visions.	Michaelis pursued his idea-underscore the underscore idea of his solitary reclusion-the thought vouchsafed to his captivity and growing like a faith revealed in visions.	false	130.56	137.73	19.431637
777_126732_000004_000001	He talked to himself, indifferent to the sympathy or hostility of his hearers, indifferent indeed to their presence, from the habit he had acquired of thinking aloud hopefully in the solitude of the four whitewashed walls of his cell, in the sepulchral silence of the great blind pile of bricks near a river, sinister and ugly like a colossal mortuary for the socially drowned.	He talked to himself, indifferent to the sympathy or hostility of his hearers, indifferent indeed to their presence, from the habit he had acquired of thinking aloud hopefully in the solitude of the four whitewashed walls of his cell, in the sepulchral silence of the great blind pile of bricks near a river, sinister and ugly like a colossal mortuary for the socially drowned.	false	137.73	156.45	20.734028
777_126732_000005_000000	He was no good in discussion, not because any amount of argument could shake his faith, but because the mere fact of hearing another voice disconcerted him painfully, confusing his thoughts at once--these thoughts that for so many years, in a mental solitude more barren than a waterless desert, no living voice had ever combatted, commented, or approved.	He was no good in discussion, not because any amount of argument could shake his faith, but because the mere fact of hearing another voice disconcerted him painfully, confusing his thoughts at once-these thoughts that for so many years, in a mental solitude more barren than a waterless desert, no living voice had ever combatted, commented, or approved.	false	156.45	177.93	21.848547
777_126732_000006_000000	No one interrupted him now, and he made again the confession of his faith, mastering him irresistible and complete like an act of grace: the secret of fate discovered in the material side of life; the economic condition of the world responsible for the past and shaping the future; the source of all history, of all ideas, guiding the mental development of mankind and the very impulses of their passion--	No one interrupted him now, and he made again the confession of his faith, mastering him irresistible and complete like an act of grace: the secret of fate discovered in the material side of life; the economic condition of the world responsible for the past and shaping the future; the source of all history, of all ideas, guiding the mental development of mankind and the very impulses of their passion-	false	177.93	208.05	20.676607
777_126732_000007_000000	A harsh laugh from Comrade Ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadiness of the apostle's mildly exalted eyes.	A harsh laugh from Comrade Ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadiness of the apostle's mildly exalted eyes.	false	208.05	216.63	21.150883
777_126732_000007_000001	He closed them slowly for a moment, as if to collect his routed thoughts.	He closed them slowly for a moment, as if to collect his routed thoughts.	false	216.63	221.67	21.32346
777_126732_000007_000002	A silence fell; but what with the two gas-jets over the table and the glowing grate the little parlour behind Mr Verloc's shop had become frightfully hot.	A silence fell; but what with the two gas jets over the table and the glowing grate the little parlour behind Mr Verloc's shop had become frightfully hot.	false	221.67	231.87	19.610552
777_126732_000007_000003	Mr Verloc, getting off the sofa with ponderous reluctance, opened the door leading into the kitchen to get more air, and thus disclosed the innocent Stevie, seated very good and quiet at a deal table, drawing circles, circles, circles; innumerable circles, concentric, eccentric; a coruscating whirl of circles that by their tangled multitude of repeated curves, uniformity of form, and confusion of intersecting lines suggested a rendering of cosmic chaos, the symbolism of a mad art attempting the inconceivable.	Mr Verloc, getting off the sofa with ponderous reluctance, opened the door leading into the kitchen to get more air, and thus disclosed the innocent Stevie, seated very good and quiet at a deal table, drawing circles, circles, circles; innumerable circles, concentric, eccentric; a coruscating whirl of circles that by their tangled multitude of repeated curves, uniformity of form, and confusion of intersecting lines suggested a rendering of cosmic chaos, the symbolism of a mad art attempting the inconceivable.	false	231.87	261.285	21.122587
777_126732_000007_000004	The artist never turned his head; and in all his soul's application to the task his back quivered, his thin neck, sunk into a deep hollow at the base of the skull, seemed ready to snap.	The artist never turned his head; and in all his soul's application to the task his back quivered, his thin neck, sunk into a deep hollow at the base of the skull, seemed ready to snap.	false	261.285	273.09	22.706455
777_126732_000008_000000	Mr Verloc, after a grunt of disapproving surprise, returned to the sofa. Alexander Ossipon got up, tall in his threadbare blue serge suit under the low ceiling, shook off the stiffness of long immobility, and strolled away into the kitchen (down two steps) to look over Stevie's shoulder. He came back, pronouncing oracularly: "Very good.	Mr Verloc, after a grunt of disapproving surprise, returned to the sofa. Alexander Ossipon got up, tall in his threadbare blue serge suit under the low ceiling, shook off the stiffness of long immobility, and strolled away into the kitchen (down two steps) to look over Stevie's shoulder. He came back, pronouncing oracularly: "Very good.	false	273.09	292.5	22.202868
777_126732_000008_000001	Very characteristic, perfectly typical."	Very characteristic, perfectly typical."	false	292.5	293.94	16
777_126732_000009_000000	"What's very good?" grunted inquiringly Mr Verloc, settled again in the corner of the sofa.	"What's very good?" grunted inquiringly Mr Verloc, settled again in the corner of the sofa.	false	293.94	299.16	16
777_126732_000009_000001	The other explained his meaning negligently, with a shade of condescension and a toss of his head towards the kitchen:	The other explained his meaning negligently, with a shade of condescension and a toss of his head towards the kitchen:	false	299.16	307.98	19.583935
777_126732_000010_000000	"Typical of this form of degeneracy--these drawings, I mean."	"Typical of this form of degeneracy-these drawings, I mean."	false	307.98	311.895	21.223547
777_126732_000011_000000	"You would call that lad a degenerate, would you?" mumbled Mr Verloc.	"You would call that lad a degenerate, would you?" mumbled Mr Verloc.	false	311.895	314.4	21
777_126732_000012_000000	Comrade Alexander Ossipon--nicknamed the Doctor, ex-medical student without a degree; afterwards wandering lecturer to working-men's associations upon the socialistic aspects of hygiene; author of a popular quasi-medical study (in the form of a cheap pamphlet seized promptly by the police) entitled "The Corroding Vices of the Middle Classes"; special delegate of the more or less mysterious Red Committee, together with Karl Yundt and Michaelis for the work of literary propaganda--turned upon the obscure familiar of at least two Embassies that glance of insufferable, hopelessly dense sufficiency which nothing but the frequentation of science can give to the dulness of common mortals.	Comrade Alexander Ossipon-nicknamed the Doctor, ex medical student without a degree; afterwards wandering lecturer to working men's associations upon the socialistic aspects of hygiene; author of a popular quasi medical study (in the form of a cheap pamphlet seized promptly by the police) entitled "The Corroding Vices of the Middle Classes"; special delegate of the more or less mysterious Red Committee, together with Karl Yundt and Michaelis for the work of literary propaganda-turned upon the obscure familiar of at least two Embassies that glance of insufferable, hopelessly dense sufficiency which nothing but the frequentation of science can give to the dulness of common mortals.	false	314.4	344.61	22.156105
777_126732_000013_000000	"That's what he may be called scientifically.	"That's what he may be called scientifically.	false	344.61	346.71	19.913012
777_126732_000013_000001	Very good type too, altogether, of that sort of degenerate.	Very good type too, altogether, of that sort of degenerate.	false	346.71	349.71	21.764196
777_126732_000013_000002	It's enough to glance at the lobes of his ears.	It's enough to glance at the lobes of his ears.	false	349.71	353.52	21.662199
777_126732_000013_000003	If you read Lombroso--"	If you read Lombroso-"	false	353.52	354.96	10
777_126732_000014_000000	Mr Verloc, moody and spread largely on the sofa, continued to look down the row of his waistcoat buttons; but his cheeks became tinged by a faint blush.	Mr Verloc, moody and spread largely on the sofa, continued to look down the row of his waistcoat buttons; but his cheeks became tinged by a faint blush.	false	354.96	364.56	21.191809
777_126732_000014_000001	Of late even the merest derivative of the word science (a term in itself inoffensive and of indefinite meaning) had the curious power of evoking a definitely offensive mental vision of Mr Vladimir, in his body as he lived, with an almost supernatural clearness.	Of late even the merest derivative of the word science (a term in itself inoffensive and of indefinite meaning) had the curious power of evoking a definitely offensive mental vision of Mr Vladimir, in his body as he lived, with an almost supernatural clearness.	false	364.56	380.52	21.124538
777_126732_000014_000002	And this phenomenon, deserving justly to be classed amongst the marvels of science, induced in Mr Verloc an emotional state of dread and exasperation tending to express itself in violent swearing.	And this phenomenon, deserving justly to be classed amongst the marvels of science, induced in Mr Verloc an emotional state of dread and exasperation tending to express itself in violent swearing.	false	380.52	390.54	21.646965
777_126732_000014_000003	But he said nothing.	But he said nothing.	false	390.54	391.47	14
777_126732_000014_000004	It was Karl Yundt who was heard, implacable to his last breath.	It was Karl Yundt who was heard, implacable to his last breath.	false	391.47	395.22	18.79998
777_126732_000015_000000	"Lombroso is an ass."	"Lombroso is an ass."	false	395.22	396.48	19.825237
777_126732_000016_000000	Comrade Ossipon met the shock of this blasphemy by an awful, vacant stare.	Comrade Ossipon met the shock of this blasphemy by an awful, vacant stare.	false	396.48	400.68	21
777_126732_000016_000001	And the other, his extinguished eyes without gleams blackening the deep shadows under the great, bony forehead, mumbled, catching the tip of his tongue between his lips at every second word as though he were chewing it angrily:	And the other, his extinguished eyes without gleams blackening the deep shadows under the great, bony forehead, mumbled, catching the tip of his tongue between his lips at every second word as though he were chewing it angrily:	false	400.68	413.79	22.521807
777_126732_000017_000000	"Did you ever see such an idiot?	"Did you ever see such an idiot?	false	413.79	417.465	20.604183
777_126732_000017_000001	For him the criminal is the prisoner. Simple, is it not?	For him the criminal is the prisoner. Simple, is it not?	false	417.465	421.83	21.01907
777_126732_000017_000002	What about those who shut him up there--forced him in there?	What about those who shut him up there-forced him in there?	false	421.83	426.9	18.676819
777_126732_000017_000003	Exactly.	Exactly.	false	426.9	427.32	-20
777_126732_000017_000004	Forced him in there.	Forced him in there.	false	427.32	429.09	19.868628
777_126732_000017_000005	And what is crime?	And what is crime?	false	429.09	429.21	21
777_126732_000017_000006	Does he know that, this imbecile who has made his way in this world of gorged fools by looking at the ears and teeth of a lot of poor, luckless devils?	Does he know that, this imbecile who has made his way in this world of gorged fools by looking at the ears and teeth of a lot of poor, luckless devils?	false	429.21	439.44	21.169104
777_126732_000017_000007	Teeth and ears mark the criminal?	Teeth and ears mark the criminal?	false	439.44	440.37	22.552238
777_126732_000017_000008	Do they?	Do they?	false	440.37	440.685	15
777_126732_000017_000009	And what about the law that marks him still better--the pretty branding instrument invented by the overfed to protect themselves against the hungry?	And what about the law that marks him still better-the pretty branding instrument invented by the overfed to protect themselves against the hungry?	false	440.685	447.51	20.730152
777_126732_000017_000010	Red-hot applications on their vile skins--hey?	Red hot applications on their vile skins-hey?	false	447.51	448.98	18
777_126732_000017_000011	Can't you smell and hear from here the thick hide of the people burn and sizzle?	Can't you smell and hear from here the thick hide of the people burn and sizzle?	false	448.98	455.16	22.901999
777_126732_000017_000012	That's how criminals are made for your Lombrosos to write their silly stuff about."	That's how criminals are made for your Lombrosos to write their silly stuff about."	false	455.16	459.81	21.013062
777_126732_000018_000000	The knob of his stick and his legs shook together with passion, whilst the trunk, draped in the wings of the havelock, preserved his historic attitude of defiance.	The knob of his stick and his legs shook together with passion, whilst the trunk, draped in the wings of the havelock, preserved his historic attitude of defiance.	false	459.81	469.02	22.990282
777_126732_000018_000001	He seemed to sniff the tainted air of social cruelty, to strain his ear for its atrocious sounds.	He seemed to sniff the tainted air of social cruelty, to strain his ear for its atrocious sounds.	false	469.02	475.17	23.33919
777_126732_000018_000002	There was an extraordinary force of suggestion in this posturing.	There was an extraordinary force of suggestion in this posturing.	false	475.17	478.92	20.238987
777_126732_000018_000003	The all but moribund veteran of dynamite wars had been a great actor in his time--actor on platforms, in secret assemblies, in private interviews. The famous terrorist had never in his life raised personally as much as his little finger against the social edifice.	The all but moribund veteran of dynamite wars had been a great actor in his time-actor on platforms, in secret assemblies, in private interviews. The famous terrorist had never in his life raised personally as much as his little finger against the social edifice.	false	478.92	497.28	21.238352
777_126732_000018_000004	He was no man of action; he was not even an orator of torrential eloquence, sweeping the masses along in the rushing noise and foam of a great enthusiasm.	He was no man of action; he was not even an orator of torrential eloquence, sweeping the masses along in the rushing noise and foam of a great enthusiasm.	false	497.28	511.26	21.253939
777_126732_000018_000005	With a more subtle intention, he took the part of an insolent and venomous evoker of sinister impulses which lurk in the blind envy and exasperated vanity of ignorance, in the suffering and misery of poverty, in all the hopeful and noble illusions of righteous anger, pity, and revolt.	With a more subtle intention, he took the part of an insolent and venomous evoker of sinister impulses which lurk in the blind envy and exasperated vanity of ignorance, in the suffering and misery of poverty, in all the hopeful and noble illusions of righteous anger, pity, and revolt.	false	511.26	531.45	20.47114
777_126732_000018_000006	The shadow of his evil gift clung to him yet like the smell of a deadly drug in an old vial of poison, emptied now, useless, ready to be thrown away upon the rubbish-heap of things that had served their time.	The shadow of his evil gift clung to him yet like the smell of a deadly drug in an old vial of poison, emptied now, useless, ready to be thrown away upon the rubbish heap of things that had served their time.	false	531.45	546.69	21.487366
777_126732_000019_000000	Michaelis, the ticket-of-leave apostle, smiled vaguely with his glued lips; his pasty moon face drooped under the weight of melancholy assent. He had been a prisoner himself.	Michaelis, the ticket of leave apostle, smiled vaguely with his glued lips; his pasty moon face drooped under the weight of melancholy assent. He had been a prisoner himself.	false	546.69	556.14	20.48772
777_126732_000019_000001	His own skin had sizzled under the red-hot brand, he murmured softly.	His own skin had sizzled under the red hot brand, he murmured softly.	false	556.14	561.03	20.642612
777_126732_000019_000002	But Comrade Ossipon, nicknamed the Doctor, had got over the shock by that time.	But Comrade Ossipon, nicknamed the Doctor, had got over the shock by that time.	false	561.03	567.48	23.22552
777_126732_000020_000000	"You don't understand," he began disdainfully, but stopped short, intimidated by the dead blackness of the cavernous eyes in the face turned slowly towards him with a blind stare, as if guided only by the sound.	"You don't understand," he began disdainfully, but stopped short, intimidated by the dead blackness of the cavernous eyes in the face turned slowly towards him with a blind stare, as if guided only by the sound.	false	567.48	577.8	22.913626
777_126732_000020_000001	He gave the discussion up, with a slight shrug of the shoulders.	He gave the discussion up, with a slight shrug of the shoulders.	false	577.8	580.11	23.507534
777_126732_000021_000000	Stevie, accustomed to move about disregarded, had got up from the kitchen table, carrying off his drawing to bed with him.	Stevie, accustomed to move about disregarded, had got up from the kitchen table, carrying off his drawing to bed with him.	false	580.11	584.88	21.829685
777_126732_000021_000001	He had reached the parlour door in time to receive in full the shock of Karl Yundt's eloquent imagery.	He had reached the parlour door in time to receive in full the shock of Karl Yundt's eloquent imagery.	false	584.88	589.71	23.823765
777_126732_000021_000002	The sheet of paper covered with circles dropped out of his fingers, and he remained staring at the old terrorist, as if rooted suddenly to the spot by his morbid horror and dread of physical pain. Stevie knew very well that hot iron applied to one's skin hurt very much. His scared eyes blazed with indignation: it would hurt terribly.	The sheet of paper covered with circles dropped out of his fingers, and he remained staring at the old terrorist, as if rooted suddenly to the spot by his morbid horror and dread of physical pain. Stevie knew very well that hot iron applied to one's skin hurt very much. His scared eyes blazed with indignation: it would hurt terribly.	false	589.71	610.23	21.142817
777_126732_000021_000003	His mouth dropped open.	His mouth dropped open.	false	610.23	611.43	24.330761
777_126732_000022_000000	Michaelis by staring unwinkingly at the fire had regained that sentiment of isolation necessary for the continuity of his thought.	Michaelis by staring unwinkingly at the fire had regained that sentiment of isolation necessary for the continuity of his thought.	false	611.43	615.54	20.181124
777_126732_000022_000001	His optimism had begun to flow from his lips.	His optimism had begun to flow from his lips.	false	615.54	617.4	22.585073
777_126732_000022_000002	He saw Capitalism doomed in its cradle, born with the poison of the principle of competition in its system.	He saw Capitalism doomed in its cradle, born with the poison of the principle of competition in its system.	false	617.4	625.17	20.847727
777_126732_000022_000003	The great capitalists devouring the little capitalists, concentrating the power and the tools of production in great masses, perfecting industrial processes, and in the madness of self-aggrandisement only preparing, organising, enriching, making ready the lawful inheritance of the suffering proletariat.	The great capitalists devouring the little capitalists, concentrating the power and the tools of production in great masses, perfecting industrial processes, and in the madness of self aggrandisement only preparing, organising, enriching, making ready the lawful inheritance of the suffering proletariat.	false	625.17	641.7	19.827868
777_126732_000022_000004	Michaelis pronounced the great word "Patience"--and his clear blue glance, raised to the low ceiling of Mr Verloc's parlour, had a character of seraphic trustfulness.	Michaelis pronounced the great word "Patience"--and his clear blue glance, raised to the low ceiling of Mr Verloc's parlour, had a character of seraphic trustfulness.	false	641.7	653.7	21.476349
777_126732_000022_000005	In the doorway Stevie, calmed, seemed sunk in hebetude.	In the doorway Stevie, calmed, seemed sunk in hebetude.	false	653.7	658.065	21.96529
777_126732_000023_000000	Comrade Ossipon's face twitched with exasperation.	Comrade Ossipon's face twitched with exasperation.	false	658.065	660.39	18
777_126732_000024_000000	"Then it's no use doing anything--no use whatever."	"Then it's no use doing anything-no use whatever."	false	660.39	663.72	20.473967
777_126732_000025_000000	"I don't say that," protested Michaelis gently.	"I don't say that," protested Michaelis gently.	false	663.72	666.33	16
777_126732_000025_000001	His vision of truth had grown so intense that the sound of a strange voice failed to rout it this time.	His vision of truth had grown so intense that the sound of a strange voice failed to rout it this time.	false	666.33	672.945	21.151546
777_126732_000025_000002	He continued to look down at the red coals.	He continued to look down at the red coals.	false	672.945	676.5	15.99267
777_126732_000025_000003	Preparation for the future was necessary, and he was willing to admit that the great change would perhaps come in the upheaval of a revolution.	Preparation for the future was necessary, and he was willing to admit that the great change would perhaps come in the upheaval of a revolution.	false	676.5	687.72	23.230597
777_126732_000025_000004	But he argued that revolutionary propaganda was a delicate work of high conscience.	But he argued that revolutionary propaganda was a delicate work of high conscience.	false	687.72	691.74	20
777_126732_000025_000005	It was the education of the masters of the world.	It was the education of the masters of the world.	false	691.74	697.53	21.802248
777_126732_000025_000006	It should be as careful as the education given to kings.	It should be as careful as the education given to kings.	false	697.53	700.86	22.883163
777_126732_000025_000007	He would have it advance its tenets cautiously, even timidly, in our ignorance of the effect that may be produced by any given economic change upon the happiness, the morals, the intellect, the history of mankind.	He would have it advance its tenets cautiously, even timidly, in our ignorance of the effect that may be produced by any given economic change upon the happiness, the morals, the intellect, the history of mankind.	false	700.86	712.59	21.823225
777_126732_000025_000008	For history is made with tools, not with ideas; and everything is changed by economic conditions--art, philosophy, love, virtue--truth itself!	For history is made with tools, not with ideas; and everything is changed by economic conditions-art, philosophy, love, virtue-truth itself!	false	712.59	718.485	19.0432
777_126732_000026_000000	The coals in the grate settled down with a slight crash; and Michaelis, the hermit of visions in the desert of a penitentiary, got up impetuously.	The coals in the grate settled down with a slight crash; and Michaelis, the hermit of visions in the desert of a penitentiary, got up impetuously.	false	718.485	726.21	21.641048
777_126732_000026_000001	Round like a distended balloon, he opened his short, thick arms, as if in a pathetically hopeless attempt to embrace and hug to his breast a self-regenerated universe.	Round like a distended balloon, he opened his short, thick arms, as if in a pathetically hopeless attempt to embrace and hug to his breast a self regenerated universe.	false	726.21	733.53	21.622122
777_126732_000026_000002	He gasped with ardour.	He gasped with ardour.	false	733.53	734.82	16.557938
777_126732_000027_000000	"The future is as certain as the past--slavery, feudalism, individualism, collectivism.	"The future is as certain as the past-slavery, feudalism, individualism, collectivism.	false	734.82	738.75	21.005682
777_126732_000027_000001	This is the statement of a law, not an empty prophecy."	This is the statement of a law, not an empty prophecy."	false	738.75	742.65	21.526983
777_126732_000028_000000	The disdainful pout of Comrade Ossipon's thick lips accentuated the negro type of his face.	The disdainful pout of Comrade Ossipon's thick lips accentuated the negro type of his face.	false	742.65	748.65	18.48254
777_126732_000029_000000	"Nonsense," he said calmly enough.	"Nonsense," he said calmly enough.	false	748.65	749.91	22.404453
777_126732_000029_000001	"There is no law and no certainty. The teaching propaganda be hanged.	"There is no law and no certainty. The teaching propaganda be hanged.	false	749.91	753.66	18.483465
777_126732_000029_000002	What the people knows does not matter, were its knowledge ever so accurate.	What the people knows does not matter, were its knowledge ever so accurate.	false	753.66	757.935	22.137218
777_126732_000029_000003	The only thing that matters to us is the emotional state of the masses.	The only thing that matters to us is the emotional state of the masses.	false	757.935	761.07	12
777_126732_000029_000004	Without emotion there is no action."	Without emotion there is no action."	false	761.07	764.205	19.80881
777_126732_000030_000000	He paused, then added with modest firmness:	He paused, then added with modest firmness:	false	764.205	765.72	22
777_126732_000031_000000	"I am speaking now to you scientifically--scientifically--Eh?	"I am speaking now to you scientifically-scientifically-Eh?	false	765.72	767.88	14
777_126732_000031_000001	What did you say, Verloc?"	What did you say, Verloc?"	false	767.88	769.08	22.50958
777_126732_000032_000000	"Nothing," growled from the sofa Mr Verloc, who, provoked by the abhorrent sound, had merely muttered a "Damn."	"Nothing," growled from the sofa Mr Verloc, who, provoked by the abhorrent sound, had merely muttered a "Damn."	false	769.08	775.02	23
777_126732_000033_000000	The venomous spluttering of the old terrorist without teeth was heard.	The venomous spluttering of the old terrorist without teeth was heard.	false	775.02	779.4	19.417913
777_126732_000034_000000	"Do you know how I would call the nature of the present economic conditions?	"Do you know how I would call the nature of the present economic conditions?	false	779.4	784.89	21.387793
777_126732_000034_000001	I would call it cannibalistic.	I would call it cannibalistic.	false	784.89	786.54	23
777_126732_000034_000002	That's what it is!	That's what it is!	false	786.54	787.89	17.57165
777_126732_000034_000003	They are nourishing their greed on the quivering flesh and the warm blood of the people--nothing else."	They are nourishing their greed on the quivering flesh and the warm blood of the people-nothing else."	false	787.89	797.4	18.573698
777_126732_000035_000000	Stevie swallowed the terrifying statement with an audible gulp, and at once, as though it had been swift poison, sank limply in a sitting posture on the steps of the kitchen door.	Stevie swallowed the terrifying statement with an audible gulp, and at once, as though it had been swift poison, sank limply in a sitting posture on the steps of the kitchen door.	false	797.4	807.84	20.778543
777_126732_000036_000000	Michaelis gave no sign of having heard anything.	Michaelis gave no sign of having heard anything.	false	807.84	810.54	21.408714
777_126732_000036_000001	His lips seemed glued together for good; not a quiver passed over his heavy cheeks.	His lips seemed glued together for good; not a quiver passed over his heavy cheeks.	false	810.54	815.58	22.480095
777_126732_000036_000002	With troubled eyes he looked for his round, hard hat, and put it on his round head.	With troubled eyes he looked for his round, hard hat, and put it on his round head.	false	815.58	821.31	17
777_126732_000036_000003	His round and obese body seemed to float low between the chairs under the sharp elbow of Karl Yundt.	His round and obese body seemed to float low between the chairs under the sharp elbow of Karl Yundt.	false	821.31	828.54	20.703358
777_126732_000036_000004	The old terrorist, raising an uncertain and clawlike hand, gave a swaggering tilt to a black felt sombrero shading the hollows and ridges of his wasted face.	The old terrorist, raising an uncertain and clawlike hand, gave a swaggering tilt to a black felt sombrero shading the hollows and ridges of his wasted face.	false	828.54	838.02	22.17125
777_126732_000036_000005	He got in motion slowly, striking the floor with his stick at every step.	He got in motion slowly, striking the floor with his stick at every step.	false	838.02	843.66	19
777_126732_000036_000006	It was rather an affair to get him out of the house because, now and then, he would stop, as if to think, and did not offer to move again till impelled forward by Michaelis.	It was rather an affair to get him out of the house because, now and then, he would stop, as if to think, and did not offer to move again till impelled forward by Michaelis.	false	843.66	855.93	21.225304
777_126732_000036_000007	The gentle apostle grasped his arm with brotherly care; and behind them, his hands in his pockets, the robust Ossipon yawned vaguely.	The gentle apostle grasped his arm with brotherly care; and behind them, his hands in his pockets, the robust Ossipon yawned vaguely.	false	855.93	864.06	21.208447
777_126732_000036_000008	A blue cap with a patent leather peak set well at the back of his yellow bush of hair gave him the aspect of a Norwegian sailor bored with the world after a thundering spree.	A blue cap with a patent leather peak set well at the back of his yellow bush of hair gave him the aspect of a Norwegian sailor bored with the world after a thundering spree.	false	864.06	876.39	19.567125
777_126732_000036_000009	Mr Verloc saw his guests off the premises, attending them bareheaded, his heavy overcoat hanging open, his eyes on the ground.	Mr Verloc saw his guests off the premises, attending them bareheaded, his heavy overcoat hanging open, his eyes on the ground.	false	876.39	883.74	23.245386
777_126732_000037_000000	He closed the door behind their backs with restrained violence, turned the key, shot the bolt.	He closed the door behind their backs with restrained violence, turned the key, shot the bolt.	false	883.74	887.64	19
777_126732_000037_000001	He was not satisfied with his friends.	He was not satisfied with his friends.	false	887.64	891.69	21.342274
777_126732_000037_000002	In the light of Mr Vladimir's philosophy of bomb throwing they appeared hopelessly futile.	In the light of Mr Vladimir's philosophy of bomb throwing they appeared hopelessly futile.	false	891.69	897.51	20.85055
777_126732_000037_000003	The part of Mr Verloc in revolutionary politics having been to observe, he could not all at once, either in his own home or in larger assemblies, take the initiative of action.	The part of Mr Verloc in revolutionary politics having been to observe, he could not all at once, either in his own home or in larger assemblies, take the initiative of action.	false	897.51	907.77	22.412289
777_126732_000037_000004	He had to be cautious.	He had to be cautious.	false	907.77	910.38	24.239088
