1462_170138_000000_000000	CHAPTER II	CHAPTER two	false	0.87	12.13	21.543789
1462_170138_000003_000003	But Hilda Burgoyne's the hit of the piece. Hugh's written a delightful part for her, and she's quite inexpressible. It's been on only two weeks, and I've been half a dozen times already. I happen to have MacConnell's box for tonight or there'd be no chance of our getting places.	But Hilda Burgoyne's the hit of the piece. Hugh's written a delightful part for her, and she's quite inexpressible. It's been on only two weeks, and I've been half a dozen times already. I happen to have MacConnell's box for tonight or there'd be no chance of our getting places.	false	151.97	166.84	23.453934
1462_170138_000003_000004	There's everything in seeing Hilda while she's fresh in a part.	There's everything in seeing Hilda while she's fresh in a part.	true	166.91	170.37	20.9653
1462_170138_000003_000005	She's apt to grow a bit stale after a time.	She's apt to grow a bit stale after a time.	true	170.37	172.95	28.794348
1462_170138_000003_000006	The ones who have any imagination do."	The ones who have any imagination do."	true	172.95	175.18	20
1462_170138_000004_000000	"Hilda Burgoyne!" Alexander exclaimed mildly.	"Hilda Burgoyne!" Alexander exclaimed mildly.	true	176.24	180.1	21.20072
1462_170138_000004_000001	"Why, I haven't heard of her for--years."	"Why, I haven't heard of her for-years."	true	180.17	182.86	23.989859
1462_170138_000005_000000	Mainhall laughed.	Mainhall laughed.	true	183.74	185.08	29.635601
1462_170138_000005_000001	"Then you can't have heard much at all, my dear Alexander.	"Then you can't have heard much at all, my dear Alexander.	true	185.42	188.17	20.248173
1462_170138_000005_000002	It's only lately, since MacConnell and his set have got hold of her, that she's come up.	It's only lately, since MacConnell and his set have got hold of her, that she's come up.	true	188.18	192.76	21.660578
1462_170138_000005_000003	Myself, I always knew she had it in her.	Myself, I always knew she had it in her.	true	192.95	195.31	21.755302
1462_170138_000005_000004	If we had one real critic in London--but what can one expect?	If we had one real critic in London-but what can one expect?	true	195.38	199.6	28.789278
1462_170138_000005_000005	Do you know, Alexander,"--Mainhall looked with perplexity up into the top of the hansom and rubbed his pink cheek with his gloved finger,--"do you know, I sometimes think of taking to criticism seriously myself.	Do you know, Alexander,"--Mainhall looked with perplexity up into the top of the hansom and rubbed his pink cheek with his gloved finger,--"do you know, I sometimes think of taking to criticism seriously myself.	true	199.82	212.83	21.847181
1462_170138_000005_000006	In a way, it would be a sacrifice; but, dear me, we do need some one."	In a way, it would be a sacrifice; but, dear me, we do need some one."	true	212.9	217.06	19.02609
1462_170138_000006_000000	Just then they drove up to the Duke of York's, so Alexander did not commit himself, but followed Mainhall into the theatre.	Just then they drove up to the Duke of York's, so Alexander did not commit himself, but followed Mainhall into the theatre.	true	218.06	225.19	21.813898
1462_170138_000006_000001	When they entered the stage-box on the left the first act was well under way, the scene being the interior of a cabin in the south of Ireland.	When they entered the stage box on the left the first act was well under way, the scene being the interior of a cabin in the south of Ireland.	true	226.22	234.1	21
1462_170138_000006_000002	As they sat down, a burst of applause drew Alexander's attention to the stage.	As they sat down, a burst of applause drew Alexander's attention to the stage.	true	234.77	239.5	20
1462_170138_000006_000003	Miss Burgoyne and her donkey were thrusting their heads in at the half door. "After all," he reflected, "there's small probability of her recognizing me.	Miss Burgoyne and her donkey were thrusting their heads in at the half door. "After all," he reflected, "there's small probability of her recognizing me.	true	239.87	248.77	22.954218
1462_170138_000006_000004	She doubtless hasn't thought of me for years." He felt the enthusiasm of the house at once, and in a few moments he was caught up by the current of MacConnell's irresistible comedy.	She doubtless hasn't thought of me for years." He felt the enthusiasm of the house at once, and in a few moments he was caught up by the current of MacConnell's irresistible comedy.	true	248.84	260.47	22.315445
1462_170138_000006_000005	The audience had come forewarned, evidently, and whenever the ragged slip of a donkey-girl ran upon the stage there was a deep murmur of approbation, every one smiled and glowed, and Mainhall hitched his heavy chair a little nearer the brass railing.	The audience had come forewarned, evidently, and whenever the ragged slip of a donkey girl ran upon the stage there was a deep murmur of approbation, every one smiled and glowed, and Mainhall hitched his heavy chair a little nearer the brass railing.	false	261.05	275.56	21.62718
1462_170138_000007_000000	"You see," he murmured in Alexander's ear, as the curtain fell on the first act, "one almost never sees a part like that done without smartness or mawkishness.	"You see," he murmured in Alexander's ear, as the curtain fell on the first act, "one almost never sees a part like that done without smartness or mawkishness.	true	276.2	285.88	22.520697
1462_170138_000007_000001	Of course, Hilda is Irish,--the Burgoynes have been stage people for generations,--and she has the Irish voice.	Of course, Hilda is Irish,--the Burgoynes have been stage people for generations,--and she has the Irish voice.	true	285.98	292.09	21.482649
1462_170138_000007_000002	It's delightful to hear it in a London theatre.	It's delightful to hear it in a London theatre.	false	292.37	294.76	25
1462_170138_000007_000003	That laugh, now, when she doubles over at the hips--who ever heard it out of Galway?	That laugh, now, when she doubles over at the hips-who ever heard it out of Galway?	true	294.8	299.5	25.863987
1462_170138_000007_000004	She saves her hand, too.	She saves her hand, too.	true	299.72	301.3	22.07356
1462_170138_000007_000005	She's at her best in the second act.	She's at her best in the second act.	true	301.46	303.49	23.565796
1462_170138_000007_000006	She's really MacConnell's poetic motif, you see; makes the whole thing a fairy tale."	She's really MacConnell's poetic motif, you see; makes the whole thing a fairy tale."	true	303.68	308.29	26.407255
1462_170138_000008_000000	The second act opened before Philly Doyle's underground still, with Peggy and her battered donkey come in to smuggle a load of potheen across the bog, and to bring Philly word of what was doing in the world without, and of what was happening along the roadsides and ditches with the first gleam of fine weather.	The second act opened before Philly Doyle's underground still, with Peggy and her battered donkey come in to smuggle a load of potheen across the bog, and to bring Philly word of what was doing in the world without, and of what was happening along the roadsides and ditches with the first gleam of fine weather.	false	309.59	328.21	22.590042
1462_170138_000008_000001	Alexander, annoyed by Mainhall's sighs and exclamations, watched her with keen, half-skeptical interest.	Alexander, annoyed by Mainhall's sighs and exclamations, watched her with keen, half skeptical interest.	true	329.06	336.52	19.84862
1462_170138_000008_000002	As Mainhall had said, she was the second act; the plot and feeling alike depended upon her lightness of foot, her lightness of touch, upon the shrewdness and deft fancifulness that played alternately, and sometimes together, in her mirthful brown eyes.	As Mainhall had said, she was the second act; the plot and feeling alike depended upon her lightness of foot, her lightness of touch, upon the shrewdness and deft fancifulness that played alternately, and sometimes together, in her mirthful brown eyes.	false	337.04	353.26	22.93312
1462_170138_000008_000003	When she began to dance, by way of showing the gossoons what she had seen in the fairy rings at night, the house broke into a prolonged uproar.	When she began to dance, by way of showing the gossoons what she had seen in the fairy rings at night, the house broke into a prolonged uproar.	true	353.57	361.78	22.137184
1462_170138_000008_000004	After her dance she withdrew from the dialogue and retreated to the ditch wall back of Philly's burrow, where she sat singing "The Rising of the Moon" and making a wreath of primroses for her donkey.	After her dance she withdrew from the dialogue and retreated to the ditch wall back of Philly's burrow, where she sat singing "The Rising of the Moon" and making a wreath of primroses for her donkey.	true	362.24	373.18	24.265533
1462_170138_000009_000000	When the act was over Alexander and Mainhall strolled out into the corridor.	When the act was over Alexander and Mainhall strolled out into the corridor.	true	375.26	379.42	19
1462_170138_000009_000001	They met a good many acquaintances; Mainhall, indeed, knew almost every one, and he babbled on incontinently, screwing his small head about over his high collar.	They met a good many acquaintances; Mainhall, indeed, knew almost every one, and he babbled on incontinently, screwing his small head about over his high collar.	true	379.61	389.5	23.954596
1462_170138_000009_000002	Presently he hailed a tall, bearded man, grim-browed and rather battered-looking, who had his opera cloak on his arm and his hat in his hand, and who seemed to be on the point of leaving the theatre.	Presently he hailed a tall, bearded man, grim browed and rather battered looking, who had his opera cloak on his arm and his hat in his hand, and who seemed to be on the point of leaving the theatre.	false	390.02	401.26	23.345695
1462_170138_000010_000000	"MacConnell, let me introduce Mr. Bartley Alexander.	"MacConnell, let me introduce mr Bartley Alexander.	true	402.05	405.52	21.357254
1462_170138_000010_000001	I say!	I say!	true	405.65	406.485	26.672922
1462_170138_000010_000002	It's going famously to-night, Mac.	It's going famously to night, Mac.	true	406.485	408.51	23.096289
1462_170138_000010_000003	And what an audience!	And what an audience!	true	408.51	409.81	20.99911
1462_170138_000010_000004	You'll never do anything like this again, mark me.	You'll never do anything like this again, mark me.	true	409.82	412.21	22.79293
1462_170138_000010_000005	A man writes to the top of his bent only once."	A man writes to the top of his bent only once."	true	412.4	415.12	21.73518
1462_170138_000011_000000	The playwright gave Mainhall a curious look out of his deep-set faded eyes and made a wry face.	The playwright gave Mainhall a curious look out of his deep set faded eyes and made a wry face.	true	416.24	422.5	23.503967
1462_170138_000011_000001	"And have I done anything so fool as that, now?" he asked.	"And have I done anything so fool as that, now?" he asked.	true	423.32	426.97	23.98457
1462_170138_000012_000000	"That's what I was saying," Mainhall lounged a little nearer and dropped into a tone even more conspicuously confidential.	"That's what I was saying," Mainhall lounged a little nearer and dropped into a tone even more conspicuously confidential.	true	427.61	434.95	23.21625
1462_170138_000012_000001	"And you'll never bring Hilda out like this again.	"And you'll never bring Hilda out like this again.	true	435.32	437.77	26.812326
1462_170138_000012_000002	Dear me, Mac, the girl couldn't possibly be better, you know."	Dear me, Mac, the girl couldn't possibly be better, you know."	true	437.81	441.1	25.238688
1462_170138_000013_000000	MacConnell grunted.	MacConnell grunted.	true	441.62	442.98	21.952366
1462_170138_000013_000001	"She'll do well enough if she keeps her pace and doesn't go off on us in the middle of the season, as she's more than like to do."	"She'll do well enough if she keeps her pace and doesn't go off on us in the middle of the season, as she's more than like to do."	false	442.98	448.96	23
1462_170138_000014_000000	He nodded curtly and made for the door, dodging acquaintances as he went.	He nodded curtly and made for the door, dodging acquaintances as he went.	true	449.51	453.79	21.516615
1462_170138_000015_000000	"Poor old Hugh," Mainhall murmured.	"Poor old Hugh," Mainhall murmured.	true	454.7	456.885	24.180805
1462_170138_000015_000001	"He's hit terribly hard.	"He's hit terribly hard.	true	456.885	458.44	24.4832
1462_170138_000015_000002	He's been wanting to marry Hilda these three years and more.	He's been wanting to marry Hilda these three years and more.	true	458.48	461.53	19.540943
1462_170138_000015_000003	She doesn't take up with anybody, you know.	She doesn't take up with anybody, you know.	true	461.84	463.81	20.602602
1462_170138_000015_000004	Irene Burgoyne, one of her family, told me in confidence that there was a romance somewhere back in the beginning.	Irene Burgoyne, one of her family, told me in confidence that there was a romance somewhere back in the beginning.	false	463.94	469.42	18
1462_170138_000015_000005	One of your countrymen, Alexander, by the way; an American student whom she met in Paris, I believe.	One of your countrymen, Alexander, by the way; an American student whom she met in Paris, I believe.	true	469.61	475.26	24.086819
1462_170138_000015_000006	I dare say it's quite true that there's never been any one else." Mainhall vouched for her constancy with a loftiness that made Alexander smile, even while a kind of rapid excitement was tingling through him.	I dare say it's quite true that there's never been any one else." Mainhall vouched for her constancy with a loftiness that made Alexander smile, even while a kind of rapid excitement was tingling through him.	true	475.26	487.09	23.16808
1462_170138_000015_000007	Blinking up at the lights, Mainhall added in his luxurious, worldly way: "She's an elegant little person, and quite capable of an extravagant bit of sentiment like that.	Blinking up at the lights, Mainhall added in his luxurious, worldly way: "She's an elegant little person, and quite capable of an extravagant bit of sentiment like that.	true	487.91	497.35	23.858429
1462_170138_000015_000008	Here comes Sir Harry Towne.	Here comes Sir Harry Towne.	true	498.02	499.95	24.019424
1462_170138_000015_000009	He's another who's awfully keen about her.	He's another who's awfully keen about her.	true	499.95	502.11	20.117607
1462_170138_000015_000010	Let me introduce you.	Let me introduce you.	true	502.11	503.34	20.360798
1462_170138_000015_000011	Sir Harry Towne, Mr. Bartley Alexander, the American engineer."	Sir Harry Towne, mr Bartley Alexander, the American engineer."	true	503.34	507.1	22
1462_170138_000016_000000	Sir Harry Towne bowed and said that he had met Mr. Alexander and his wife in Tokyo.	Sir Harry Towne bowed and said that he had met mr Alexander and his wife in Tokyo.	true	507.74	513.31	24.464682
1462_170138_000017_000000	Mainhall cut in impatiently.	Mainhall cut in impatiently.	true	514.25	516.31	27.119692
1462_170138_000018_000000	"I say, Sir Harry, the little girl's going famously to-night, isn't she?"	"I say, Sir Harry, the little girl's going famously to night, isn't she?"	true	516.59	520.63	23.702562
1462_170138_000019_000000	Sir Harry wrinkled his brows judiciously.	Sir Harry wrinkled his brows judiciously.	true	521.06	523.63	21.915342
1462_170138_000019_000001	"Do you know, I thought the dance a bit conscious to-night, for the first time.	"Do you know, I thought the dance a bit conscious to night, for the first time.	false	523.97	527.62	24.113922
1462_170138_000019_000002	The fact is, she's feeling rather seedy, poor child.	The fact is, she's feeling rather seedy, poor child.	true	527.93	531.01	24.022953
1462_170138_000019_000003	Westmere and I were back after the first act, and we thought she seemed quite uncertain of herself.	Westmere and I were back after the first act, and we thought she seemed quite uncertain of herself.	false	531.71	536.67	22.39938
1462_170138_000019_000004	A little attack of nerves, possibly."	A little attack of nerves, possibly."	true	536.67	538.69	23.487429
1462_170138_000020_000000	He bowed as the warning bell rang, and Mainhall whispered: "You know Lord Westmere, of course,--the stooped man with the long gray mustache, talking to Lady Dowle.	He bowed as the warning bell rang, and Mainhall whispered: "You know Lord Westmere, of course,--the stooped man with the long gray mustache, talking to Lady Dowle.	true	539.36	548.41	22.251038
1462_170138_000020_000001	Lady Westmere is very fond of Hilda."	Lady Westmere is very fond of Hilda."	true	548.84	551.26	23.31634
1462_170138_000021_000000	When they reached their box the house was darkened and the orchestra was playing "The Cloak of Old Gaul." In a moment Peggy was on the stage again, and Alexander applauded vigorously with the rest.	When they reached their box the house was darkened and the orchestra was playing "The Cloak of Old Gaul." In a moment Peggy was on the stage again, and Alexander applauded vigorously with the rest.	true	551.9	563.86	24.43375
1462_170138_000021_000001	He even leaned forward over the rail a little.	He even leaned forward over the rail a little.	false	564.35	566.5	16.898762
1462_170138_000021_000002	For some reason he felt pleased and flattered by the enthusiasm of the audience.	For some reason he felt pleased and flattered by the enthusiasm of the audience.	true	566.63	571	20
1462_170138_000021_000003	In the half-light he looked about at the stalls and boxes and smiled a little consciously, recalling with amusement Sir Harry's judicial frown.	In the half light he looked about at the stalls and boxes and smiled a little consciously, recalling with amusement Sir Harry's judicial frown.	true	571.22	580.24	24.997845
1462_170138_000021_000004	He was beginning to feel a keen interest in the slender, barefoot donkey-girl who slipped in and out of the play, singing, like some one winding through a hilly field. He leaned forward and beamed felicitations as warmly as Mainhall himself when, at the end of the play, she came again and again before the curtain, panting a little and flushed, her eyes dancing and her eager, nervous little mouth tremulous with excitement.	He was beginning to feel a keen interest in the slender, barefoot donkey girl who slipped in and out of the play, singing, like some one winding through a hilly field. He leaned forward and beamed felicitations as warmly as Mainhall himself when, at the end of the play, she came again and again before the curtain, panting a little and flushed, her eyes dancing and her eager, nervous little mouth tremulous with excitement.	true	581.15	606.88	22.97013
1462_170138_000022_000000	When Alexander returned to his hotel--he shook Mainhall at the door of the theatre--he had some supper brought up to his room, and it was late before he went to bed.	When Alexander returned to his hotel-he shook Mainhall at the door of the theatre-he had some supper brought up to his room, and it was late before he went to bed.	false	608.3	617.89	24.241528
1462_170138_000022_000001	He had not thought of Hilda Burgoyne for years; indeed, he had almost forgotten her.	He had not thought of Hilda Burgoyne for years; indeed, he had almost forgotten her.	true	618.38	623.11	24.035427
1462_170138_000022_000002	He had last written to her from Canada, after he first met Winifred, telling her that everything was changed with him--that he had met a woman whom he would marry if he could; if he could not, then all the more was everything changed for him.	He had last written to her from Canada, after he first met Winifred, telling her that everything was changed with him-that he had met a woman whom he would marry if he could; if he could not, then all the more was everything changed for him.	false	623.9	636.37	22.943838
1462_170138_000022_000003	Hilda had never replied to his letter.	Hilda had never replied to his letter.	true	637.19	639.34	26
1462_170138_000022_000004	He felt guilty and unhappy about her for a time, but after Winifred promised to marry him he really forgot Hilda altogether.	He felt guilty and unhappy about her for a time, but after Winifred promised to marry him he really forgot Hilda altogether.	true	639.65	647.23	23.467583
1462_170138_000022_000005	When he wrote her that everything was changed for him, he was telling the truth.	When he wrote her that everything was changed for him, he was telling the truth.	false	648.2	652.87	24.045357
1462_170138_000022_000006	After he met Winifred Pemberton he seemed to himself like a different man.	After he met Winifred Pemberton he seemed to himself like a different man.	true	653.51	657.55	22
1462_170138_000022_000007	One night when he and Winifred were sitting together on the bridge, he told her that things had happened while he was studying abroad that he was sorry for,--one thing in particular,--and he asked her whether she thought she ought to know about them.	One night when he and Winifred were sitting together on the bridge, he told her that things had happened while he was studying abroad that he was sorry for,--one thing in particular,--and he asked her whether she thought she ought to know about them.	false	657.83	671.32	23.605122
1462_170138_000022_000008	She considered a moment and then said "No, I think not, though I am glad you ask me.	She considered a moment and then said "No, I think not, though I am glad you ask me.	false	672.05	677.35	22.847092
1462_170138_000022_000009	You see, one can't be jealous about things in general; but about particular, definite, personal things,"--here she had thrown her hands up to his shoulders with a quick, impulsive gesture--"oh, about those I should be very jealous.	You see, one can't be jealous about things in general; but about particular, definite, personal things,"--here she had thrown her hands up to his shoulders with a quick, impulsive gesture-"oh, about those I should be very jealous.	true	677.66	691.2	22.99548
1462_170138_000022_000010	I should torture myself--I couldn't help it." After that it was easy to forget, actually to forget.	I should torture myself-I couldn't help it." After that it was easy to forget, actually to forget.	true	691.2	697.96	24.42262
1462_170138_000022_000011	He wondered to-night, as he poured his wine, how many times he had thought of Hilda in the last ten years.	He wondered to night, as he poured his wine, how many times he had thought of Hilda in the last ten years.	false	698.72	704.56	22.996231
1462_170138_000022_000012	He had been in London more or less, but he had never happened to hear of her.	He had been in London more or less, but he had never happened to hear of her.	true	704.93	709.3	20.341652
1462_170138_000022_000013	"All the same," he lifted his glass, "here's to you, little Hilda.	"All the same," he lifted his glass, "here's to you, little Hilda.	true	710.36	714.495	22.462461
1462_170138_000022_000014	You've made things come your way, and I never thought you'd do it.	You've made things come your way, and I never thought you'd do it.	true	714.495	717.4	26.87161
1462_170138_000023_000000	"Of course," he reflected, "she always had that combination of something homely and sensible, and something utterly wild and daft.	"Of course," he reflected, "she always had that combination of something homely and sensible, and something utterly wild and daft.	false	718.28	727.11	20.199598
1462_170138_000023_000001	But I never thought she'd do anything.	But I never thought she'd do anything.	true	727.11	728.95	23
1462_170138_000023_000002	She hadn't much ambition then, and she was too fond of trifles.	She hadn't much ambition then, and she was too fond of trifles.	true	729.32	732.82	24.968468
1462_170138_000023_000003	She must care about the theatre a great deal more than she used to.	She must care about the theatre a great deal more than she used to.	true	733.04	736.81	22.33638
1462_170138_000023_000004	Perhaps she has me to thank for something, after all.	Perhaps she has me to thank for something, after all.	true	737.21	740.08	24.04798
1462_170138_000023_000005	Sometimes a little jolt like that does one good.	Sometimes a little jolt like that does one good.	true	740.21	742.81	25.354523
1462_170138_000023_000006	She was a daft, generous little thing.	She was a daft, generous little thing.	false	743.12	745.69	24.198719
1462_170138_000023_000007	I'm glad she's held her own since.	I'm glad she's held her own since.	true	746.12	748.15	17.786785
1462_170138_000023_000008	After all, we were awfully young.	After all, we were awfully young.	true	748.31	750.52	24.55801
1462_170138_000023_000009	It was youth and poverty and proximity, and everything was young and kindly.	It was youth and poverty and proximity, and everything was young and kindly.	true	750.62	755.32	23.390055
1462_170138_000023_000010	I shouldn't wonder if she could laugh about it with me now.	I shouldn't wonder if she could laugh about it with me now.	true	755.66	758.35	22
1462_170138_000023_000011	I shouldn't wonder-- But they've probably spoiled her, so that she'd be tiresome if one met her again."	I shouldn't wonder- But they've probably spoiled her, so that she'd be tiresome if one met her again."	true	758.51	763.87	25.19684
1462_170138_000024_000000	Bartley smiled and yawned and went to bed.	Bartley smiled and yawned and went to bed.	true	765.23	767.61	23
1462_170138_000025_000000	CHAPTER III	CHAPTER three	false	767.61	767.76	-20
1462_170138_000026_000000	The next evening Alexander dined alone at a club, and at about nine o'clock he dropped in at the Duke of York's.	The next evening Alexander dined alone at a club, and at about nine o'clock he dropped in at the Duke of York's.	false	767.76	769.56	18.822433
1462_170138_000026_000001	The house was sold out and he stood through the second act.	The house was sold out and he stood through the second act.	false	769.56	769.56	
1462_170138_000026_000002	When he returned to his hotel he examined the new directory, and found Miss Burgoyne's address still given as off Bedford Square, though at a new number.	When he returned to his hotel he examined the new directory, and found Miss Burgoyne's address still given as off Bedford Square, though at a new number.	false	769.56	769.62	7
1462_170138_000026_000003	He remembered that, in so far as she had been brought up at all, she had been brought up in Bloomsbury.	He remembered that, in so far as she had been brought up at all, she had been brought up in Bloomsbury.	false	769.62	769.65	14
1462_170138_000026_000004	Her father and mother played in the provinces most of the year, and she was left a great deal in the care of an old aunt who was crippled by rheumatism and who had had to leave the stage altogether.	Her father and mother played in the provinces most of the year, and she was left a great deal in the care of an old aunt who was crippled by rheumatism and who had had to leave the stage altogether.	false	769.65	769.71	9
1462_170138_000026_000005	In the days when Alexander knew her, Hilda always managed to have a lodging of some sort about Bedford Square, because she clung tenaciously to such scraps and shreds of memories as were connected with it.	In the days when Alexander knew her, Hilda always managed to have a lodging of some sort about Bedford Square, because she clung tenaciously to such scraps and shreds of memories as were connected with it.	false	769.71	769.77	-1
1462_170138_000026_000006	The mummy room of the British Museum had been one of the chief delights of her childhood.	The mummy room of the British Museum had been one of the chief delights of her childhood.	false	769.77	769.8	9
1462_170138_000026_000007	That forbidding pile was the goal of her truant fancy, and she was sometimes taken there for a treat, as other children are taken to the theatre.	That forbidding pile was the goal of her truant fancy, and she was sometimes taken there for a treat, as other children are taken to the theatre.	false	769.8	769.83	-20
1462_170138_000026_000008	It was long since Alexander had thought of any of these things, but now they came back to him quite fresh, and had a significance they did not have when they were first told him in his restless twenties.	It was long since Alexander had thought of any of these things, but now they came back to him quite fresh, and had a significance they did not have when they were first told him in his restless twenties.	false	769.83	769.89	18
1462_170138_000026_000009	So she was still in the old neighborhood, near Bedford Square.	So she was still in the old neighborhood, near Bedford Square.	false	769.89	769.92	6
1462_170138_000026_000010	The new number probably meant increased prosperity.	The new number probably meant increased prosperity.	false	769.92	769.92	
1462_170138_000026_000011	He hoped so.	He hoped so.	false	769.92	769.92	
1462_170138_000026_000012	He would like to know that she was snugly settled.	He would like to know that she was snugly settled.	false	769.92	769.95	-5
1462_170138_000026_000013	He looked at his watch.	He looked at his watch.	false	769.95	769.95	
1462_170138_000026_000014	It was a quarter past ten; she would not be home for a good two hours yet, and he might as well walk over and have a look at the place.	It was a quarter past ten; she would not be home for a good two hours yet, and he might as well walk over and have a look at the place.	false	769.95	770.82	28.625397
1462_170138_000026_000015	He remembered the shortest way.	He remembered the shortest way.	false	770.82	770.82	
