7850_281318_000000_000000	MOTHER MAGPIE'S KINDERGARTEN	MOTHER MAGPIE'S KINDERGARTEN
7850_281318_000003_000002	Already she had found out a way, and was busily building a famous nest for herself.	Already she had found out a way, and was busily building a famous nest for herself.
7850_281318_000003_000003	She was indeed a clever bird!	She was indeed a clever bird!
7850_281318_000003_000004	She gathered turf and sticks, and with clay bound them firmly together in a stout elm tree.	She gathered turf and sticks, and with clay bound them firmly together in a stout elm tree.
7850_281318_000003_000005	About her house she built a fence of thorns to keep away the burglar birds who had already begun mischief among their peaceful neighbors.	About her house she built a fence of thorns to keep away the burglar birds who had already begun mischief among their peaceful neighbors.
7850_281318_000003_000007	She popped into her new house and sat there comfortably, peering out through the window-slits with her sharp little eyes.	She popped into her new house and sat there comfortably, peering out through the window slits with her sharp little eyes.
7850_281318_000004_000000	"What silly birds they are!" she croaked.	"What silly birds they are!" she croaked.
7850_281318_000004_000001	"Ha, ha!	"Ha, ha!
7850_281318_000004_000002	What would they not give for a nest like mine!"	What would they not give for a nest like mine!"
7850_281318_000005_000000	But presently a sharp-eyed Sparrow spied Mother Magpie sitting in her nest.	But presently a sharp eyed Sparrow spied Mother Magpie sitting in her nest.
7850_281318_000006_000000	"Oho!	"Oho!
7850_281318_000006_000001	Look there!" he cried.	Look there!" he cried.
7850_281318_000006_000002	"Mother Magpie has found a way.	"Mother Magpie has found a way.
7850_281318_000006_000003	Let us ask her to teach us."	Let us ask her to teach us."
7850_281318_000007_000000	Then all the other birds chirped eagerly, "Yes, yes!	Then all the other birds chirped eagerly, "Yes, yes!
7850_281318_000007_000001	Let us ask her to teach us!"	Let us ask her to teach us!"
7850_281318_000008_000000	So, in a great company, they came fluttering, hopping, twittering up to the elm tree where Mother Magpie nestled comfortably in her new house.	So, in a great company, they came fluttering, hopping, twittering up to the elm tree where Mother Magpie nestled comfortably in her new house.
7850_281318_000009_000000	"O wise Mother Magpie, dear Mother Magpie," they cried, "teach us how to build our nests like yours, for it is growing night, and we are tired and sleepy."	"O wise Mother Magpie, dear Mother Magpie," they cried, "teach us how to build our nests like yours, for it is growing night, and we are tired and sleepy."
7850_281318_000010_000000	The Magpie said she would teach them if they would be a patient, diligent, obedient class of little birds.	The Magpie said she would teach them if they would be a patient, diligent, obedient class of little birds.
7850_281318_000010_000001	And they all promised that they would.	And they all promised that they would.
7850_281318_000011_000000	She made them perch about her in a great circle, some on the lower branches of the trees, some on the bushes, and some on the ground among the grass and flowers.	She made them perch about her in a great circle, some on the lower branches of the trees, some on the bushes, and some on the ground among the grass and flowers.
7850_281318_000011_000003	When these things were all piled up before her she told every bird to do just as she did.	When these things were all piled up before her she told every bird to do just as she did.
7850_281318_000011_000004	It was like a great big kindergarten of birds playing at a new building game, with Mother Magpie for the teacher.	It was like a great big kindergarten of birds playing at a new building game, with Mother Magpie for the teacher.
7850_281318_000012_000000	She began to show them how to weave the bits of things together into nests, as they should be made.	She began to show them how to weave the bits of things together into nests, as they should be made.
7850_281318_000012_000001	And some of the birds, who were attentive and careful, soon saw how it was done, and started nice homes for themselves.	And some of the birds, who were attentive and careful, soon saw how it was done, and started nice homes for themselves.
7850_281318_000012_000002	You have seen what wonderful swinging baskets the Oriole makes for his baby-cradle?	You have seen what wonderful swinging baskets the Oriole makes for his baby cradle?
7850_281318_000012_000003	Well, it was the Magpie who taught him how, and he was the prize pupil, to be sure.	Well, it was the Magpie who taught him how, and he was the prize pupil, to be sure.
7850_281318_000012_000004	But some of the birds were not like him, nor like the patient little Wren.	But some of the birds were not like him, nor like the patient little Wren.
7850_281318_000012_000005	Some of them were lazy and stupid and envious of Mother Magpie's cosy nest, which was already finished, while theirs was yet to do.	Some of them were lazy and stupid and envious of Mother Magpie's cosy nest, which was already finished, while theirs was yet to do.
7850_281318_000013_000001	So, as she went on bit by bit, the silly things pretended that they had known all about it from the first--which was very unpleasant for their teacher.	So, as she went on bit by bit, the silly things pretended that they had known all about it from the first-which was very unpleasant for their teacher.
7850_281318_000014_000000	Mother Magpie took two sticks in her beak and began like this: "First of all, my friends, you must lay two sticks crosswise for a foundation, thus," and she placed them carefully on the branch before her.	Mother Magpie took two sticks in her beak and began like this: "First of all, my friends, you must lay two sticks crosswise for a foundation, thus," and she placed them carefully on the branch before her.
7850_281318_000015_000000	"Oh yes, oh yes!" croaked old Daddy Crow, interrupting her rudely.	"Oh yes, oh yes!" croaked old Daddy Crow, interrupting her rudely.
7850_281318_000015_000001	"I thought that was the way to begin."	"I thought that was the way to begin."
7850_281318_000016_000000	Mother Magpie snapped her eyes at him and went on, "Next you must lay a feather on a bit of moss, to start the walls."	Mother Magpie snapped her eyes at him and went on, "Next you must lay a feather on a bit of moss, to start the walls."
7850_281318_000017_000000	"Certainly, of course," screamed the Jackdaw.	"Certainly, of course," screamed the Jackdaw.
7850_281318_000017_000001	"I knew that came next. That is what I told the Parrot but a moment since."	"I knew that came next. That is what I told the Parrot but a moment since."
7850_281318_000019_000001	Of course, of course!	Of course, of course!
7850_281318_000019_000002	Tell us something new."	Tell us something new."
7850_281318_000021_000001	She turned toward the Wood-Pigeon, who was a rattle-pated young thing, and who was not having any success with the sticks which she was trying to place.	She turned toward the Wood Pigeon, who was a rattle pated young thing, and who was not having any success with the sticks which she was trying to place.
7850_281318_000023_000000	"Criss-cross, criss-cross, so," interrupted the Wood-Pigeon.	"Criss cross, criss cross, so," interrupted the Wood Pigeon.
7850_281318_000024_000000	Mother Magpie hopped up and down on one leg, so angry she could hardly croak.	Mother Magpie hopped up and down on one leg, so angry she could hardly croak.
7850_281318_000025_000001	You are spoiling your nest.	You are spoiling your nest.
7850_281318_000027_000000	"We all know that--anything more?" chirped the chorus of birds, trying to conceal how anxious they were to know what came next, for the nests were only half finished.	"We all know that-anything more?" chirped the chorus of birds, trying to conceal how anxious they were to know what came next, for the nests were only half finished.
7850_281318_000028_000000	But Mother Magpie was thoroughly disgusted, and refused to go on with the lesson which had been so rudely interrupted by her pupils.	But Mother Magpie was thoroughly disgusted, and refused to go on with the lesson which had been so rudely interrupted by her pupils.
7850_281318_000029_000001	You say you know all about it,--then go on and finish your nests by yourselves.	You say you know all about it,--then go on and finish your nests by yourselves.
7850_281318_000029_000002	Much luck may you have!" And away she flew to her own cosy nest in the elm tree, where she was soon fast asleep, forgetting all about the matter.	Much luck may you have!" And away she flew to her own cosy nest in the elm tree, where she was soon fast asleep, forgetting all about the matter.
7850_281318_000030_000000	But oh!	But oh!
7850_281318_000030_000001	What a pickle the other birds were in!	What a pickle the other birds were in!
7850_281318_000030_000002	The lesson was but half finished, and most of them had not the slightest idea what to do next. That is why to this day many of the birds have never learned to build a perfect nest.	The lesson was but half finished, and most of them had not the slightest idea what to do next. That is why to this day many of the birds have never learned to build a perfect nest.
7850_281318_000030_000003	Some do better than others, but none build like Mother Magpie.	Some do better than others, but none build like Mother Magpie.
7850_281318_000031_000000	But the Wood-Pigeon was in the worst case of them all.	But the Wood Pigeon was in the worst case of them all.
7850_281318_000032_000000	And the queerest part of all is that the birds blamed the Magpie for the whole matter, and have never liked her since.	And the queerest part of all is that the birds blamed the Magpie for the whole matter, and have never liked her since.
