7976_110124_000016_000000	"It's surely a terrible storm outside," said the merchant's eldest daughter, as the wind rattled the tiles of the roof and the rain beat in torrents against the doors and windows.	"It's surely a terrible storm outside," said the merchant's eldest daughter, as the wind rattled the tiles of the roof and the rain beat in torrents against the doors and windows.
7976_110124_000017_000000	The second daughter peeped out of the window at the beggar.	The second daughter peeped out of the window at the beggar.
7976_110124_000018_000000	"He is old as well as poor," she said.	"He is old as well as poor," she said.
7976_110124_000018_000001	"Our father has always taught us to show mercy and kindness to the aged."	"Our father has always taught us to show mercy and kindness to the aged."
7976_110124_000019_000000	"Remember our promise to our father!" cried the youngest one.	"Remember our promise to our father!" cried the youngest one.
7976_110124_000019_000002	We can give this poor beggar some alms and send him away with a blessing."	We can give this poor beggar some alms and send him away with a blessing."
7976_110124_000020_000000	The eldest daughter frowned.	The eldest daughter frowned.
7976_110124_000020_000001	"It is not for the youngest and most childish one of us to make the plans," she said.	"It is not for the youngest and most childish one of us to make the plans," she said.
7976_110124_000021_000000	The second daughter added.	The second daughter added.
7976_110124_000021_000001	"We two are older and wiser than you are. It is for us to determine what shall be done.	"We two are older and wiser than you are. It is for us to determine what shall be done.
7976_110124_000021_000002	If we decide to show mercy to this poor beggar it is not for you to oppose it."	If we decide to show mercy to this poor beggar it is not for you to oppose it."
7976_110124_000023_000000	However, in spite of all she could say, the elder sisters opened the door and admitted the beggar.	However, in spite of all she could say, the elder sisters opened the door and admitted the beggar.
7976_110124_000023_000001	They led him into the kitchen to dry his clothes.	They led him into the kitchen to dry his clothes.
7976_110124_000023_000003	They gave him his supper in the kitchen and then they ate their own.	They gave him his supper in the kitchen and then they ate their own.
7976_110124_000024_000000	"It is a fearful night to send away a beggar," said the eldest sister while they were eating.	"It is a fearful night to send away a beggar," said the eldest sister while they were eating.
7976_110124_000026_000000	"I am thinking that our dear father would be anxious if he knew that we had broken our promise so easily," said the youngest sister.	"I am thinking that our dear father would be anxious if he knew that we had broken our promise so easily," said the youngest sister.
7976_110124_000027_000000	"For shame!" cried the eldest.	"For shame!" cried the eldest.
7976_110124_000030_000000	While they were talking, the beggar had taken the apples which the girls were to eat for dessert and had sprinkled a sleeping powder over them.	While they were talking, the beggar had taken the apples which the girls were to eat for dessert and had sprinkled a sleeping powder over them.
7976_110124_000030_000001	The two eldest ate their apples, but the youngest could not eat that night.	The two eldest ate their apples, but the youngest could not eat that night.
7976_110124_000030_000002	She threw the apple away.	She threw the apple away.
7976_110124_000031_000000	As soon as they had eaten, the girls went to their room, and the two eldest were overcome with sleep almost before they had time to get into bed.	As soon as they had eaten, the girls went to their room, and the two eldest were overcome with sleep almost before they had time to get into bed.
7976_110124_000031_000001	The youngest one was so frightened that she could not sleep a single wink.	The youngest one was so frightened that she could not sleep a single wink.
7976_110124_000032_000000	Soon she heard footsteps.	Soon she heard footsteps.
7976_110124_000032_000001	The beggar entered the room.	The beggar entered the room.
7976_110124_000032_000002	The youngest one pretended that she, too, was asleep.	The youngest one pretended that she, too, was asleep.
7976_110124_000032_000003	The man went to the bed of the eldest sister and stuck a pin into her foot to see if she were completely unconscious.	The man went to the bed of the eldest sister and stuck a pin into her foot to see if she were completely unconscious.
7976_110124_000032_000004	She did not stir and he knew that the sleeping powder had thoroughly done its work.	She did not stir and he knew that the sleeping powder had thoroughly done its work.
7976_110124_000032_000005	Then he went to the bed of the second sister and did the same.	Then he went to the bed of the second sister and did the same.
7976_110124_000032_000006	She was as completely unconscious as her sister.	She was as completely unconscious as her sister.
7976_110124_000032_000007	It hurt terribly when he stuck the pin into the foot of the youngest, but she did not stir.	It hurt terribly when he stuck the pin into the foot of the youngest, but she did not stir.
7976_110124_000032_000008	The robber thought that she was as completely overcome by the sleeping powder as the others.	The robber thought that she was as completely overcome by the sleeping powder as the others.
7976_110124_000033_000000	The youngest sister peeped through her long heavy eyelashes and watched the beggar.	The youngest sister peeped through her long heavy eyelashes and watched the beggar.
7976_110124_000033_000001	She saw to her surprise that he had laid aside the heavy ragged old coat which he had kept wrapped about him even while he ate. Underneath he was dressed like a robber with a sword, pistols and dagger.	She saw to her surprise that he had laid aside the heavy ragged old coat which he had kept wrapped about him even while he ate. Underneath he was dressed like a robber with a sword, pistols and dagger.
7976_110124_000033_000002	She was so terribly frightened that it was all she could do to keep her teeth from chattering.	She was so terribly frightened that it was all she could do to keep her teeth from chattering.
7976_110124_000034_000001	Then she heard him go down the stairway and unbolt the heavy doors which led into the store.	Then she heard him go down the stairway and unbolt the heavy doors which led into the store.
7976_110124_000036_000002	The little girl flew down the stairs and closed the doors of the store securely.	The little girl flew down the stairs and closed the doors of the store securely.
7976_110124_000036_000003	They were big and heavy, but her great fear gave her strength.	They were big and heavy, but her great fear gave her strength.
7976_110124_000038_000000	"He'll find it difficult to get into our house again," she said to herself as she waited to see if the robber returned.	"He'll find it difficult to get into our house again," she said to herself as she waited to see if the robber returned.
7976_110124_000039_000000	Soon she heard footsteps outside.	Soon she heard footsteps outside.
7976_110124_000039_000001	She knew that the thief had brought back others with him.	She knew that the thief had brought back others with him.
7976_110124_000041_000000	"It was the youngest one who deceived me!" cried the robber chieftain. "I knew all the time that she did not want to let me in.	"It was the youngest one who deceived me!" cried the robber chieftain. "I knew all the time that she did not want to let me in.
7976_110124_000041_000001	I was suspicious of her from the first."	I was suspicious of her from the first."
7976_110124_000042_000001	"She may not be so wise as she appears.	"She may not be so wise as she appears.
7976_110124_000043_000000	The leader of the band of thieves went up close to the keyhole and whispered: "Kind lady of the house, have pity on me."	The leader of the band of thieves went up close to the keyhole and whispered: "Kind lady of the house, have pity on me."
7976_110124_000044_000000	The merchant's daughter at first did not answer; but, as he kept on calling to her, she finally asked him what it was that he wanted.	The merchant's daughter at first did not answer; but, as he kept on calling to her, she finally asked him what it was that he wanted.
7976_110124_000045_000000	"I have left my charm behind!" he cried.	"I have left my charm behind!" he cried.
7976_110124_000045_000001	"Pray let me enter to get it. I promise you I will do you no harm."	"Pray let me enter to get it. I promise you I will do you no harm."
7976_110124_000046_000000	"I do not trust your promises," replied the little maid.	"I do not trust your promises," replied the little maid.
7976_110124_000046_000001	"You shall not come into my father's house."	"You shall not come into my father's house."
7976_110124_000047_000000	"Pass the charm out to me, then," said the robber.	"Pass the charm out to me, then," said the robber.
7976_110124_000048_000000	"It's in the fire," replied the girl.	"It's in the fire," replied the girl.
7976_110124_000049_000000	"Go throw vinegar on the fire and put it out," said the captain of the thieves.	"Go throw vinegar on the fire and put it out," said the captain of the thieves.
7976_110124_000049_000001	"Then you can pull my charm out in safety."	"Then you can pull my charm out in safety."
7976_110124_000050_000000	Now it happened that there was a little hole in the door just large enough for a man's hand to enter.	Now it happened that there was a little hole in the door just large enough for a man's hand to enter.
7976_110124_000051_000000	"Put your hand through the hole in the door," replied the little maid. "Then I'll give you your charm."	"Put your hand through the hole in the door," replied the little maid. "Then I'll give you your charm."
7976_110124_000052_000000	She quickly ran upstairs and got the robber's sword which he had left on a chair in the dining room.	She quickly ran upstairs and got the robber's sword which he had left on a chair in the dining room.
7976_110124_000052_000002	She struck it with all her might with the great sword and cut it off.	She struck it with all her might with the great sword and cut it off.
7976_110124_000053_000000	The cries and curses of the robbers filled the air.	The cries and curses of the robbers filled the air.
7976_110124_000053_000001	They tried in vain to break down the great doors.	They tried in vain to break down the great doors.
7976_110124_000053_000002	The doors were strong and held securely.	The doors were strong and held securely.
7976_110124_000053_000003	At last it was daylight and the band of thieves had to flee.	At last it was daylight and the band of thieves had to flee.
7976_110124_000054_000000	In the morning the effect of the sleeping powder wore off and the two elder sisters awoke.	In the morning the effect of the sleeping powder wore off and the two elder sisters awoke.
7976_110124_000054_000001	When they heard their sister's story they were filled with amazement.	When they heard their sister's story they were filled with amazement.
7976_110124_000055_000000	"I don't believe a word of it!" cried the oldest.	"I don't believe a word of it!" cried the oldest.
7976_110124_000055_000001	"You are making it up."	"You are making it up."
7976_110124_000056_000001	"I had such a nightmare myself that I have a headache this morning."	"I had such a nightmare myself that I have a headache this morning."
7976_110124_000057_000000	It was not until their little sister had shown them the robber's hand and the great sword that they were convinced that she had told them the truth.	It was not until their little sister had shown them the robber's hand and the great sword that they were convinced that she had told them the truth.
7976_110124_000059_000000	"Oh, why didn't we keep our promise to our father!" cried the middle one.	"Oh, why didn't we keep our promise to our father!" cried the middle one.
7976_110124_000060_000000	When at last the merchant returned from the distant city where he had been to collect money he was delighted to find his house and his three daughters safe.	When at last the merchant returned from the distant city where he had been to collect money he was delighted to find his house and his three daughters safe.
7976_110124_000061_000000	"I see that no harm befell you in my absence," he said as he embraced them fondly.	"I see that no harm befell you in my absence," he said as he embraced them fondly.
7976_110124_000061_000001	"All my worries about you were foolish."	"All my worries about you were foolish."
7976_110124_000062_000000	The eldest daughter blushed and hung her head.	The eldest daughter blushed and hung her head.
7976_110124_000062_000001	"Great danger threatened us while you were away," she said.	"Great danger threatened us while you were away," she said.
7976_110124_000062_000002	"Thanks to our youngest sister, we are safe."	"Thanks to our youngest sister, we are safe."
7976_110124_000063_000000	"Our little sister was wiser than we were," said the middle daughter.	"Our little sister was wiser than we were," said the middle daughter.
7976_110124_000064_000000	When the merchant had heard the whole story, he said: "After this we must all give ear to the wisdom of this little maid.	When the merchant had heard the whole story, he said: "After this we must all give ear to the wisdom of this little maid.
