1272_141231_000002_000000	For my Mother and Father--	For my Mother and Father-
1272_141231_000015_000001	The other voice snapped with a harsh urgency, clearly used to command.	The other voice snapped with a harsh urgency, clearly used to command.
1272_141231_000015_000003	Now stand aside!"	Now stand aside!"
1272_141231_000018_000001	He must have drawn his gun, because the intruder said quickly, "Put that away.	He must have drawn his gun, because the intruder said quickly, "Put that away.
1272_141231_000018_000002	You're being a fool!"	You're being a fool!"
1272_141231_000019_000000	"Out!" was the single snarled word of the response.	"Out!" was the single snarled word of the response.
1272_141231_000019_000001	There was silence then and, still wondering, Brion was once more asleep.	There was silence then and, still wondering, Brion was once more asleep.
1272_141231_000020_000000	"Ten seconds."	"Ten seconds."
1272_141231_000021_000001	He was unhappily conscious of his total exhaustion.	He was unhappily conscious of his total exhaustion.
1272_141231_000021_000002	The month of continuous mental and physical combat had taken its toll.	The month of continuous mental and physical combat had taken its toll.
1272_141231_000021_000003	It would be hard to stay on his feet, much less summon the strength and skill to fight and win a touch.	It would be hard to stay on his feet, much less summon the strength and skill to fight and win a touch.
1272_141231_000022_000000	"How do we stand?" he asked the handler who was kneading his aching muscles.	"How do we stand?" he asked the handler who was kneading his aching muscles.
1272_141231_000023_000000	"Four-four.	"Four four.
1272_141231_000023_000001	All you need is a touch to win!"	All you need is a touch to win!"
1272_141231_000024_000000	"That's all he needs too," Brion grunted, opening his eyes to look at the wiry length of the man at the other end of the long mat.	"That's all he needs too," Brion grunted, opening his eyes to look at the wiry length of the man at the other end of the long mat.
1272_141231_000024_000002	A red-haired mountain of a man, with an apparently inexhaustible store of energy.	A red haired mountain of a man, with an apparently inexhaustible store of energy.
1272_141231_000024_000003	That was really all that counted now.	That was really all that counted now.
1272_141231_000024_000005	Just thrust and parry, and victory to the stronger.	Just thrust and parry, and victory to the stronger.
1272_141231_000026_000000	Every man who entered the Twenties had his own training tricks. Brion had a few individual ones that had helped him so far.	Every man who entered the Twenties had his own training tricks. Brion had a few individual ones that had helped him so far.
1272_141231_000026_000003	He had a standing order with off-planet agents for archaic chess books, the older the better.	He had a standing order with off planet agents for archaic chess books, the older the better.
1272_141231_000026_000005	This was allowed.	This was allowed.
1272_141231_000026_000007	Self-hypnosis was an accepted tool.	Self hypnosis was an accepted tool.
1272_141231_000027_000001	Common as the phenomenon seemed to be in the textbooks, it proved impossible to duplicate.	Common as the phenomenon seemed to be in the textbooks, it proved impossible to duplicate.
1272_141231_000027_000003	Berserkers and juramentados continue to fight and kill though carved by scores of mortal wounds.	Berserkers and juramentados continue to fight and kill though carved by scores of mortal wounds.
1272_141231_000027_000005	Death seemed an inescapable part of this kind of strength. But there was another type that could easily be brought about in any deep trance--hypnotic rigidity.	Death seemed an inescapable part of this kind of strength. But there was another type that could easily be brought about in any deep trance-hypnotic rigidity.
1272_141231_000027_000007	This is physically impossible when conscious.	This is physically impossible when conscious.
1272_141231_000027_000008	Working with this as a clue, Brion had developed a self-hypnotic technique that allowed him to tap this reservoir of unknown strength--the source of "second wind," the survival strength that made the difference between life and death.	Working with this as a clue, Brion had developed a self hypnotic technique that allowed him to tap this reservoir of unknown strength-the source of "second wind," the survival strength that made the difference between life and death.
1272_141231_000028_000002	Others had died before during the Twenties, and death during the last round was in some ways easier than defeat.	Others had died before during the Twenties, and death during the last round was in some ways easier than defeat.
1272_141231_000029_000002	He could feel with acute sensitivity, hear, and see clearly when he opened his eyes.	He could feel with acute sensitivity, hear, and see clearly when he opened his eyes.
1272_141231_000030_000000	With each passing second the power drew at the basic reserves of life, draining it from his body.	With each passing second the power drew at the basic reserves of life, draining it from his body.
1272_141231_000031_000000	When the buzzer sounded he pulled his foil from his second's startled grasp, and ran forward.	When the buzzer sounded he pulled his foil from his second's startled grasp, and ran forward.
1272_141231_000031_000002	The force of his rush was so great that the guards on their weapons locked, and their bodies crashed together.	The force of his rush was so great that the guards on their weapons locked, and their bodies crashed together.
1272_141231_000032_000001	He didn't attempt to attack, just let Brion wear himself out against the firm shield of his defense.	He didn't attempt to attack, just let Brion wear himself out against the firm shield of his defense.
1272_141231_000033_000000	Brion saw something close to panic on his opponent's face when the man finally recognized his error.	Brion saw something close to panic on his opponent's face when the man finally recognized his error.
1272_141231_000033_000001	Brion wasn't tiring.	Brion wasn't tiring.
1272_141231_000033_000002	If anything, he was pressing the attack.	If anything, he was pressing the attack.
1272_141231_000034_000000	Thrust--thrust--and each time the parrying sword a little slower to return.	Thrust-thrust-and each time the parrying sword a little slower to return.
1272_141231_000034_000001	Then the powerful twist that thrust it aside.	Then the powerful twist that thrust it aside.
1272_141231_000034_000002	In and under the guard.	In and under the guard.
1272_141231_000034_000003	The slap of the button on flesh and the arc of steel that reached out and ended on Irolg's chest over his heart.	The slap of the button on flesh and the arc of steel that reached out and ended on Irolg's chest over his heart.
1272_141231_000036_000000	Except that something was wrong and it was like walking through warm glue.	Except that something was wrong and it was like walking through warm glue.
1272_141231_000036_000001	Walking on his knees.	Walking on his knees.
1272_141231_000036_000002	No, not walking, falling.	No, not walking, falling.
1272_141231_000036_000003	At last.	At last.
