2035_147960_000000_000000	VII	seven	false	3.9	28.26	20.435822
2035_147960_000004_000001	The grass had been nibbled short and even, so this stretch was not shaggy and red like the surrounding country, but gray and velvety.	The grass had been nibbled short and even, so this stretch was not shaggy and red like the surrounding country, but gray and velvety.	true	124.43	132.61	19.657305
2035_147960_000004_000002	The holes were several yards apart, and were disposed with a good deal of regularity, almost as if the town had been laid out in streets and avenues.	The holes were several yards apart, and were disposed with a good deal of regularity, almost as if the town had been laid out in streets and avenues.	true	133.04	141.52	21.292038
2035_147960_000004_000003	One always felt that an orderly and very sociable kind of life was going on there.	One always felt that an orderly and very sociable kind of life was going on there.	true	142.58	147.31	19
2035_147960_000004_000004	I picketed Dude down in a draw, and we went wandering about, looking for a hole that would be easy to dig.	I picketed Dude down in a draw, and we went wandering about, looking for a hole that would be easy to dig.	true	148.4	154.57	19.72309
2035_147960_000004_000005	The dogs were out, as usual, dozens of them, sitting up on their hind legs over the doors of their houses.	The dogs were out, as usual, dozens of them, sitting up on their hind legs over the doors of their houses.	true	155.27	161.29	21
2035_147960_000004_000006	As we approached, they barked, shook their tails at us, and scurried underground.	As we approached, they barked, shook their tails at us, and scurried underground.	true	161.93	166.42	22.237463
2035_147960_000004_000007	Before the mouths of the holes were little patches of sand and gravel, scratched up, we supposed, from a long way below the surface.	Before the mouths of the holes were little patches of sand and gravel, scratched up, we supposed, from a long way below the surface.	true	167.39	174.58	20
2035_147960_000004_000008	Here and there, in the town, we came on larger gravel patches, several yards away from any hole. If the dogs had scratched the sand up in excavating, how had they carried it so far?	Here and there, in the town, we came on larger gravel patches, several yards away from any hole. If the dogs had scratched the sand up in excavating, how had they carried it so far?	true	175.13	186.52	19.4778
2035_147960_000004_000009	It was on one of these gravel beds that I met my adventure.	It was on one of these gravel beds that I met my adventure.	true	187.34	190.87	20.23512
2035_147960_000005_000000	We were examining a big hole with two entrances.	We were examining a big hole with two entrances.	true	192.29	195.28	19
2035_147960_000005_000001	The burrow sloped into the ground at a gentle angle, so that we could see where the two corridors united, and the floor was dusty from use, like a little highway over which much travel went.	The burrow sloped into the ground at a gentle angle, so that we could see where the two corridors united, and the floor was dusty from use, like a little highway over which much travel went.	true	195.74	206.5	19.589859
2035_147960_000005_000002	I was walking backward, in a crouching position, when I heard Antonia scream.	I was walking backward, in a crouching position, when I heard Antonia scream.	true	207.53	211.87	21.524284
2035_147960_000005_000003	She was standing opposite me, pointing behind me and shouting something in Bohemian.	She was standing opposite me, pointing behind me and shouting something in Bohemian.	true	212.15	216.55	17
2035_147960_000005_000004	I whirled round, and there, on one of those dry gravel beds, was the biggest snake I had ever seen.	I whirled round, and there, on one of those dry gravel beds, was the biggest snake I had ever seen.	true	216.77	222.94	19.91082
2035_147960_000005_000005	He was sunning himself, after the cold night, and he must have been asleep when Antonia screamed.	He was sunning himself, after the cold night, and he must have been asleep when Antonia screamed.	true	223.7	229.03	19.502789
2035_147960_000005_000006	When I turned he was lying in long loose waves, like a letter "W." He twitched and began to coil slowly.	When I turned he was lying in long loose waves, like a letter "W." He twitched and began to coil slowly.	true	229.58	237.01	20.427
2035_147960_000005_000007	He was not merely a big snake, I thought--he was a circus monstrosity.	He was not merely a big snake, I thought-he was a circus monstrosity.	true	237.59	242.11	17.655766
2035_147960_000005_000008	His abominable muscularity, his loathsome, fluid motion, somehow made me sick.	His abominable muscularity, his loathsome, fluid motion, somehow made me sick.	true	242.6	247.93	18.79933
2035_147960_000005_000009	He was as thick as my leg, and looked as if millstones could n't crush the disgusting vitality out of him.	He was as thick as my leg, and looked as if millstones could n't crush the disgusting vitality out of him.	true	248.48	254.17	21
2035_147960_000005_000010	He lifted his hideous little head, and rattled.	He lifted his hideous little head, and rattled.	false	254.75	258.51	18.52424
2035_147960_000005_000011	I did n't run because I did n't think of it--if my back had been against a stone wall I could n't have felt more cornered.	I did n't run because I did n't think of it-if my back had been against a stone wall I could n't have felt more cornered.	true	258.51	264.97	22.100536
2035_147960_000005_000012	I saw his coils tighten--now he would spring, spring his length, I remembered.	I saw his coils tighten-now he would spring, spring his length, I remembered.	true	265.7	270.76	21.64942
2035_147960_000005_000013	I ran up and drove at his head with my spade, struck him fairly across the neck, and in a minute he was all about my feet in wavy loops.	I ran up and drove at his head with my spade, struck him fairly across the neck, and in a minute he was all about my feet in wavy loops.	true	271.4	279.82	23.222313
2035_147960_000005_000014	I struck now from hate.	I struck now from hate.	true	280.19	281.89	21.913809
2035_147960_000005_000015	Antonia, barefooted as she was, ran up behind me.	Antonia, barefooted as she was, ran up behind me.	true	282.59	286.18	23.264183
2035_147960_000005_000016	Even after I had pounded his ugly head flat, his body kept on coiling and winding, doubling and falling back on itself.	Even after I had pounded his ugly head flat, his body kept on coiling and winding, doubling and falling back on itself.	true	286.55	293.71	22.031908
2035_147960_000005_000017	I walked away and turned my back.	I walked away and turned my back.	true	293.78	296.02	24.726162
2035_147960_000005_000018	I felt seasick.	I felt seasick.	true	296.24	297.79	23.594933
2035_147960_000005_000019	Antonia came after me, crying, "O Jimmy, he not bite you?	Antonia came after me, crying, "O Jimmy, he not bite you?	true	298.43	302.7	21.047026
2035_147960_000005_000020	You sure?	You sure?	true	302.7	303.54	17
2035_147960_000005_000021	Why you not run when I say?"	Why you not run when I say?"	false	303.54	305.14	18
2035_147960_000006_000000	"What did you jabber Bohunk for?	"What did you jabber Bohunk for?	false	305.93	307.695	22.028086
2035_147960_000006_000001	You might have told me there was a snake behind me!" I said petulantly.	You might have told me there was a snake behind me!" I said petulantly.	true	307.695	311.38	22.929094
2035_147960_000007_000000	"I know I am just awful, Jim, I was so scared." She took my handkerchief from my pocket and tried to wipe my face with it, but I snatched it away from her.	"I know I am just awful, Jim, I was so scared." She took my handkerchief from my pocket and tried to wipe my face with it, but I snatched it away from her.	false	312.35	321.16	20.64711
2035_147960_000007_000001	I suppose I looked as sick as I felt.	I suppose I looked as sick as I felt.	true	321.5	324.1	22.872679
2035_147960_000008_000000	"I never know you was so brave, Jim," she went on comfortingly.	"I never know you was so brave, Jim," she went on comfortingly.	true	324.98	328.86	16
2035_147960_000008_000001	"You is just like big mans; you wait for him lift his head and then you go for him.	"You is just like big mans; you wait for him lift his head and then you go for him.	false	328.86	333.87	21.28441
2035_147960_000008_000002	Ain't you feel scared a bit?	Ain't you feel scared a bit?	false	333.87	335.56	22.891682
2035_147960_000008_000003	Now we take that snake home and show everybody.	Now we take that snake home and show everybody.	true	335.99	338.86	22.974644
2035_147960_000008_000004	Nobody ain't seen in this kawn-tree so big snake like you kill."	Nobody ain't seen in this kawn tree so big snake like you kill."	false	338.96	342.61	19.849722
2035_147960_000009_000000	She went on in this strain until I began to think that I had longed for this opportunity, and had hailed it with joy.	She went on in this strain until I began to think that I had longed for this opportunity, and had hailed it with joy.	true	343.61	349.99	20.895525
2035_147960_000009_000001	Cautiously we went back to the snake; he was still groping with his tail, turning up his ugly belly in the light.	Cautiously we went back to the snake; he was still groping with his tail, turning up his ugly belly in the light.	true	350.66	357.52	21.530943
2035_147960_000009_000002	A faint, fetid smell came from him, and a thread of green liquid oozed from his crushed head.	A faint, fetid smell came from him, and a thread of green liquid oozed from his crushed head.	true	357.92	363.58	22.451546
2035_147960_000010_000000	"Look, Tony, that's his poison," I said.	"Look, Tony, that's his poison," I said.	true	364.52	367.36	23.622032
2035_147960_000011_000000	I took a long piece of string from my pocket, and she lifted his head with the spade while I tied a noose around it.	I took a long piece of string from my pocket, and she lifted his head with the spade while I tied a noose around it.	true	368.15	373.9	16
2035_147960_000011_000001	We pulled him out straight and measured him by my riding-quirt; he was about five and a half feet long. He had twelve rattles, but they were broken off before they began to taper, so I insisted that he must once have had twenty-four.	We pulled him out straight and measured him by my riding quirt; he was about five and a half feet long. He had twelve rattles, but they were broken off before they began to taper, so I insisted that he must once have had twenty four.	false	374.27	387.43	21.11827
2035_147960_000011_000002	I explained to Antonia how this meant that he was twenty-four years old, that he must have been there when white men first came, left on from buffalo and Indian times.	I explained to Antonia how this meant that he was twenty four years old, that he must have been there when white men first came, left on from buffalo and Indian times.	true	387.98	396.97	20.51688
2035_147960_000011_000003	As I turned him over I began to feel proud of him, to have a kind of respect for his age and size.	As I turned him over I began to feel proud of him, to have a kind of respect for his age and size.	true	397.76	403.66	20.457298
2035_147960_000011_000004	He seemed like the ancient, eldest Evil. Certainly his kind have left horrible unconscious memories in all warm-blooded life.	He seemed like the ancient, eldest Evil. Certainly his kind have left horrible unconscious memories in all warm blooded life.	true	404.18	413.47	21.97173
2035_147960_000011_000005	When we dragged him down into the draw, Dude sprang off to the end of his tether and shivered all over--would n't let us come near him.	When we dragged him down into the draw, Dude sprang off to the end of his tether and shivered all over-would n't let us come near him.	true	413.99	421.99	21.87653
2035_147960_000012_000000	We decided that Antonia should ride Dude home, and I would walk.	We decided that Antonia should ride Dude home, and I would walk.	true	423.05	426.85	21.817043
2035_147960_000012_000001	As she rode along slowly, her bare legs swinging against the pony's sides, she kept shouting back to me about how astonished everybody would be.	As she rode along slowly, her bare legs swinging against the pony's sides, she kept shouting back to me about how astonished everybody would be.	false	427.4	435.61	20.737286
2035_147960_000012_000002	I followed with the spade over my shoulder, dragging my snake.	I followed with the spade over my shoulder, dragging my snake.	true	436.28	440.05	21.40476
2035_147960_000012_000003	Her exultation was contagious.	Her exultation was contagious.	true	440.48	442.69	23.64452
2035_147960_000012_000004	The great land had never looked to me so big and free.	The great land had never looked to me so big and free.	false	443.18	446.32	21.009703
2035_147960_000012_000005	If the red grass were full of rattlers, I was equal to them all. Nevertheless, I stole furtive glances behind me now and then to see that no avenging mate, older and bigger than my quarry, was racing up from the rear.	If the red grass were full of rattlers, I was equal to them all. Nevertheless, I stole furtive glances behind me now and then to see that no avenging mate, older and bigger than my quarry, was racing up from the rear.	true	446.6	460.39	20.463448
2035_147960_000013_000000	The sun had set when we reached our garden and went down the draw toward the house.	The sun had set when we reached our garden and went down the draw toward the house.	true	461.78	466.15	18
2035_147960_000013_000001	Otto Fuchs was the first one we met.	Otto Fuchs was the first one we met.	true	466.79	469	23.846533
2035_147960_000013_000002	He was sitting on the edge of the cattle-pond, having a quiet pipe before supper.	He was sitting on the edge of the cattle pond, having a quiet pipe before supper.	false	469.49	474.13	21
2035_147960_000013_000003	Antonia called him to come quick and look.	Antonia called him to come quick and look.	true	475.25	478.33	25.377735
2035_147960_000013_000004	He did not say anything for a minute, but scratched his head and turned the snake over with his boot.	He did not say anything for a minute, but scratched his head and turned the snake over with his boot.	true	478.85	484.36	21.188957
2035_147960_000014_000000	"Where did you run onto that beauty, Jim?"	"Where did you run onto that beauty, Jim?"	false	485.75	488.26	23.494902
2035_147960_000015_000000	"Up at the dog-town," I answered laconically.	"Up at the dog town," I answered laconically.	true	489.2	491.68	21.102577
2035_147960_000016_000000	"Kill him yourself?	"Kill him yourself?	true	492.41	493.62	19.583733
2035_147960_000016_000001	How come you to have a weepon?"	How come you to have a weepon?"	false	493.62	496.77	18.921246
2035_147960_000017_000000	"We'd been up to Russian Peter's, to borrow a spade for Ambrosch."	"We'd been up to Russian Peter's, to borrow a spade for Ambrosch."	true	496.77	500.11	22
2035_147960_000018_000000	Otto shook the ashes out of his pipe and squatted down to count the rattles.	Otto shook the ashes out of his pipe and squatted down to count the rattles.	false	500.99	504.88	19.825365
2035_147960_000018_000001	"It was just luck you had a tool," he said cautiously.	"It was just luck you had a tool," he said cautiously.	true	505.55	508.575	21
2035_147960_000018_000002	"Gosh!	"Gosh!	true	508.575	509.175	21.334852
2035_147960_000018_000003	I would n't want to do any business with that fellow myself, unless I had a fence-post along.	I would n't want to do any business with that fellow myself, unless I had a fence post along.	true	509.175	513.79	18
2035_147960_000018_000004	Your grandmother's snake-cane would n't more than tickle him.	Your grandmother's snake cane would n't more than tickle him.	true	513.89	516.48	18.900244
2035_147960_000018_000005	He could stand right up and talk to you, he could.	He could stand right up and talk to you, he could.	false	516.48	519.945	24.64263
2035_147960_000018_000006	Did he fight hard?"	Did he fight hard?"	true	519.945	521.05	22.444376
2035_147960_000019_000000	Antonia broke in: "He fight something awful!	Antonia broke in: "He fight something awful!	true	521.63	524.52	21.521032
2035_147960_000019_000001	He is all over Jimmy's boots. I scream for him to run, but he just hit and hit that snake like he was crazy."	He is all over Jimmy's boots. I scream for him to run, but he just hit and hit that snake like he was crazy."	true	524.52	530.2	20
2035_147960_000020_000000	Otto winked at me.	Otto winked at me.	true	531.56	532.69	23.020525
2035_147960_000020_000001	After Antonia rode on he said: "Got him in the head first crack, did n't you?	After Antonia rode on he said: "Got him in the head first crack, did n't you?	true	532.79	536.94	19.800945
2035_147960_000020_000002	That was just as well."	That was just as well."	false	536.94	538.51	23.84284
2035_147960_000021_000000	We hung him up to the windmill, and when I went down to the kitchen I found Antonia standing in the middle of the floor, telling the story with a great deal of color.	We hung him up to the windmill, and when I went down to the kitchen I found Antonia standing in the middle of the floor, telling the story with a great deal of color.	false	540.17	549.79	21
2035_147960_000022_000000	Subsequent experiences with rattlesnakes taught me that my first encounter was fortunate in circumstance.	Subsequent experiences with rattlesnakes taught me that my first encounter was fortunate in circumstance.	true	550.97	557.11	20
2035_147960_000022_000001	My big rattler was old, and had led too easy a life; there was not much fight in him.	My big rattler was old, and had led too easy a life; there was not much fight in him.	true	557.6	563.11	19.887655
2035_147960_000022_000002	He had probably lived there for years, with a fat prairie dog for breakfast whenever he felt like it, a sheltered home, even an owl-feather bed, perhaps, and he had forgot that the world does n't owe rattlers a living.	He had probably lived there for years, with a fat prairie dog for breakfast whenever he felt like it, a sheltered home, even an owl feather bed, perhaps, and he had forgot that the world does n't owe rattlers a living.	false	563.36	575.73	21.366484
2035_147960_000022_000003	A snake of his size, in fighting trim, would be more than any boy could handle.	A snake of his size, in fighting trim, would be more than any boy could handle.	false	575.73	581.05	20.398224
2035_147960_000022_000004	So in reality it was a mock adventure; the game was fixed for me by chance, as it probably was for many a dragon-slayer.	So in reality it was a mock adventure; the game was fixed for me by chance, as it probably was for many a dragon slayer.	true	581.54	588.97	19.470278
2035_147960_000022_000005	I had been adequately armed by Russian Peter; the snake was old and lazy; and I had Antonia beside me, to appreciate and admire.	I had been adequately armed by Russian peter; the snake was old and lazy; and I had Antonia beside me, to appreciate and admire.	true	589.64	597.88	23.057398
2035_147960_000023_000000	That snake hung on our corral fence for several days; some of the neighbors came to see it and agreed that it was the biggest rattler ever killed in those parts.	That snake hung on our corral fence for several days; some of the neighbors came to see it and agreed that it was the biggest rattler ever killed in those parts.	true	598.88	607.63	22.697424
2035_147960_000023_000001	This was enough for Antonia.	This was enough for Antonia.	true	608.42	610.06	22.204704
2035_147960_000023_000002	She liked me better from that time on, and she never took a supercilious air with me again.	She liked me better from that time on, and she never took a supercilious air with me again.	true	610.46	615.7	20
2035_147960_000023_000003	I had killed a big snake--I was now a big fellow.	I had killed a big snake-I was now a big fellow.	true	616.46	620.31	21.489922
2035_147960_000024_000000	VIII	eight	false	620.31	620.34	-20
2035_147960_000025_000000	WHILE the autumn color was growing pale on the grass and cornfields, things went badly with our friends the Russians.	WHILE the autumn color was growing pale on the grass and cornfields, things went badly with our friends the Russians.	false	620.34	621.33	-20
2035_147960_000025_000001	Peter told his troubles to Mr. Shimerda: he was unable to meet a note which fell due on the first of November; had to pay an exorbitant bonus on renewing it, and to give a mortgage on his pigs and horses and even his milk cow.	peter told his troubles to mr Shimerda: he was unable to meet a note which fell due on the first of November; had to pay an exorbitant bonus on renewing it, and to give a mortgage on his pigs and horses and even his milk cow.	false	621.33	624.03	20.559153
2035_147960_000025_000002	His creditor was Wick Cutter, the merciless Black Hawk money-lender, a man of evil name throughout the county, of whom I shall have more to say later.	His creditor was Wick Cutter, the merciless Black Hawk money lender, a man of evil name throughout the county, of whom I shall have more to say later.	false	624.03	625.14	14.251358
2035_147960_000025_000003	Peter could give no very clear account of his transactions with Cutter.	peter could give no very clear account of his transactions with Cutter.	false	625.14	625.47	5
2035_147960_000025_000004	He only knew that he had first borrowed two hundred dollars, then another hundred, then fifty--that each time a bonus was added to the principal, and the debt grew faster than any crop he planted.	He only knew that he had first borrowed two hundred dollars, then another hundred, then fifty-that each time a bonus was added to the principal, and the debt grew faster than any crop he planted.	false	625.47	629.19	19.910559
2035_147960_000025_000005	Now everything was plastered with mortgages.	Now everything was plastered with mortgages.	false	629.19	631.05	-20
