84_121123_000007_000001	Maximilian.	Maximilian.
84_121123_000020_000002	"And I say that murders are committed here," said Morrel, whose voice, though lower in tone, lost none of its terrible distinctness: "I tell you that this is the fourth victim within the last four months.	"And I say that murders are committed here," said Morrel, whose voice, though lower in tone, lost none of its terrible distinctness: "I tell you that this is the fourth victim within the last four months.
84_121123_000020_000004	I tell you that the dose has been double, the poison changed, and that this time it has succeeded.	I tell you that the dose has been double, the poison changed, and that this time it has succeeded.
84_121123_000021_000000	"Oh, you rave, sir," exclaimed Villefort, in vain endeavoring to escape the net in which he was taken.	"Oh, you rave, sir," exclaimed Villefort, in vain endeavoring to escape the net in which he was taken.
84_121123_000022_000002	"Yes, yes," continued Morrel; "recall the scene, for the words you thought were only given to silence and solitude fell into my ears.	"Yes, yes," continued Morrel; "recall the scene, for the words you thought were only given to silence and solitude fell into my ears.
84_121123_000024_000002	Noirtier wishes to speak."	Noirtier wishes to speak."
84_121123_000027_000000	"Yes," replied Noirtier.	"Yes," replied Noirtier.
84_121123_000028_000000	"And will you direct us?" exclaimed the young man.	"And will you direct us?" exclaimed the young man.
84_121123_000029_000000	"Do you wish me to leave?" said Morrel, sadly.	"Do you wish me to leave?" said Morrel, sadly.
84_121123_000030_000000	"Yes," replied Noirtier.	"Yes," replied Noirtier.
84_121123_000031_000000	"Alas, alas, sir, have pity on me!"	"Alas, alas, sir, have pity on me!"
84_121123_000034_000000	"Yes."	"Yes."
84_121123_000036_000000	"No."	"no"
84_121123_000037_000001	The procureur?"	The procureur?"
84_121123_000038_000000	"No."	"no"
84_121123_000039_000000	"The doctor?"	"The doctor?"
84_121123_000042_000000	"Yes."	"Yes."
84_121123_000043_000000	"But can he understand you?"	"But can he understand you?"
84_121123_000044_000000	"Yes."	"Yes."
84_121123_000045_000000	"Oh," said Villefort, inexpressibly delighted to think that the inquiries were to be made by him alone,--"oh, be satisfied, I can understand my father." D'Avrigny took the young man's arm, and led him out of the room.	"Oh," said Villefort, inexpressibly delighted to think that the inquiries were to be made by him alone,--"oh, be satisfied, I can understand my father." D'Avrigny took the young man's arm, and led him out of the room.
84_121123_000045_000002	At the end of a quarter of an hour a faltering footstep was heard, and Villefort appeared at the door of the apartment where d'Avrigny and Morrel had been staying, one absorbed in meditation, the other in grief.	At the end of a quarter of an hour a faltering footstep was heard, and Villefort appeared at the door of the apartment where d'Avrigny and Morrel had been staying, one absorbed in meditation, the other in grief.
84_121123_000045_000003	"You can come," he said, and led them back to Noirtier. Morrel looked attentively on Villefort.	"You can come," he said, and led them back to Noirtier. Morrel looked attentively on Villefort.
84_121123_000046_000000	"Gentlemen," he said in a hoarse voice, "give me your word of honor that this horrible secret shall forever remain buried amongst ourselves!" The two men drew back.	"Gentlemen," he said in a hoarse voice, "give me your word of honor that this horrible secret shall forever remain buried amongst ourselves!" The two men drew back.
84_121123_000048_000000	"But," said Morrel, "the culprit--the murderer--the assassin."	"But," said Morrel, "the culprit-the murderer-the assassin."
84_121123_000049_000000	"Do not alarm yourself, sir; justice will be done," said Villefort.	"Do not alarm yourself, sir; justice will be done," said Villefort.
84_121123_000049_000001	"My father has revealed the culprit's name; my father thirsts for revenge as much as you do, yet even he conjures you as I do to keep this secret.	"My father has revealed the culprit's name; my father thirsts for revenge as much as you do, yet even he conjures you as I do to keep this secret.
84_121123_000049_000002	Do you not, father?"	Do you not, father?"
84_121123_000050_000001	Morrel suffered an exclamation of horror and surprise to escape him.	Morrel suffered an exclamation of horror and surprise to escape him.
84_121123_000050_000003	Is it not so, father?"	Is it not so, father?"
84_121123_000050_000005	Villefort continued: "He knows me, and I have pledged my word to him.	Villefort continued: "He knows me, and I have pledged my word to him.
84_121123_000052_000000	"Yes," replied Noirtier with an expression of sinister joy.	"Yes," replied Noirtier with an expression of sinister joy.
84_121123_000053_000001	We have before stated that all the servants had fled.	We have before stated that all the servants had fled.
84_121123_000054_000000	It was something terrible to witness the silent agony, the mute despair of Noirtier, whose tears silently rolled down his cheeks.	It was something terrible to witness the silent agony, the mute despair of Noirtier, whose tears silently rolled down his cheeks.
84_121123_000054_000003	But he stopped on the landing; he had not the courage to again visit the death chamber.	But he stopped on the landing; he had not the courage to again visit the death chamber.
84_121123_000054_000004	The two doctors, therefore, entered the room alone.	The two doctors, therefore, entered the room alone.
84_121123_000054_000005	Noirtier was near the bed, pale, motionless, and silent as the corpse.	Noirtier was near the bed, pale, motionless, and silent as the corpse.
84_121123_000054_000006	The district doctor approached with the indifference of a man accustomed to spend half his time amongst the dead; he then lifted the sheet which was placed over the face, and just unclosed the lips.	The district doctor approached with the indifference of a man accustomed to spend half his time amongst the dead; he then lifted the sheet which was placed over the face, and just unclosed the lips.
84_121123_000055_000000	"Alas," said d'Avrigny, "she is indeed dead, poor child!"	"Alas," said d'Avrigny, "she is indeed dead, poor child!"
84_121123_000056_000002	He therefore approached the bed, and while his companion was dipping the fingers with which he had touched the lips of the corpse in chloride of lime, he uncovered the calm and pale face, which looked like that of a sleeping angel.	He therefore approached the bed, and while his companion was dipping the fingers with which he had touched the lips of the corpse in chloride of lime, he uncovered the calm and pale face, which looked like that of a sleeping angel.
84_121123_000056_000004	The doctor of the dead then laid his permit on the corner of the table, and having fulfilled his duty, was conducted out by d'Avrigny.	The doctor of the dead then laid his permit on the corner of the table, and having fulfilled his duty, was conducted out by d'Avrigny.
84_121123_000056_000005	Villefort met them at the door of his study; having in a few words thanked the district doctor, he turned to d'Avrigny, and said,--"And now the priest."	Villefort met them at the door of his study; having in a few words thanked the district doctor, he turned to d'Avrigny, and said,--"And now the priest."
84_121123_000057_000000	"Is there any particular priest you wish to pray with Valentine?" asked d'Avrigny.	"Is there any particular priest you wish to pray with Valentine?" asked d'Avrigny.
84_121123_000058_000000	"No." said Villefort; "fetch the nearest."	"no" said Villefort; "fetch the nearest."
84_121123_000061_000000	"Do you wish to see him?"	"Do you wish to see him?"
84_121123_000062_000000	"I only wish to be alone.	"I only wish to be alone.
84_121123_000062_000001	You will excuse me, will you not?	You will excuse me, will you not?
84_121123_000062_000003	For some temperaments work is a remedy for all afflictions.	For some temperaments work is a remedy for all afflictions.
84_121123_000062_000004	As the doctors entered the street, they saw a man in a cassock standing on the threshold of the next door.	As the doctors entered the street, they saw a man in a cassock standing on the threshold of the next door.
84_121123_000062_000006	D'Avrigny accosted the priest.	D'Avrigny accosted the priest.
84_121123_000062_000007	"Sir," he said, "are you disposed to confer a great obligation on an unhappy father who has just lost his daughter?	"Sir," he said, "are you disposed to confer a great obligation on an unhappy father who has just lost his daughter?
84_121123_000063_000000	"Ah," said the priest, in a marked Italian accent; "yes, I have heard that death is in that house."	"Ah," said the priest, in a marked Italian accent; "yes, I have heard that death is in that house."
84_121123_000065_000000	"I was about to offer myself, sir," said the priest; "it is our mission to forestall our duties."	"I was about to offer myself, sir," said the priest; "it is our mission to forestall our duties."
84_121123_000066_000000	"It is a young girl."	"It is a young girl."
84_121123_000067_000000	"I know it, sir; the servants who fled from the house informed me.	"I know it, sir; the servants who fled from the house informed me.
84_121123_000068_000000	"Thank you, sir," said d'Avrigny; "since you have commenced your sacred office, deign to continue it.	"Thank you, sir," said d'Avrigny; "since you have commenced your sacred office, deign to continue it.
84_121123_000069_000000	"I am going, sir; and I do not hesitate to say that no prayers will be more fervent than mine." D'Avrigny took the priest's hand, and without meeting Villefort, who was engaged in his study, they reached Valentine's room, which on the following night was to be occupied by the undertakers.	"I am going, sir; and I do not hesitate to say that no prayers will be more fervent than mine." D'Avrigny took the priest's hand, and without meeting Villefort, who was engaged in his study, they reached Valentine's room, which on the following night was to be occupied by the undertakers.
