1462_170145_000001_000000	CHAPTER IX	CHAPTER nine
1462_170145_000005_000000	"Come in," he said to Hilda at last, and closed the door behind her.	"Come in," he said to Hilda at last, and closed the door behind her.
1462_170145_000005_000001	He pointed to a chair by the fire and went back to his worktable.	He pointed to a chair by the fire and went back to his worktable.
1462_170145_000005_000002	"Won't you sit down?"	"Won't you sit down?"
1462_170145_000006_000000	He was standing behind the table, turning over a pile of blueprints nervously.	He was standing behind the table, turning over a pile of blueprints nervously.
1462_170145_000006_000001	The yellow light from the student's lamp fell on his hands and the purple sleeves of his velvet smoking-jacket, but his flushed face and big, hard head were in the shadow.	The yellow light from the student's lamp fell on his hands and the purple sleeves of his velvet smoking jacket, but his flushed face and big, hard head were in the shadow.
1462_170145_000006_000002	There was something about him that made Hilda wish herself at her hotel again, in the street below, anywhere but where she was.	There was something about him that made Hilda wish herself at her hotel again, in the street below, anywhere but where she was.
1462_170145_000007_000000	"Of course I know, Bartley," she said at last, "that after this you won't owe me the least consideration.	"Of course I know, Bartley," she said at last, "that after this you won't owe me the least consideration.
1462_170145_000007_000001	But we sail on Tuesday.	But we sail on Tuesday.
1462_170145_000007_000002	I saw that interview in the paper yesterday, telling where you were, and I thought I had to see you.	I saw that interview in the paper yesterday, telling where you were, and I thought I had to see you.
1462_170145_000007_000003	That's all.	That's all.
1462_170145_000007_000004	Good-night; I'm going now." She turned and her hand closed on the door-knob.	Good night; I'm going now." She turned and her hand closed on the door knob.
1462_170145_000008_000000	Alexander hurried toward her and took her gently by the arm.	Alexander hurried toward her and took her gently by the arm.
1462_170145_000008_000001	"Sit down, Hilda; you're wet through.	"Sit down, Hilda; you're wet through.
1462_170145_000008_000002	Let me take off your coat--and your boots; they're oozing water." He knelt down and began to unlace her shoes, while Hilda shrank into the chair.	Let me take off your coat-and your boots; they're oozing water." He knelt down and began to unlace her shoes, while Hilda shrank into the chair.
1462_170145_000008_000003	"Here, put your feet on this stool. You don't mean to say you walked down--and without overshoes!"	"Here, put your feet on this stool. You don't mean to say you walked down-and without overshoes!"
1462_170145_000009_000000	Hilda hid her face in her hands.	Hilda hid her face in her hands.
1462_170145_000009_000001	"I was afraid to take a cab.	"I was afraid to take a cab.
1462_170145_000009_000002	Can't you see, Bartley, that I'm terribly frightened?	Can't you see, Bartley, that I'm terribly frightened?
1462_170145_000009_000003	I've been through this a hundred times to-day.	I've been through this a hundred times to day.
1462_170145_000009_000004	Don't be any more angry than you can help.	Don't be any more angry than you can help.
1462_170145_000009_000005	I was all right until I knew you were in town.	I was all right until I knew you were in town.
1462_170145_000009_000006	If you'd sent me a note, or telephoned me, or anything!	If you'd sent me a note, or telephoned me, or anything!
1462_170145_000009_000007	But you won't let me write to you, and I had to see you after that letter, that terrible letter you wrote me when you got home."	But you won't let me write to you, and I had to see you after that letter, that terrible letter you wrote me when you got home."
1462_170145_000010_000001	"Is this the way you mean to answer it, Hilda?" he asked unsteadily.	"Is this the way you mean to answer it, Hilda?" he asked unsteadily.
1462_170145_000011_000000	She was afraid to look up at him.	She was afraid to look up at him.
1462_170145_000011_000003	"I came to tell you that I'm willing to do as you asked me.	"I came to tell you that I'm willing to do as you asked me.
1462_170145_000011_000004	But it's no use talking about that now.	But it's no use talking about that now.
1462_170145_000011_000005	Give me my things, please." She put her hand out toward the fender.	Give me my things, please." She put her hand out toward the fender.
1462_170145_000012_000000	Alexander sat down on the arm of her chair.	Alexander sat down on the arm of her chair.
1462_170145_000012_000001	"Did you think I had forgotten you were in town, Hilda?	"Did you think I had forgotten you were in town, Hilda?
1462_170145_000012_000003	There is a letter for you there, in my desk drawer.	There is a letter for you there, in my desk drawer.
1462_170145_000012_000004	It was to have reached you on the steamer.	It was to have reached you on the steamer.
1462_170145_000012_000006	I told myself that if I were really thinking of you, and not of myself, a letter would be better than nothing.	I told myself that if I were really thinking of you, and not of myself, a letter would be better than nothing.
1462_170145_000012_000007	Marks on paper mean something to you." He paused.	Marks on paper mean something to you." He paused.
1462_170145_000012_000008	"They never did to me."	"They never did to me."
1462_170145_000013_000000	Hilda smiled up at him beautifully and put her hand on his sleeve.	Hilda smiled up at him beautifully and put her hand on his sleeve.
1462_170145_000013_000002	Did you write to me?	Did you write to me?
1462_170145_000013_000004	Then I wouldn't have come."	Then I wouldn't have come."
1462_170145_000014_000001	"I didn't know it before, Hilda, on my honor I didn't, but I believe it was because, deep down in me somewhere, I was hoping I might drive you to do just this.	"I didn't know it before, Hilda, on my honor I didn't, but I believe it was because, deep down in me somewhere, I was hoping I might drive you to do just this.
1462_170145_000014_000002	I've watched that door all day.	I've watched that door all day.
1462_170145_000014_000003	I've jumped up if the fire crackled.	I've jumped up if the fire crackled.
1462_170145_000014_000004	I think I have felt that you were coming." He bent his face over her hair.	I think I have felt that you were coming." He bent his face over her hair.
1462_170145_000015_000000	"And I," she whispered,--"I felt that you were feeling that.	"And I," she whispered,--"I felt that you were feeling that.
1462_170145_000015_000001	But when I came, I thought I had been mistaken."	But when I came, I thought I had been mistaken."
1462_170145_000016_000000	Alexander started up and began to walk up and down the room.	Alexander started up and began to walk up and down the room.
1462_170145_000017_000001	I've been up in Canada with my bridge, and I arranged not to come to New York until after you had gone.	I've been up in Canada with my bridge, and I arranged not to come to New York until after you had gone.
1462_170145_000017_000002	Then, when your manager added two more weeks, I was already committed." He dropped upon the stool in front of her and sat with his hands hanging between his knees.	Then, when your manager added two more weeks, I was already committed." He dropped upon the stool in front of her and sat with his hands hanging between his knees.
1462_170145_000017_000003	"What am I to do, Hilda?"	"What am I to do, Hilda?"
1462_170145_000018_000000	"That's what I wanted to see you about, Bartley.	"That's what I wanted to see you about, Bartley.
1462_170145_000018_000002	Only I'll do it more completely.	Only I'll do it more completely.
1462_170145_000018_000003	I'm going to marry."	I'm going to marry."
1462_170145_000019_000000	"Who?"	"Who?"
1462_170145_000020_000000	"Oh, it doesn't matter much!	"Oh, it doesn't matter much!
1462_170145_000020_000001	One of them.	One of them.
1462_170145_000020_000002	Only not Mac.	Only not Mac.
1462_170145_000020_000003	I'm too fond of him."	I'm too fond of him."
1462_170145_000021_000000	Alexander moved restlessly.	Alexander moved restlessly.
1462_170145_000021_000001	"Are you joking, Hilda?"	"Are you joking, Hilda?"
1462_170145_000022_000000	"Indeed I'm not."	"Indeed I'm not."
1462_170145_000024_000003	It's because they can't be at the mercy of the man they love any longer."	It's because they can't be at the mercy of the man they love any longer."
1462_170145_000025_000000	Alexander flushed angrily.	Alexander flushed angrily.
1462_170145_000025_000001	"So it's better to be at the mercy of a man you don't love?"	"So it's better to be at the mercy of a man you don't love?"
1462_170145_000026_000000	"Under such circumstances, infinitely!"	"Under such circumstances, infinitely!"
1462_170145_000027_000001	He got up and went over to the window, threw it open, and leaned out.	He got up and went over to the window, threw it open, and leaned out.
1462_170145_000027_000002	He heard Hilda moving about behind him.	He heard Hilda moving about behind him.
1462_170145_000027_000003	When he looked over his shoulder she was lacing her boots.	When he looked over his shoulder she was lacing her boots.
1462_170145_000028_000000	"Hilda you'd better think a while longer before you do that.	"Hilda you'd better think a while longer before you do that.
1462_170145_000028_000001	I don't know what I ought to say, but I don't believe you'd be happy; truly I don't.	I don't know what I ought to say, but I don't believe you'd be happy; truly I don't.
1462_170145_000028_000002	Aren't you trying to frighten me?"	Aren't you trying to frighten me?"
1462_170145_000029_000000	She tied the knot of the last lacing and put her boot-heel down firmly. "No; I'm telling you what I've made up my mind to do.	She tied the knot of the last lacing and put her boot heel down firmly. "No; I'm telling you what I've made up my mind to do.
1462_170145_000029_000001	I suppose I would better do it without telling you.	I suppose I would better do it without telling you.
1462_170145_000029_000002	But afterward I shan't have an opportunity to explain, for I shan't be seeing you again."	But afterward I shan't have an opportunity to explain, for I shan't be seeing you again."
1462_170145_000030_000000	Alexander started to speak, but caught himself.	Alexander started to speak, but caught himself.
1462_170145_000030_000001	When Hilda rose he sat down on the arm of her chair and drew her back into it.	When Hilda rose he sat down on the arm of her chair and drew her back into it.
1462_170145_000031_000001	Don't do anything like that rashly." His face grew troubled. "You wouldn't be happy.	Don't do anything like that rashly." His face grew troubled. "You wouldn't be happy.
1462_170145_000031_000002	You are not that kind of woman.	You are not that kind of woman.
1462_170145_000031_000004	"You see, you are different, Hilda.	"You see, you are different, Hilda.
1462_170145_000032_000001	She closed her eyes; her lips and eyelids trembled.	She closed her eyes; her lips and eyelids trembled.
1462_170145_000032_000003	Only one.	Only one.
1462_170145_000032_000004	And he threw it back at me a second time."	And he threw it back at me a second time."
1462_170145_000033_000000	She felt the strength leap in the arms that held her so lightly.	She felt the strength leap in the arms that held her so lightly.
1462_170145_000034_000000	"Try him again, Hilda.	"Try him again, Hilda.
1462_170145_000034_000001	Try him once again."	Try him once again."
1462_170145_000035_000000	She looked up into his eyes, and hid her face in her hands.	She looked up into his eyes, and hid her face in her hands.
