6319_275224_000000_000000	Nor was it broken again.	Nor was it broken again.	false	0	0.75	2
6319_275224_000008_000005	Sometimes she takes a turn upon the ground; sometimes she enters a hedge, and plays at bo-peep with the birds in the thorn and nut-trees--twisting here, curling there, and at last, perhaps, coming out at the top, and overhanging the edge with a canopy of green leaves and pretty white flowers.	Sometimes she takes a turn upon the ground; sometimes she enters a hedge, and plays at bo peep with the birds in the thorn and nut trees-twisting here, curling there, and at last, perhaps, coming out at the top, and overhanging the edge with a canopy of green leaves and pretty white flowers.	true	119.84	141.01	23.580019
6319_275224_000008_000006	A very different sort of life from yours, with a gardener always after you, trimming you in one place, fastening up a stray tendril in another, and fidgeting you all along--a sort of perpetual 'mustn't go here'--'mustn't go there.' Poor thing!	A very different sort of life from yours, with a gardener always after you, trimming you in one place, fastening up a stray tendril in another, and fidgeting you all along-a sort of perpetual 'mustn't go here'--'mustn't go there.' Poor thing!	false	141.38	161.65	22.036865
6319_275224_000008_000007	I quite feel for you!	I quite feel for you!	true	161.72	163.81	22.90413
6319_275224_000008_000008	Still I must say you make me smile; for you look so proud and self-conscious of beauty all the time, that one would think you did not know in what a ridiculous and dependent position you are placed."	Still I must say you make me smile; for you look so proud and self conscious of beauty all the time, that one would think you did not know in what a ridiculous and dependent position you are placed."	false	164.48	178.96	22
6319_275224_000009_000000	Now the Convolvulus was quite abashed by the words of the Wind, for she was conscious of feeling very conceited that morning, in consequence of having heard the gardener say something very flattering about her beauty; so she hung down her rich bell-flowers rather lower than usual, and made no reply.	Now the Convolvulus was quite abashed by the words of the Wind, for she was conscious of feeling very conceited that morning, in consequence of having heard the gardener say something very flattering about her beauty; so she hung down her rich bell flowers rather lower than usual, and made no reply.	true	179.93	200.23	21.945536
6319_275224_000010_000000	But the Carnation put in her word: "What you say about the Convolvulus may be true enough, but it cannot apply to _me_.	But the Carnation put in her word: "What you say about the Convolvulus may be true enough, but it cannot apply to underscore me underscore.	false	201.08	210.27	22.321133
6319_275224_000010_000001	I am not aware that I have any poor relations in this country, and I myself certainly require all the care that is bestowed upon me. This climate is both too cold and too damp for me.	I am not aware that I have any poor relations in this country, and I myself certainly require all the care that is bestowed upon me. This climate is both too cold and too damp for me.	true	210.27	224.26	23.354635
6319_275224_000010_000002	My young plants require heat, or they would not live; and the pots we are kept in protect us from those cruel wire-worms who delight to destroy our roots."	My young plants require heat, or they would not live; and the pots we are kept in protect us from those cruel wire worms who delight to destroy our roots."	true	224.63	235.66	22.339157
6319_275224_000011_000000	"Oh!" cried the Wind, "our friend the Carnation is quite profound and learned in her remarks, and I admit the justice of all she says about damp and cold, and wire-worms; but,"--and here the Wind gave a low-toned whistle, as he took a turn round the flower-bed--"but what I maintain, my dear, is, that when you are once strong enough and old enough to be placed in the soil, those gardeners ought to let you grow and flourish as nature prompts, and as you would do were you left alone.	"Oh!" cried the Wind, "our friend the Carnation is quite profound and learned in her remarks, and I admit the justice of all she says about damp and cold, and wire worms; but,"--and here the Wind gave a low toned whistle, as he took a turn round the flower bed-"but what I maintain, my dear, is, that when you are once strong enough and old enough to be placed in the soil, those gardeners ought to let you grow and flourish as nature prompts, and as you would do were you left alone.	false	236.48	274.99	20.311634
6319_275224_000011_000001	But no! they must always be clipping, and trimming, and twisting up every leaf that strays aside out of the trim pattern they have chosen for you to grow in.	But no! they must always be clipping, and trimming, and twisting up every leaf that strays aside out of the trim pattern they have chosen for you to grow in.	true	275.21	285.97	19
6319_275224_000011_000002	Why not allow your silver tufts to luxuriate in a natural manner?	Why not allow your silver tufts to luxuriate in a natural manner?	true	286.64	292.57	20.229939
6319_275224_000011_000003	Why must every single flower betied up by its delicate neck to a stick, the moment it begins to open?	Why must every single flower betied up by its delicate neck to a stick, the moment it begins to open?	true	292.76	300.34	22.865288
6319_275224_000011_000004	Really, with your natural grace and beauty, I think you might be trusted to yourself a little more!"	Really, with your natural grace and beauty, I think you might be trusted to yourself a little more!"	true	300.89	308.17	24.201122
6319_275224_000012_000000	And the Carnation began to think so, too; and her colour turned deeper as a feeling of indignation arose within her at the childish treatment to which she had been subjected.	And the Carnation began to think so, too; and her colour turned deeper as a feeling of indignation arose within her at the childish treatment to which she had been subjected.	true	309.11	320.29	22.793423
6319_275224_000012_000001	"With my natural grace and beauty," repeated she to herself, "they might certainly trust me to myself a little more!"	"With my natural grace and beauty," repeated she to herself, "they might certainly trust me to myself a little more!"	true	320.93	329.77	24.502422
6319_275224_000013_000000	Still the Rose Tree stood out that there must be some great advantages in a gardener's care, for she could not pretend to be ignorant of her own superiority to all her wild relations in the woods.	Still the Rose Tree stood out that there must be some great advantages in a gardener's care, for she could not pretend to be ignorant of her own superiority to all her wild relations in the woods.	true	330.89	343.09	17
6319_275224_000013_000001	What a difference in size, in colour and in fragrance!	What a difference in size, in colour and in fragrance!	true	343.49	347.23	22
6319_275224_000014_000000	Then the Wind assured the Rose he never meant to dispute the advantage of her living in a rich-soiled garden; only there was a natural way of growing, even in a garden; and he thought it a great shame for the gardeners to force the Rose Tree into an _un_natural way, curtailing all the energies of her nature. What could be more outrageous, for example, than to see one rose growing in the shape of a bush on the top of the stem of another? "Think of all the pruning necessary," cried he, "to keep the poor thing in the round shape so much admired!	Then the Wind assured the Rose he never meant to dispute the advantage of her living in a rich soiled garden; only there was a natural way of growing, even in a garden; and he thought it a great shame for the gardeners to force the Rose Tree into an underscore un underscore natural way, curtailing all the energies of her nature. What could be more outrageous, for example, than to see one rose growing in the shape of a bush on the top of the stem of another? "Think of all the pruning necessary," cried he, "to keep the poor thing in the round shape so much admired!	false	348.41	388.06	22.179157
6319_275224_000014_000001	And what is the matter with the beautiful straggling branches, that they are to be cut off as fast as they appear?	And what is the matter with the beautiful straggling branches, that they are to be cut off as fast as they appear?	true	388.1	395.65	23.838526
6319_275224_000014_000002	Why not allow the healthy Rose Tree its free and glorious growth?	Why not allow the healthy Rose Tree its free and glorious growth?	true	396.2	402.16	23.737934
6319_275224_000014_000003	Can it be _too_ large or _too_ luxuriant?	Can it be underscore too underscore large or underscore too underscore luxuriant?	false	402.35	405.79	21.56552
6319_275224_000014_000004	Can its flowers be _too_ numerous?	Can its flowers be underscore too underscore numerous?	false	406.19	408.94	20.45326
6319_275224_000014_000005	Oh, Rose Tree, you know your own surpassing merits too well to make you think this possible!"	Oh, Rose Tree, you know your own surpassing merits too well to make you think this possible!"	true	409.46	417.16	22.605246
6319_275224_000015_000000	And so she did, and a new light seemed to dawn upon her as she recollected the spring and autumnal prunings she regularly underwent, and the quantities of little branches that were yearly cut from her sides, and carried away in a wheel-barrow.	And so she did, and a new light seemed to dawn upon her as she recollected the spring and autumnal prunings she regularly underwent, and the quantities of little branches that were yearly cut from her sides, and carried away in a wheel barrow.	true	417.95	435.04	22.11314
6319_275224_000015_000001	"It is a cruel and a monstrous system, I fear," said she.	"It is a cruel and a monstrous system, I fear," said she.	false	435.92	440.44	23.608465
6319_275224_000016_000000	Then the Wind took another frolic round the garden, and made up to the large white Lily, into whose refined ear he whispered a doubt as to the necessity or advantage of her thick powerful stem being propped up against a stupid, ugly stick!	Then the Wind took another frolic round the garden, and made up to the large white Lily, into whose refined ear he whispered a doubt as to the necessity or advantage of her thick powerful stem being propped up against a stupid, ugly stick!	true	441.71	458.26	24
6319_275224_000016_000001	He really grieved to see it!	He really grieved to see it!	true	458.69	460.9	27.871382
6319_275224_000016_000002	Did that lovely creature suppose that Nature, who had done so much for her that the fame of her beauty extended throughout the world, had yet left her so weak and feeble that she could not support herself in the position most calculated to give her ease and pleasure?	Did that lovely creature suppose that Nature, who had done so much for her that the fame of her beauty extended throughout the world, had yet left her so weak and feeble that she could not support herself in the position most calculated to give her ease and pleasure?	true	461.45	479.32	23
6319_275224_000016_000003	"Always this tying up and restraint!" pursued the Wind, with an angry puff.	"Always this tying up and restraint!" pursued the Wind, with an angry puff.	true	480.14	485.98	22.68892
6319_275224_000016_000004	"Perhaps I am prejudiced; but as to be deprived of freedom would be to me absolute death, so my soul revolts from every shape and phase of slavery!"	"Perhaps I am prejudiced; but as to be deprived of freedom would be to me absolute death, so my soul revolts from every shape and phase of slavery!"	true	486.68	498.43	22.884262
6319_275224_000017_000000	"Not more than mine does!" cried the proud white Lily, leaning as heavily as she could against the strip of matting that tied her to her stick.	"Not more than mine does!" cried the proud white Lily, leaning as heavily as she could against the strip of matting that tied her to her stick.	true	499.16	508	24.457653
6319_275224_000017_000001	But it was of no use--she could not get free; and the Wind only shook his sides and laughed spitefully as he left her, and then rambled away to talk the same shallow philosophy to the Honeysuckle that was trained up against a wall.	But it was of no use-she could not get free; and the Wind only shook his sides and laughed spitefully as he left her, and then rambled away to talk the same shallow philosophy to the Honeysuckle that was trained up against a wall.	false	508.64	523.96	23.732552
6319_275224_000017_000002	Indeed, not a flower escaped his mischievous suggestions.	Indeed, not a flower escaped his mischievous suggestions.	true	524.6	528.64	20.691153
6319_275224_000017_000003	He murmured among them all--laughed the trim cut Box-edges to scorn--maliciously hoped the Sweet Peas enjoyed growing in a circle, and running up a quantity of crooked sticks--and told the flowers, generally, that he should report their unheard-of submission and meek obedience wherever he went.	He murmured among them all-laughed the trim cut Box edges to scorn-maliciously hoped the Sweet Peas enjoyed growing in a circle, and running up a quantity of crooked sticks-and told the flowers, generally, that he should report their unheard of submission and meek obedience wherever he went.	true	529.04	550.03	23.847921
6319_275224_000018_000000	Then the white Lily called out to him in great wrath, and told him he mistook their characters altogether.	Then the white Lily called out to him in great wrath, and told him he mistook their characters altogether.	true	550.79	557.59	20
6319_275224_000018_000001	They only submitted to these degrading restraints because they could not help themselves; but if he would lend them his powerful aid, they might free themselves from at least a part of the unnatural bonds which enthralled them.	They only submitted to these degrading restraints because they could not help themselves; but if he would lend them his powerful aid, they might free themselves from at least a part of the unnatural bonds which enthralled them.	true	557.84	572.11	22.116693
6319_275224_000019_000000	To which the wicked Wind, seeing that his temptations had succeeded, replied, in great glee, that he would do his best; and so he went away, chuckling at the discontent he had caused.	To which the wicked Wind, seeing that his temptations had succeeded, replied, in great glee, that he would do his best; and so he went away, chuckling at the discontent he had caused.	true	572.96	586.99	22.288183
6319_275224_000020_000000	All that night the pretty silly flowers bewailed their slavish condition, and longed for release and freedom: and at last they began to be afraid that the Wind had only been jesting with them, and that he would never come to help them, as he had promised. However, they were mistaken; for, at the edge of the dawn, there began to be a sighing and a moaning in the distant woods, and by the time the sun was up, the clouds were driving fast along the sky, and the trees were bending about in all directions; for the Wind had returned,--only now he had come in his roughest and wildest mood,--knocking over everything before him.	All that night the pretty silly flowers bewailed their slavish condition, and longed for release and freedom: and at last they began to be afraid that the Wind had only been jesting with them, and that he would never come to help them, as he had promised. However, they were mistaken; for, at the edge of the dawn, there began to be a sighing and a moaning in the distant woods, and by the time the sun was up, the clouds were driving fast along the sky, and the trees were bending about in all directions; for the Wind had returned,--only now he had come in his roughest and wildest mood,--knocking over everything before him.	true	588.56	631.71	21.77748
6319_275224_000020_000001	"Now is your time, pretty flowers!" shouted he, as he approached the garden; and "Now is our time!" echoed the flowers tremulously, as, with a sort of fearful pleasure, they awaited his approach.	"Now is your time, pretty flowers!" shouted he, as he approached the garden; and "Now is our time!" echoed the flowers tremulously, as, with a sort of fearful pleasure, they awaited his approach.	false	631.71	646.9	22.602345
6319_275224_000021_000000	He managed the affair very cleverly, it must be confessed.	He managed the affair very cleverly, it must be confessed.	true	647.9	652.12	24.20823
6319_275224_000021_000001	Making a sort of eddying circuit round the garden, he knocked over the Convolvulus-pole, tore the strips from the stick that held up the white Lily, loosed all the Carnation flowers from their fastenings, broke the Rose Tree down, and levelled the Sweet Peas to the ground.	Making a sort of eddying circuit round the garden, he knocked over the Convolvulus pole, tore the strips from the stick that held up the white Lily, loosed all the Carnation flowers from their fastenings, broke the Rose Tree down, and levelled the Sweet Peas to the ground.	true	652.64	670.42	23.679337
6319_275224_000021_000002	In short, in one half-hour he desolated the pretty garden; and when his work was accomplished, he flew off.	In short, in one half hour he desolated the pretty garden; and when his work was accomplished, he flew off.	true	671	680.62	22.024069
6319_275224_000022_000000	Meanwhile, how fared it with the flowers?	Meanwhile, how fared it with the flowers?	true	681.86	685.3	24.289507
6319_275224_000022_000001	The Wind was scarcely gone before a sudden and heavy rain followed, so that all was confusion for some time.	The Wind was scarcely gone before a sudden and heavy rain followed, so that all was confusion for some time.	true	685.91	693.91	23.152636
6319_275224_000022_000002	But towards the evening the weather cleared up, and our friends began to look around them.	But towards the evening the weather cleared up, and our friends began to look around them.	true	694.85	700.99	22.54129
6319_275224_000022_000003	The white Lily still stood somewhat upright, though no friendly pole supported her juicy stem; but, alas! it was only by a painful effort she could hold herself in that position.	The white Lily still stood somewhat upright, though no friendly pole supported her juicy stem; but, alas! it was only by a painful effort she could hold herself in that position.	true	701.72	715.21	23.664555
6319_275224_000022_000004	The Wind and the weight of rain had bent her forward once, beyond her strength, and there was a slight crack in one part of the stalk, which told that she must soon double over and trail upon the ground.	The Wind and the weight of rain had bent her forward once, beyond her strength, and there was a slight crack in one part of the stalk, which told that she must soon double over and trail upon the ground.	false	715.79	728.38	21
6319_275224_000022_000005	The Convolvulus fared still worse.	The Convolvulus fared still worse.	true	729.26	731.98	22.008898
6319_275224_000022_000006	The garden beds sloped towards the south; and when our friend was laid on the earth--her pole having fallen--her lovely flowers were choked up by the wet soil which drained towards her.	The garden beds sloped towards the south; and when our friend was laid on the earth-her pole having fallen-her lovely flowers were choked up by the wet soil which drained towards her.	true	732.47	745.03	22.686003
6319_275224_000022_000007	She felt the muddy weight as it soaked into her beautiful velvet bells, and could have cried for grief: she could never free herself from this nuisance.	She felt the muddy weight as it soaked into her beautiful velvet bells, and could have cried for grief: she could never free herself from this nuisance.	true	745.55	755.62	22.488832
6319_275224_000022_000008	Oh that she were once more climbing up the friendly fir-pole!	Oh that she were once more climbing up the friendly fir pole!	true	756.14	760.45	22
6319_275224_000022_000009	The Honeysuckle escaped no better; and the Carnation was ready to die of vexation, at finding that her coveted freedom had levelled her to the dirt.	The Honeysuckle escaped no better; and the Carnation was ready to die of vexation, at finding that her coveted freedom had levelled her to the dirt.	true	761.24	771.31	22.129646
6319_275224_000023_000000	Before the day closed, the gardener came whistling from his farm work, to look over his pretty charges.	Before the day closed, the gardener came whistling from his farm work, to look over his pretty charges.	true	772.49	779.23	24.099905
6319_275224_000023_000001	He expected to see a few drooping flowers, and to find that one or two fastenings had given way.	He expected to see a few drooping flowers, and to find that one or two fastenings had given way.	true	779.99	786.01	19
6319_275224_000023_000002	But for the sight that awaited him he was not prepared at all. Struck dumb with astonishment, he never spoke at first, but kept lifting up the heads of the trailing, dirtied flowers in succession.	But for the sight that awaited him he was not prepared at all. Struck dumb with astonishment, he never spoke at first, but kept lifting up the heads of the trailing, dirtied flowers in succession.	true	787.07	800.5	23.423113
6319_275224_000023_000003	Then at last he broke out into words of absolute sorrow:--"And to think of my mistress and the young lady coming home so soon, and that nothing can be done to these poor things for a fortnight, because of the corn harvest!	Then at last he broke out into words of absolute sorrow:--"And to think of my mistress and the young lady coming home so soon, and that nothing can be done to these poor things for a fortnight, because of the corn harvest!	false	801.59	817.42	21.824091
6319_275224_000023_000004	It's all over with them, I fear;" and the gardener went his way.	It's all over with them, I fear;" and the gardener went his way.	true	818.09	823.69	21.4838
6319_275224_000023_000005	Alas! what he said was true; and before many days had passed, the shattered Carnations were rotted with lying in the wet and dirt on the ground.	Alas! what he said was true; and before many days had passed, the shattered Carnations were rotted with lying in the wet and dirt on the ground.	true	824.6	835.9	22.100302
6319_275224_000023_000006	The white Lily was languishing discoloured on its broken stalk; the Convolvulus flowers could no longer be recognized, they were so coated over with mud stains; the Honeysuckle was trailing along among battered Sweet Peas, who never could succeed in shaking the soil from their fragrant heads; and though the Rose Tree had sent out a few straggling branches, she soon discovered that they were far too weak to bear flowers--nay, almost to support themselves--so that they added neither to her beauty nor her comfort.	The white Lily was languishing discoloured on its broken stalk; the Convolvulus flowers could no longer be recognized, they were so coated over with mud stains; the Honeysuckle was trailing along among battered Sweet Peas, who never could succeed in shaking the soil from their fragrant heads; and though the Rose Tree had sent out a few straggling branches, she soon discovered that they were far too weak to bear flowers-nay, almost to support themselves-so that they added neither to her beauty nor her comfort.	true	836.84	871.9	23.193798
6319_275224_000023_000007	Weeds meanwhile sprang up, and a dreary confusion reigned in the once orderly and brilliant little garden.	Weeds meanwhile sprang up, and a dreary confusion reigned in the once orderly and brilliant little garden.	true	872.51	880.18	21
6319_275224_000024_000000	At length, one day before the fortnight was over, the house-dog was heard to bark his noisy welcome, and servants bustled to and fro. The mistress had returned; and the young lady was with her, and hurried at once to her favourite garden.	At length, one day before the fortnight was over, the house dog was heard to bark his noisy welcome, and servants bustled to and fro. The mistress had returned; and the young lady was with her, and hurried at once to her favourite garden.	true	881.48	897.46	22.392485
6319_275224_000024_000001	She came bounding towards the well-known spot with a song of joyous delight; but, on reaching it, suddenly stopped short, and in a minute after burst into a flood of tears!	She came bounding towards the well-known spot with a song of joyous delight; but, on reaching it, suddenly stopped short, and in a minute after burst into a flood of tears!	true	897.92	910.72	24.886854
6319_275224_000024_000002	Presently, with sorrowing steps, she bent her way round the flower-beds, weeping afresh at every one she looked at; and then she sat down upon the lawn, and hid her face in her hands. In this position she remained, until a gentle hand was laid upon her shoulder.	Presently, with sorrowing steps, she bent her way round the flower beds, weeping afresh at every one she looked at; and then she sat down upon the lawn, and hid her face in her hands. In this position she remained, until a gentle hand was laid upon her shoulder.	true	911.42	930.22	21.044054
6319_275224_000025_000000	"This is a sad sight, indeed, my darling," said her mother's voice.	"This is a sad sight, indeed, my darling," said her mother's voice.	true	931.94	936.7	20.792994
6319_275224_000026_000000	"I am not thinking about the garden, mamma," replied the young girl, without lifting up her face; "we can plant new flowers, and tie up even some of these afresh.	"I am not thinking about the garden, mamma," replied the young girl, without lifting up her face; "we can plant new flowers, and tie up even some of these afresh.	true	937.88	949.21	23.6868
6319_275224_000026_000001	I am thinking that now, at last, I understand what you say about the necessity of training, and restraint, and culture, for us as well as for flowers.	I am thinking that now, at last, I understand what you say about the necessity of training, and restraint, and culture, for us as well as for flowers.	false	950.12	961.42	22.519487
6319_275224_000026_000002	The Wind has torn away these poor things from their fastenings, and they are growing wild whichever way they please; and I might perhaps once have argued, that if it were their _natural_ way of growing it must therefore be the best.	The Wind has torn away these poor things from their fastenings, and they are growing wild whichever way they please; and I might perhaps once have argued, that if it were their underscore natural underscore way of growing it must therefore be the best.	false	962.03	976.84	22.262468
6319_275224_000026_000003	But I cannot say so, now I see the result.	But I cannot say so, now I see the result.	true	977.57	981.13	21.226385
6319_275224_000026_000004	They are doing whatever they like, unrestrained; and the end is,--my beautiful garden is turned into a wilderness."	They are doing whatever they like, unrestrained; and the end is,--my beautiful garden is turned into a wilderness."	false	981.65	1006.17	20.271446
