6345_64257_000000_000000	I will not linger much more over the crumbling time.	I will not linger much more over the crumbling time.	false	0	3.54	21.848232
6345_64257_000008_000001	No carriage rolled along the center, no footfarer walked on the side.	No carriage rolled along the center, no footfarer walked on the side.	true	397.64	402.3	20.969221
6345_64257_000008_000002	Not a light shone from window or door, save what they gave back of the yellow light of the moon.	Not a light shone from window or door, save what they gave back of the yellow light of the moon.	true	402.3	407.505	16
6345_64257_000008_000003	She was lost--lost utterly, with an eternal loss.	She was lost-lost utterly, with an eternal loss.	true	407.505	411.28	18.683609
6345_64257_000008_000004	She knew nothing of the place, had nowhere to go, nowhere she wanted to go, had not a thought to tell her what question to ask, if she met a living soul.	She knew nothing of the place, had nowhere to go, nowhere she wanted to go, had not a thought to tell her what question to ask, if she met a living soul.	true	411.56	420.19	20
6345_64257_000008_000005	But living soul there could be none to meet.	But living soul there could be none to meet.	true	420.38	422.95	19.373018
6345_64257_000008_000006	She had nor home, nor direction, nor desire; she knew of nothing that she had lost, nor of anything she wished to gain; she had nothing left but the sense that she was empty, that she needed some goal, and had none.	She had nor home, nor direction, nor desire; she knew of nothing that she had lost, nor of anything she wished to gain; she had nothing left but the sense that she was empty, that she needed some goal, and had none.	false	423.32	436.36	20.113583
6345_64257_000008_000007	She sat down upon a stone between the wide street and the wide pavement, and saw the moon shining gray upon the stone houses.	She sat down upon a stone between the wide street and the wide pavement, and saw the moon shining gray upon the stone houses.	true	436.82	444.28	16
6345_64257_000008_000008	It was all deadness.	It was all deadness.	true	444.29	445.93	23.356094
6345_64257_000009_000000	Presently, from somewhere in the moonlight, appeared, walking up to her, where she sat in eternal listlessness, the one only brother she had ever had.	Presently, from somewhere in the moonlight, appeared, walking up to her, where she sat in eternal listlessness, the one only brother she had ever had.	false	446.48	454.9	20
6345_64257_000009_000001	She had lost him years and years before, and now she saw him; he was there, and she knew him.	She had lost him years and years before, and now she saw him; he was there, and she knew him.	true	454.97	461.14	19.396746
6345_64257_000009_000002	But not a throb went through her heart.	But not a throb went through her heart.	true	461.3	463.66	23.537815
6345_64257_000009_000003	He came to her side, and she gave him no greeting.	He came to her side, and she gave him no greeting.	true	463.85	466.69	21
6345_64257_000009_000004	"Why should I heed him?" she said to herself.	"Why should I heed him?" she said to herself.	true	466.85	469.2	18
6345_64257_000009_000005	"He is dead.	"He is dead.	true	469.2	470.11	24.193281
6345_64257_000009_000006	I am only in a dream.	I am only in a dream.	true	470.18	471.36	15.101918
6345_64257_000009_000007	This is not he; it is but his pitiful phantom that comes wandering hither--a ghost without a heart, made out of the moonlight.	This is not he; it is but his pitiful phantom that comes wandering hither-a ghost without a heart, made out of the moonlight.	false	471.36	479.13	20.572023
6345_64257_000009_000008	It is nothing.	It is nothing.	true	479.13	480.075	22.556728
6345_64257_000009_000009	I am nothing.	I am nothing.	true	480.075	481.11	20
6345_64257_000009_000010	I am lost.	I am lost.	true	481.11	482.14	19.214201
6345_64257_000009_000011	Everything is an empty dream of loss.	Everything is an empty dream of loss.	true	482.18	484.66	21
6345_64257_000009_000012	I know it, and there is no waking.	I know it, and there is no waking.	true	484.73	486.85	23
6345_64257_000009_000013	If there were, surely the sight of him would give me some shimmer of delight.	If there were, surely the sight of him would give me some shimmer of delight.	true	487.13	490.99	19.027277
6345_64257_000009_000014	The old time was but a thicker dream, and this is truer because more shadowy." And, the form still standing by her, she felt it was ages away; she was divided from it by a gulf of very nothingness.	The old time was but a thicker dream, and this is truer because more shadowy." And, the form still standing by her, she felt it was ages away; she was divided from it by a gulf of very nothingness.	true	491.27	505.54	20.377087
6345_64257_000009_000015	Her only life was, that she was lost.	Her only life was, that she was lost.	true	505.85	508.56	20.228107
6345_64257_000009_000016	Her whole consciousness was merest, all but abstract, loss.	Her whole consciousness was merest, all but abstract, loss.	true	508.56	513.1	21.277786
6345_64257_000010_000000	Then came the form of her mother, and bent over that of her brother from behind.	Then came the form of her mother, and bent over that of her brother from behind.	true	513.59	517.93	20.10859
6345_64257_000010_000001	"Another ghost of a ghost! another shadow of a phantom!" she said to herself.	"Another ghost of a ghost! another shadow of a phantom!" she said to herself.	false	518.09	522.345	18
6345_64257_000010_000002	"She is nothing to me.	"She is nothing to me.	true	522.345	523.66	20.088905
6345_64257_000010_000003	If I speak to her, she is not there.	If I speak to her, she is not there.	true	523.76	526.27	22
6345_64257_000010_000004	Shall I pour out my soul into the ear of a mist, a fume from my own brain?	Shall I pour out my soul into the ear of a mist, a fume from my own brain?	true	526.28	531.07	18
6345_64257_000010_000005	Oh, cold creatures, ye are not what ye seem, and I will none of you!"	Oh, cold creatures, ye are not what ye seem, and I will none of you!"	true	531.11	535.48	20.225441
6345_64257_000011_000000	With that, came her father, and stood beside the others, gazing upon her with still, cold eyes, expressing only a pale quiet.	With that, came her father, and stood beside the others, gazing upon her with still, cold eyes, expressing only a pale quiet.	false	536.03	544.18	20.169125
6345_64257_000011_000001	She bowed her face on her hands, and would not regard him.	She bowed her face on her hands, and would not regard him.	true	544.55	547.6	18
6345_64257_000011_000002	Even if he were alive, her heart was past being moved.	Even if he were alive, her heart was past being moved.	true	547.97	551.37	22
6345_64257_000011_000003	It was settled into stone.	It was settled into stone.	true	551.37	553.27	18.57519
6345_64257_000011_000004	The universe was sunk in one of the dreams that haunt the sleep of death; and, if these were ghosts at all, they were ghosts walking in their sleep.	The universe was sunk in one of the dreams that haunt the sleep of death; and, if these were ghosts at all, they were ghosts walking in their sleep.	true	553.58	561.85	21.77489
6345_64257_000012_000000	But the dead, one of them seized one of her hands, and another the other.	But the dead, one of them seized one of her hands, and another the other.	true	562.16	566.41	20
6345_64257_000012_000001	They raised her to her feet, and led her along, and her brother walked before.	They raised her to her feet, and led her along, and her brother walked before.	false	566.66	570.91	20.63079
6345_64257_000012_000002	Thus was she borne away captive of her dead, neither willing nor unwilling, of life and death equally careless.	Thus was she borne away captive of her dead, neither willing nor unwilling, of life and death equally careless.	true	571.16	578.44	22
6345_64257_000012_000003	Through the moonlight they led her from the city, and over fields, and through valleys, and across rivers and seas--a long journey; nor did she grow weary, for there was not life enough in her to be made weary.	Through the moonlight they led her from the city, and over fields, and through valleys, and across rivers and seas-a long journey; nor did she grow weary, for there was not life enough in her to be made weary.	true	578.99	591.31	20.03701
6345_64257_000012_000004	The dead never spoke to her, and she never spoke to them.	The dead never spoke to her, and she never spoke to them.	true	591.62	594.85	21.157885
6345_64257_000012_000005	Sometimes it seemed as if they spoke to each other, but, if it were so, it concerned some shadowy matter, no more to her than the talk of grasshoppers in the field, or of beetles that weave their much-involved dances on the face of the pool.	Sometimes it seemed as if they spoke to each other, but, if it were so, it concerned some shadowy matter, no more to her than the talk of grasshoppers in the field, or of beetles that weave their much involved dances on the face of the pool.	true	595.16	609.13	16
6345_64257_000012_000006	Their voices were even too thin and remote to rouse her to listen.	Their voices were even too thin and remote to rouse her to listen.	false	609.41	613.39	20.509893
6345_64257_000013_000000	They came at length to a great mountain, and, as they were going up the mountain, light began to grow, as if the sun were beginning to rise. But she cared as little for the sun that was to light the day as for the moon that had lighted the night, and closed her eyes, that she might cover her soul with her eyelids.	They came at length to a great mountain, and, as they were going up the mountain, light began to grow, as if the sun were beginning to rise. But she cared as little for the sun that was to light the day as for the moon that had lighted the night, and closed her eyes, that she might cover her soul with her eyelids.	true	613.88	630.88	19
6345_64257_000014_000000	Of a sudden a great splendor burst upon her, and through her eyelids she was struck blind--blind with light and not with darkness, for all was radiance about her.	Of a sudden a great splendor burst upon her, and through her eyelids she was struck blind-blind with light and not with darkness, for all was radiance about her.	true	631.49	642.07	20.82606
6345_64257_000014_000001	She was like a fish in a sea of light.	She was like a fish in a sea of light.	true	642.35	644.83	21.987867
6345_64257_000014_000002	But she neither loved the light nor mourned the shadow.	But she neither loved the light nor mourned the shadow.	true	645.35	648.67	20
6345_64257_000015_000000	Then were her ears invaded with a confused murmur, as of the mingling of all sweet sounds of the earth--of wind and water, of bird and voice, of string and metal--all afar and indistinct.	Then were her ears invaded with a confused murmur, as of the mingling of all sweet sounds of the earth-of wind and water, of bird and voice, of string and metal-all afar and indistinct.	false	649.04	663.7	20.920565
6345_64257_000015_000001	Next arose about her a whispering, as of winged insects, talking with human voices; but she listened to nothing, and heard nothing of what was said: it was all a tiresome dream, out of which whether she waked or died it mattered not.	Next arose about her a whispering, as of winged insects, talking with human voices; but she listened to nothing, and heard nothing of what was said: it was all a tiresome dream, out of which whether she waked or died it mattered not.	false	664.13	680.05	21.348818
6345_64257_000016_000000	Suddenly she was taken between two hands, and lifted, and seated upon knees like a child, and she felt that some one was looking at her.	Suddenly she was taken between two hands, and lifted, and seated upon knees like a child, and she felt that some one was looking at her.	true	680.66	689.5	19.853601
6345_64257_000016_000001	Then came a voice, one that she never heard before, yet with which she was as familiar as with the sound of the blowing wind.	Then came a voice, one that she never heard before, yet with which she was as familiar as with the sound of the blowing wind.	true	689.78	698.38	19.484213
6345_64257_000016_000002	And the voice said, "Poor child! something has closed the valve between her heart and mine." With that came a pang of intense pain.	And the voice said, "Poor child! something has closed the valve between her heart and mine." With that came a pang of intense pain.	true	698.69	707.5	22.080973
6345_64257_000016_000003	But it was her own cry of speechless delight that woke her from her dream.	But it was her own cry of speechless delight that woke her from her dream.	false	707.69	724.92	20.226551
