7850_73752_000000_000000	CHAPTER XXII.	CHAPTER twenty two.	false	1.68	27.06	25.301981
7850_73752_000005_000001	Everything that had occurred previously seemed of another life; all his experience was concentrated in that wonderful drama that had commenced at Bath, the last scene of which was now approaching; the characters, his parents, Glastonbury, Katherine, Henrietta, Lord Montfort, Count Mirabel, himself, and Mr. Temple!	Everything that had occurred previously seemed of another life; all his experience was concentrated in that wonderful drama that had commenced at Bath, the last scene of which was now approaching; the characters, his parents, Glastonbury, Katherine, Henrietta, Lord Montfort, Count Mirabel, himself, and mr Temple!	true	230.96	253.78	22.88231
7850_73752_000006_000000	Ah! that was a name that a little disturbed him; and yet he felt confidence now in Mirabel's prescience; he could not but believe that with time even Mr. Temple might be reconciled!	Ah! that was a name that a little disturbed him; and yet he felt confidence now in Mirabel's prescience; he could not but believe that with time even mr Temple might be reconciled!	true	254.09	266.16	24.826448
7850_73752_000006_000001	It was at this moment that the sound of military music fell upon his ear; it recalled old days; parades and guards at Malta; times when he did not know Henrietta Temple; times when, as it seemed to him now, he had never paused to think or moralise.	It was at this moment that the sound of military music fell upon his ear; it recalled old days; parades and guards at Malta; times when he did not know Henrietta Temple; times when, as it seemed to him now, he had never paused to think or moralise.	false	266.16	283.35	20.883587
7850_73752_000006_000002	That was a mad life.	That was a mad life.	true	283.35	284.83	29.105587
7850_73752_000006_000003	What a Neapolitan ball was his career then!	What a Neapolitan ball was his career then!	true	285.08	287.86	24.508589
7850_73752_000006_000004	It was indeed dancing on a volcano.	It was indeed dancing on a volcano.	true	288.11	290.35	19
7850_73752_000006_000005	And now all had ended so happily!	And now all had ended so happily!	true	290.75	293.085	24.60339
7850_73752_000006_000006	Oh! could it indeed be true?	Oh! could it indeed be true?	true	293.085	295.18	21.26142
7850_73752_000006_000007	Was it not all a dream of his own creation, while his eye had been fixed in abstraction on that bright and flowing river?	Was it not all a dream of his own creation, while his eye had been fixed in abstraction on that bright and flowing river?	true	295.43	302.8	22
7850_73752_000006_000008	But then there was Henrietta's letter.	But then there was Henrietta's letter.	true	303.14	305.68	23.564337
7850_73752_000006_000009	He might be enchanted, but that was the talisman.	He might be enchanted, but that was the talisman.	true	306.02	309.1	23.24337
7850_73752_000007_000000	In the present unsettled, though hopeful state of affairs, Ferdinand would not go home.	In the present unsettled, though hopeful state of affairs, Ferdinand would not go home.	true	310.01	315.7	22.965605
7850_73752_000007_000001	He was resolved to avoid any explanations until he heard from Lord Montfort.	He was resolved to avoid any explanations until he heard from Lord Montfort.	true	315.71	320.65	24.630287
7850_73752_000007_000002	He shrank from seeing Glastonbury or his cousin.	He shrank from seeing Glastonbury or his cousin.	true	321.2	324.07	17
7850_73752_000007_000003	As for Henrietta, it seemed to him that he never could have heart to meet her again, unless they were alone.	As for Henrietta, it seemed to him that he never could have heart to meet her again, unless they were alone.	true	324.35	330.82	20.414978
7850_73752_000007_000004	Count Mirabel was the only person to whom he could abandon his soul, and Count Mirabel was still in his first sleep.	Count Mirabel was the only person to whom he could abandon his soul, and Count Mirabel was still in his first sleep.	true	331.46	338.86	20.137503
7850_73752_000008_000000	So Ferdinand entered Kensington Gardens, and walked in those rich glades and stately avenues.	So Ferdinand entered Kensington Gardens, and walked in those rich glades and stately avenues.	true	339.05	345.7	24.37198
7850_73752_000008_000001	It seems to the writer of this history that the inhabitants of London are scarcely sufficiently sensible of the beauty of its environs.	It seems to the writer of this history that the inhabitants of London are scarcely sufficiently sensible of the beauty of its environs.	true	346.07	353.98	22
7850_73752_000008_000002	On every side the most charming retreats open to them, nor is there a metropolis in the world surrounded by so many rural villages, picturesque parks, and elegant casinos.	On every side the most charming retreats open to them, nor is there a metropolis in the world surrounded by so many rural villages, picturesque parks, and elegant casinos.	true	354.38	365.29	23
7850_73752_000008_000003	With the exception of Constantinople, there is no city in the world that can for a moment enter into competition with it.	With the exception of Constantinople, there is no city in the world that can for a moment enter into competition with it.	true	365.69	373.24	22.707525
7850_73752_000008_000004	For himself, though in his time something of a rambler, he is not ashamed in this respect to confess to a legitimate Cockney taste; and for his part he does not know where life can flow on more pleasantly than in sight of Kensington Gardens, viewing the silver Thames winding by the bowers of Rosebank, or inhaling from its terraces the refined air of graceful Richmond.	For himself, though in his time something of a rambler, he is not ashamed in this respect to confess to a legitimate Cockney taste; and for his part he does not know where life can flow on more pleasantly than in sight of Kensington Gardens, viewing the silver Thames winding by the bowers of Rosebank, or inhaling from its terraces the refined air of graceful Richmond.	false	373.82	396.46	22.28205
7850_73752_000009_000000	In exactly ten minutes it is in the power of every man to free himself from all the tumult of the world; the pangs of love, the throbs of ambition, the wear and tear of play, the recriminating boudoir, the conspiring club, the rattling hell; and find himself in a sublime sylvan solitude superior to the cedars of Lebanon, and inferior only in extent to the chestnut forests of Anatolia.	In exactly ten minutes it is in the power of every man to free himself from all the tumult of the world; the pangs of love, the throbs of ambition, the wear and tear of play, the recriminating boudoir, the conspiring club, the rattling hell; and find himself in a sublime sylvan solitude superior to the cedars of Lebanon, and inferior only in extent to the chestnut forests of Anatolia.	true	397.31	425.05	22.99164
7850_73752_000009_000001	Kensington Gardens is almost the only place that has realised his idea of the forests of Spenser and Ariosto.	Kensington Gardens is almost the only place that has realised his idea of the forests of Spenser and Ariosto.	true	425.72	433.12	20
7850_73752_000009_000002	What a pity, that instead of a princess in distress we meet only a nurserymaid!	What a pity, that instead of a princess in distress we meet only a nurserymaid!	true	433.91	439.33	21.607899
7850_73752_000009_000003	But here is the fitting and convenient locality to brood over our thoughts; to project the great and to achieve the happy.	But here is the fitting and convenient locality to brood over our thoughts; to project the great and to achieve the happy.	true	440.09	447.7	21.820618
7850_73752_000009_000004	It is here that we should get our speeches by heart, invent our impromptus; muse over the caprices of our mistresses, destroy a cabinet, and save a nation.	It is here that we should get our speeches by heart, invent our impromptus; muse over the caprices of our mistresses, destroy a cabinet, and save a nation.	true	447.98	458.53	23.259365
7850_73752_000010_000000	About the time that Ferdinand directed his steps from these green retreats towards Berkeley-Square, a servant summoned Miss Temple to her father.	About the time that Ferdinand directed his steps from these green retreats towards Berkeley Square, a servant summoned Miss Temple to her father.	true	459.47	468.49	24.230541
7850_73752_000011_000000	'Is papa alone?' enquired Miss Temple.	'Is papa alone?' enquired Miss Temple.	true	469.4	471.97	23.257904
7850_73752_000012_000000	'Only my lord with him,' was the reply.	'Only my lord with him,' was the reply.	true	472.64	475.21	25.279709
7850_73752_000013_000000	'Is Lord Montfort here!' said Miss Temple, a little surprised.	'Is Lord Montfort here!' said Miss Temple, a little surprised.	false	475.58	479.62	21.671307
7850_73752_000014_000000	'My lord has been with master these three hours,' said the servant.	'My lord has been with master these three hours,' said the servant.	false	479.9	485.19	24.90795
7850_73752_000015_000000	CHAPTER XXIII.	CHAPTER twenty three.	false	485.19	486	26.83209
7850_73752_000016_000000	_Ferdinand Receives the Most Interesting Invitation to Dinner Ever Offered to Him_.	underscore Ferdinand Receives the Most Interesting Invitation to Dinner Ever Offered to Him underscore.	false	486	486.84	20.041037
7850_73752_000017_000000	IS NOT it wonderful?' said Ferdinand, when he had finished his history to Count Mirabel.	IS NOT it wonderful?' said Ferdinand, when he had finished his history to Count Mirabel.	false	486.84	487.71	22.278864
7850_73752_000018_000000	'Not the least,' said the Count, 'I never knew anything less surprising. 'Tis exactly what I said, 'tis the most natural termination in the world.'	'Not the least,' said the Count, 'I never knew anything less surprising. 'tis exactly what I said, 'tis the most natural termination in the world.'	false	487.71	489.21	22.403116
