5895_34629_000002_000000	CHAPTER III.	CHAPTER three.
5895_34629_000025_000002	These were remarkable talents.	These were remarkable talents.
5895_34629_000028_000000	"They are the ancient Trinobantes," he said.	"They are the ancient Trinobantes," he said.
5895_34629_000029_000000	Then he added, "I must not mistake them, for delicacy of taste, for the Atrobates, who people Berkshire, or the Belgians, who inhabited Somersetshire, nor for the Parisians, who founded York."	Then he added, "I must not mistake them, for delicacy of taste, for the Atrobates, who people Berkshire, or the Belgians, who inhabited Somersetshire, nor for the Parisians, who founded York."
5895_34629_000030_000000	At every performance the yard of the inn, transformed into a pit, was filled with a ragged and enthusiastic audience.	At every performance the yard of the inn, transformed into a pit, was filled with a ragged and enthusiastic audience.
5895_34629_000030_000001	It was composed of watermen, chairmen, coachmen, and bargemen, and sailors, just ashore, spending their wages in feasting and women.	It was composed of watermen, chairmen, coachmen, and bargemen, and sailors, just ashore, spending their wages in feasting and women.
5895_34629_000030_000003	All these flowed from the street into the theatre, and poured back from the theatre into the tap.	All these flowed from the street into the theatre, and poured back from the theatre into the tap.
5895_34629_000034_000000	This connoisseur was suddenly fascinated, and had adopted the Laughing Man.	This connoisseur was suddenly fascinated, and had adopted the Laughing Man.
5895_34629_000034_000001	He did not come every evening, but when he came he led the public--applause grew into acclamation--success rose not to the roof, for there was none, but to the clouds, for there were plenty of them. Which clouds (seeing that there was no roof) sometimes wept over the masterpiece of Ursus.	He did not come every evening, but when he came he led the public-applause grew into acclamation-success rose not to the roof, for there was none, but to the clouds, for there were plenty of them. Which clouds (seeing that there was no roof) sometimes wept over the masterpiece of Ursus.
5895_34629_000036_000000	They had a great friend in this unknown visitor.	They had a great friend in this unknown visitor.
5895_34629_000039_000000	"Do you know that man?"	"Do you know that man?"
5895_34629_000040_000000	"Of course I do."	"Of course I do."
5895_34629_000042_000000	"A sailor."	"A sailor."
5895_34629_000044_000000	"Tom-Jim-Jack," replied the inn-keeper.	"Tom Jim Jack," replied the inn keeper.
5895_34629_000045_000000	Then as he redescended the steps at the back of the Green Box, to enter the inn, Master Nicless let fall this profound reflection, so deep as to be unintelligible,--	Then as he redescended the steps at the back of the Green Box, to enter the inn, Master Nicless let fall this profound reflection, so deep as to be unintelligible,--
5895_34629_000046_000000	"What a pity that he should not be a lord.	"What a pity that he should not be a lord.
5895_34629_000046_000001	He would make a famous scoundrel."	He would make a famous scoundrel."
5895_34629_000047_000000	Otherwise, although established in the tavern, the group in the Green Box had in no way altered their manner of living, and held to their isolated habits.	Otherwise, although established in the tavern, the group in the Green Box had in no way altered their manner of living, and held to their isolated habits.
5895_34629_000047_000001	Except a few words exchanged now and then with the tavern-keeper, they held no communication with any of those who were living, either permanently or temporarily, in the inn; and continued to keep to themselves.	Except a few words exchanged now and then with the tavern keeper, they held no communication with any of those who were living, either permanently or temporarily, in the inn; and continued to keep to themselves.
5895_34629_000049_000000	A certain vagrancy in our spirits impels us to take walks at night, and to saunter under the stars.	A certain vagrancy in our spirits impels us to take walks at night, and to saunter under the stars.
5895_34629_000049_000001	There is a mysterious expectation in youth. Therefore it is that we are prone to wander out in the night, without an object.	There is a mysterious expectation in youth. Therefore it is that we are prone to wander out in the night, without an object.
5895_34629_000050_000001	The empty taverns were shut up, and the lower room in the Tadcaster Inn was dark, except where, in some corner, a solitary candle lighted a last reveller. An indistinct glow gleamed through the window-shutters of the half-closed tavern, as Gwynplaine, pensive, content, and dreaming, happy in a haze of divine joy, passed backwards and forwards in front of the half-open door.	The empty taverns were shut up, and the lower room in the Tadcaster Inn was dark, except where, in some corner, a solitary candle lighted a last reveller. An indistinct glow gleamed through the window shutters of the half closed tavern, as Gwynplaine, pensive, content, and dreaming, happy in a haze of divine joy, passed backwards and forwards in front of the half open door.
5895_34629_000051_000000	Of what was he thinking?	Of what was he thinking?
5895_34629_000051_000001	Of Dea--of nothing--of everything--of the depths.	Of Dea-of nothing-of everything-of the depths.
5895_34629_000052_000001	A few steps away from it was far enough for him.	A few steps away from it was far enough for him.
