8297_275155_000002_000000	Chapter XL.	Chapter forty.
8297_275155_000008_000002	"How nice of you to come so soon!" she began.	"How nice of you to come so soon!" she began.
8297_275155_000008_000003	Her keen penetration discovered something in his face which checked the gayety of her welcome.	Her keen penetration discovered something in his face which checked the gayety of her welcome.
8297_275155_000008_000004	"You don't mean to say that you are going to spoil our pleasant little dinner by bringing bad news!" she added, looking at him suspiciously.	"You don't mean to say that you are going to spoil our pleasant little dinner by bringing bad news!" she added, looking at him suspiciously.
8297_275155_000009_000000	"It depends on you to decide that," Randal replied.	"It depends on you to decide that," Randal replied.
8297_275155_000010_000000	"How very complimentary to a poor useless old woman!	"How very complimentary to a poor useless old woman!
8297_275155_000010_000001	Don't be mysterious, my dear.	Don't be mysterious, my dear.
8297_275155_000010_000003	Out with it!"	Out with it!"
8297_275155_000011_000000	Randal handed his paper to her, open at the right place.	Randal handed his paper to her, open at the right place.
8297_275155_000011_000001	"There is my news," he said.	"There is my news," he said.
8297_275155_000013_000000	"I am indeed sorry to spoil your dramatic effect," she said.	"I am indeed sorry to spoil your dramatic effect," she said.
8297_275155_000013_000002	The report is premature, my good friend.	The report is premature, my good friend.
8297_275155_000013_000004	Besides, if it isn't true now, it will be true next week.	Besides, if it isn't true now, it will be true next week.
8297_275155_000013_000005	The author only says, 'It's whispered.' How delicate of him!	The author only says, 'It's whispered.' How delicate of him!
8297_275155_000013_000006	What a perfect gentleman!"	What a perfect gentleman!"
8297_275155_000014_000000	"Am I really to understand, Mrs. Presty, that Catherine--"	"Am I really to understand, mrs Presty, that Catherine-"
8297_275155_000015_000000	"You are to understand that Catherine is a widow.	"You are to understand that Catherine is a widow.
8297_275155_000015_000001	I say it with pride, a widow of my making!"	I say it with pride, a widow of my making!"
8297_275155_000016_000000	"If this is one of your jokes, ma'am--"	"If this is one of your jokes, ma'am-"
8297_275155_000018_000000	"Are you aware, Mrs. Presty, that my brother--"	"Are you aware, mrs Presty, that my brother-"
8297_275155_000019_000000	"Oh, don't talk of your brother!	"Oh, don't talk of your brother!
8297_275155_000019_000001	He's an obstacle in our way, and we have been compelled to get rid of him."	He's an obstacle in our way, and we have been compelled to get rid of him."
8297_275155_000020_000000	Randal drew back a step.	Randal drew back a step.
8297_275155_000020_000001	Mrs. Presty's audacity was something more than he could understand.	mrs Presty's audacity was something more than he could understand.
8297_275155_000020_000002	"Is this woman mad?" he said to himself.	"Is this woman mad?" he said to himself.
8297_275155_000021_000000	"Sit down," said Mrs. Presty.	"Sit down," said mrs Presty.
8297_275155_000021_000001	"If you are determined to make a serious business of it--if you insist on my justifying myself--you are to be pitied for not possessing a sense of humor, but you shall have your own way.	"If you are determined to make a serious business of it-if you insist on my justifying myself-you are to be pitied for not possessing a sense of humor, but you shall have your own way.
8297_275155_000021_000002	I am put on my defense.	I am put on my defense.
8297_275155_000021_000003	Very well.	Very well.
8297_275155_000021_000004	You shall hear how my divorced daughter and my poor little grandchild were treated at Sandyseal, after you left us."	You shall hear how my divorced daughter and my poor little grandchild were treated at Sandyseal, after you left us."
8297_275155_000022_000000	Having related the circumstances, she suggested that Randal should put himself in Catherine's place, before he ventured on expressing an opinion.	Having related the circumstances, she suggested that Randal should put himself in Catherine's place, before he ventured on expressing an opinion.
8297_275155_000022_000001	"Would you have exposed yourself to be humiliated again in the same way?" she asked.	"Would you have exposed yourself to be humiliated again in the same way?" she asked.
8297_275155_000022_000002	"And would you have seen your child made to suffer as well as yourself?"	"And would you have seen your child made to suffer as well as yourself?"
8297_275155_000023_000000	"I should have kept in retirement for the future," he answered, "and not have trusted my child and myself among strangers in hotels."	"I should have kept in retirement for the future," he answered, "and not have trusted my child and myself among strangers in hotels."
8297_275155_000024_000000	"Ah, indeed?	"Ah, indeed?
8297_275155_000024_000001	And you would have condemned your poor little daughter to solitude?	And you would have condemned your poor little daughter to solitude?
8297_275155_000024_000002	You would have seen her pining for the company of other children, and would have had no mercy on her?	You would have seen her pining for the company of other children, and would have had no mercy on her?
8297_275155_000024_000004	He was introduced to Mrs. Norman, and to Mrs. Norman's little girl, and we were all charmed with him.	He was introduced to mrs Norman, and to mrs Norman's little girl, and we were all charmed with him.
8297_275155_000024_000005	When he and I happened to be left together he naturally wondered, after having seen the beautiful wife, where the lucky husband might be.	When he and I happened to be left together he naturally wondered, after having seen the beautiful wife, where the lucky husband might be.
8297_275155_000024_000006	If he had asked you about Mr. Norman, how would you have answered him?"	If he had asked you about mr Norman, how would you have answered him?"
8297_275155_000025_000000	"I should have told the truth."	"I should have told the truth."
8297_275155_000027_000000	"Yes."	"Yes."
8297_275155_000028_000000	"Exactly what I did!	"Exactly what I did!
8297_275155_000028_000001	And the Captain of course concluded (after having been introduced to Kitty) that Mrs. Norman was a widow.	And the Captain of course concluded (after having been introduced to Kitty) that mrs Norman was a widow.
8297_275155_000028_000002	If I had set him right, what would have become of my daughter's reputation?	If I had set him right, what would have become of my daughter's reputation?
8297_275155_000028_000003	If I had told the truth at this hotel, when everybody wanted to know what Mrs. Norman, that handsome lady, was--what would the consequences have been to Catherine and her little girl?	If I had told the truth at this hotel, when everybody wanted to know what mrs Norman, that handsome lady, was-what would the consequences have been to Catherine and her little girl?
8297_275155_000028_000004	No! no! I have made the best of a miserable situation; I have consulted the tranquillity of a cruelly injured woman and an innocent child--with this inevitable result; I have been obliged to treat your brother like a character in a novel.	No! no! I have made the best of a miserable situation; I have consulted the tranquillity of a cruelly injured woman and an innocent child-with this inevitable result; I have been obliged to treat your brother like a character in a novel.
8297_275155_000028_000005	I have ship-wrecked Herbert as the shortest way of answering inconvenient questions.	I have ship wrecked Herbert as the shortest way of answering inconvenient questions.
8297_275155_000028_000006	Vessel found bottom upward in the middle of the Atlantic, and everybody on board drowned, of course.	Vessel found bottom upward in the middle of the Atlantic, and everybody on board drowned, of course.
8297_275155_000028_000007	Worse stories have been printed; I do assure you, worse stories have been printed."	Worse stories have been printed; I do assure you, worse stories have been printed."
8297_275155_000029_000000	Randal decided on leaving her.	Randal decided on leaving her.
8297_275155_000029_000001	"Have you done all this with Catherine's consent?" he asked as he got up from his chair.	"Have you done all this with Catherine's consent?" he asked as he got up from his chair.
8297_275155_000030_000000	"Catherine submits to circumstances, like a sensible woman."	"Catherine submits to circumstances, like a sensible woman."
8297_275155_000031_000000	"Does she submit to your telling Kitty that her father is dead?"	"Does she submit to your telling Kitty that her father is dead?"
8297_275155_000032_000000	For the first time Mrs. Presty became serious.	For the first time mrs Presty became serious.
8297_275155_000033_000000	"Wait a minute," she answered.	"Wait a minute," she answered.
8297_275155_000033_000001	"Before I consented to answer the child's inquiries, I came to an understanding with her mother.	"Before I consented to answer the child's inquiries, I came to an understanding with her mother.
8297_275155_000033_000002	I said, 'Will you let Kitty see her father again?'"	I said, 'Will you let Kitty see her father again?'"
8297_275155_000034_000000	The very question which Randal had promised to ask in his brother's interests!	The very question which Randal had promised to ask in his brother's interests!
8297_275155_000034_000001	"And how did Catherine answer you?" he inquired.	"And how did Catherine answer you?" he inquired.
8297_275155_000035_000000	"Honestly.	"Honestly.
8297_275155_000035_000001	She said: 'I daren't!' After that, I had her mother's authority for telling Kitty that she would never see her father again. She asked directly if her father was dead--"	She said: 'I daren't!' After that, I had her mother's authority for telling Kitty that she would never see her father again. She asked directly if her father was dead-"
8297_275155_000036_000000	"That will do, Mrs. Presty.	"That will do, mrs Presty.
8297_275155_000036_000001	Your defense is thoroughly worthy of your conduct in all other respects."	Your defense is thoroughly worthy of your conduct in all other respects."
8297_275155_000037_000000	"Say thoroughly worthy of the course forced upon me and my daughter by your brother's infamous conduct--and you will be nearer the mark!"	"Say thoroughly worthy of the course forced upon me and my daughter by your brother's infamous conduct-and you will be nearer the mark!"
8297_275155_000038_000000	Randal passed this over without notice.	Randal passed this over without notice.
8297_275155_000038_000001	"Be so good," he said, "as to tell Catherine that I try to make every possible allowance for her, but that I cannot consent to sit at her dinner-table, and that I dare not face my poor little niece, after what I have heard."	"Be so good," he said, "as to tell Catherine that I try to make every possible allowance for her, but that I cannot consent to sit at her dinner table, and that I dare not face my poor little niece, after what I have heard."
8297_275155_000039_000000	Mrs. Presty recovered all her audacity.	mrs Presty recovered all her audacity.
8297_275155_000039_000001	"A very wise decision," she remarked.	"A very wise decision," she remarked.
8297_275155_000039_000002	"Your sour face would spoil the best dinner that ever was put on the table.	"Your sour face would spoil the best dinner that ever was put on the table.
8297_275155_000039_000003	Have you any message for Captain Bennydeck?"	Have you any message for Captain Bennydeck?"
8297_275155_000040_000000	Randal asked if his friend was then at the hotel.	Randal asked if his friend was then at the hotel.
8297_275155_000041_000000	Mrs. Presty smiled significantly.	mrs Presty smiled significantly.
8297_275155_000041_000001	"Not at the hotel, just now."	"Not at the hotel, just now."
8297_275155_000042_000000	"Where is he?"	"Where is he?"
8297_275155_000043_000000	"Where he is every day, about this time--out driving with Catherine and Kitty."	"Where he is every day, about this time-out driving with Catherine and Kitty."
8297_275155_000044_000000	It was a relief to Randal--in the present state of Catherine's relations toward Bennydeck--to return to London without having seen his friend.	It was a relief to Randal-in the present state of Catherine's relations toward Bennydeck-to return to London without having seen his friend.
8297_275155_000045_000000	He took leave of Mrs. Presty with the formality due to a stranger--he merely bowed.	He took leave of mrs Presty with the formality due to a stranger-he merely bowed.
8297_275155_000045_000001	That incorrigible old woman treated him with affectionate familiarity in return.	That incorrigible old woman treated him with affectionate familiarity in return.
8297_275155_000046_000000	"Good-by, dear Randal.	"Good by, dear Randal.
8297_275155_000046_000001	One moment before you go!	One moment before you go!
8297_275155_000046_000002	Will it be of any use if we invite you to the marriage?"	Will it be of any use if we invite you to the marriage?"
8297_275155_000047_000000	Arrived at the station, Randal found that he must wait for the train. While he was walking up and down the platform with a mind doubly distressed by anxiety about his brother and anxiety about Sydney, the train from London came in.	Arrived at the station, Randal found that he must wait for the train. While he was walking up and down the platform with a mind doubly distressed by anxiety about his brother and anxiety about Sydney, the train from London came in.
8297_275155_000047_000001	He stood, looking absently at the passengers leaving the carriage on the opposite side of the platform.	He stood, looking absently at the passengers leaving the carriage on the opposite side of the platform.
